Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Pad. #0,Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State miss%,Pad. #1,Pad. #2
0,0x8c358874,0x12b6,7,Increm,0x12a9,7,Increm,0x12ac,7,Increm,0x12a6,7,Increm,1,Magic,21,Add Strengthen,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
1,0x8c35887c,0x12bd,9,Incremus,0x12b0,9,Incremus,0x12b3,9,Incremus,0x12ad,9,Incremus,1,Magic,21,Add Strengthen,4,All enemies,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
2,0x8c358888,0x12c6,8,Sylenis,0x12b9,8,Sylenis,0x12bc,8,Sylenis,0x12b6,8,Sylenis,1,Magic,12,Add Silence,1,One character,0,0,0,0,Green,0,Physical,1,1,5,Silence,40,0,0
3,0x8c358890,0x12ce,7,Panika,0x12c1,7,Panika,0x12c4,7,Panika,0x12be,7,Panika,1,Magic,11,Add Confusion,1,One character,0,0,0,0,Green,0,Physical,1,1,4,Confusion,40,0,0
4,0x8c358898,0x12d5,6,Driln,0x12c8,6,Driln,0x12cb,6,Driln,0x12c5,6,Driln,1,Magic,26,Add Weak,1,One character,0,0,0,0,Green,0,Physical,1,1,8,Weak,40,0,0
5,0x8c3588a0,0x12db,8,Drilnos,0x12ce,8,Drilnos,0x12d1,8,Drilnos,0x12cb,8,Drilnos,1,Magic,26,Add Weak,2,All characters,0,0,0,0,Green,0,Physical,1,1,8,Weak,60,0,0
6,0x8c3588a8,0x12e3,6,Sacri,0x12d6,6,Sacri,0x12d9,6,Sacri,0x12d3,6,Sacri,1,Magic,31,Recover HP,3,One enemy,0,500,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,0x8c3588b0,0x12e9,7,Sacres,0x12dc,7,Sacres,0x12df,7,Sacres,0x12d9,7,Sacres,1,Magic,31,Recover HP,3,One enemy,0,1000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
8,0x8c3588b8,0x12f0,7,Sacrum,0x12e3,7,Sacrum,0x12e6,7,Sacrum,0x12e0,7,Sacrum,1,Magic,31,Recover HP,4,All enemies,0,1000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
9,0x8c3588c0,0x12f7,9,Sacrulen,0x12ea,9,Sacrulen,0x12ed,9,Sacrulen,0x12e7,9,Sacrulen,1,Magic,32,Recover HP to 100%,3,One enemy,0,10000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,0x8c3588cc,0x1300,5,Noxi,0x12f3,5,Noxi,0x12f6,5,Noxi,0x12f0,5,Noxi,1,Magic,4,Add Poison + Damage,1,One character,0,1,60,0,Green,1,Magical,1,1,0,Poison,40,0,0
11,0x8c3588d4,0x1305,6,Noxus,0x12f8,6,Noxus,0x12fb,6,Noxus,0x12f5,6,Noxus,1,Magic,4,Add Poison + Damage,2,All characters,0,1,100,0,Green,1,Magical,1,1,0,Poison,60,0,0
12,0x8c3588dc,0x130b,8,Slipara,0x12fe,8,Slipara,0x1301,8,Slipara,0x12fb,8,Slipara,1,Magic,9,Add Sleep,2,All characters,0,0,0,0,Green,0,Physical,1,1,3,Sleep,60,0,0
13,0x8c3588e4,0x1313,6,Quika,0x1306,6,Quika,0x1309,6,Quika,0x1303,6,Quika,1,Magic,20,Add Quickened,4,All enemies,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
