Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Chara. Flags,[V],[A],[F],[D],[E],[G],Retail Price in %,Order by Prio.,EU Order by ABC,Purchase Price,Feat. 1 ID,[Feat. 1 Name],Pad. 1,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 2,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 3,Feat. 3 Value,Feat. 4 ID,[Feat. 4 Name],Pad. 4,Feat. 4 Value,Pad. 5,Pad. 6,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
160,0x8c346f68,0x1a675,11,Juwel Ring,0x1a35f,15,Anillo de Gema,0x1a6ad,13,Gemme Sertie,0x19f12,14,Gemstone Ring,0x3a,X,X,X,"",X,"",50,1,23,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12543,83,"Fein gearbeiter Ring, mit eingravierten Runen,\\ndie den Träger vor Magie schützen.",0x121e9,87,"Anillo finamente tallado, con jeroglíficos\\nque protegen contra el efecto de la Magia.",0x1227f,95,Une bague finement travaillée avec des runes\\ngravées qui protègent l'utilisateur de la Magie.,0x1200c,83,"A finely crafted ring engraved with runes,\\nthat protect the wearer against magic."
161,0x8c346f78,0x1a680,15,Prophet's Sand,0x1a36e,16,Arena Profética,0x1a6ba,15,Bague de Sable,0x19f20,15,Prophet's Sand,0x3a,X,X,X,"",X,"",50,3,39,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12596,91,"Ring aus verzaubertem Sand, den man bei Moon\\nStones findet. Schützt den Träger vor Magie.",0x12240,79,Anillo de arena mágica procedente de\\nPiedras Lunares.Protege contra la Magia.,0x122de,94,Une bague créée avec du sable enchanté trouvé\\nprès des Pierres de Lune. Protège de la Magie.,0x1205f,97,A ring created from enchanted sand found around\\nMoon Stones. Protects the wearer against Magic.
162,0x8c346f88,0x1a68f,17,Meditations Ring,0x1a37e,14,Anillo Mágico,0x1a6c9,17,Bague Méditation,0x19f2f,16,Meditation Ring,0x3a,X,X,X,"",X,"",50,0,33,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x125f1,82,Ring aus geflochtenen Zweigen verzauberter\\nBäume. Erhöht den Willen des Trägers.,0x1228f,72,Anillo entretejido con ramitas de arboles\\nmágicos.Aumenta la Voluntad.,0x1233c,91,Une bague fabriquée à partir d'un arbre magique\\nAccroît la Volonté de celui qui la porte.,0x120c0,85,A ring crafted from weaving the sprigs of magic\\ntrees. Increases the wearer's Will.
163,0x8c346f98,0x1a6a0,15,Mondstaub Ring,0x1a38c,15,Anillo de Luna,0x1a6da,17,Bague Poudrelune,0x19f3f,14,Moondust Ring,0x3a,X,X,X,"",X,"",50,4,35,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12643,84,"Ring, der mit kleinen  Moon-Stone-Splittern\\nverziert ist. Erhöht die Willenskraft.",0x122d7,74,Anillo decorado con fragmentos de Piedras\\nLunares. Potencia la Voluntad.,0x12397,85,Une bague décorée avec des petits morceaux de\\nPierres de Lune. Augmente la Volonté.,0x12115,67,A ring decorated with tiny shards of Moon\\nStones. Increases Will.
164,0x8c346fa8,0x1a6af,15,Liebenden-Ring,0x1a39b,17,Anillo del Amado,0x1a6eb,17,Bague des amants,0x19f4d,13,Lover's Ring,0x3a,X,X,X,"",X,"",50,2,30,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0,0,0x12697,85,"Fein gearbeiteter Ring, der zwei Liebende\\nzeigt. Erhöht Magie-Resistenz und Willen.",0x12321,84,Anillo con la imagen de dos novios. Protege\\ncontra la Magia y aumenta la Voluntad.,0x123ec,97,Bague finement travaillée représentant 2 amants\\nenlacés. Accroît Résistance Magique et Volonté.,0x12158,92,A finely crafted ring that depicts two lovers\\nembracing. Increases Magic Defense and Will.
165,0x8c346fb8,0x1a6be,16,Jade Swirl Ring,0x1a3ac,15,Anillo de Jade,0x1a6fc,14,Bague de Jade,0x19f5a,16,Jade Swirl Ring,0x3a,X,X,X,"",X,"",50,5,29,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0,0,0x126ec,92,"Ring, der mit zwei Tropfen flüssiger Jade\\nverziert ist. Erhöht Magie-Resistenz und Willen.",0x12375,81,Anillo con dos gotas de jade que protege\\ncontra la Magia y aumenta la Voluntad.,0x1244d,92,Bague décorée avec 2 gouttes de jade liquide.\\nAccroît la Résistance Magique et la Volonté.,0x121b4,83,A ring decorated with two drops of liquid jade.\\nIncreases Magic Defense and Will.
166,0x8c346fc8,0x1a6ce,11,Cupil Ring,0x1a3bb,13,Anillo Cupil,0x1a70a,15,Bague du Cupil,0x19f6a,11,Cupil Ring,0x8,"","",X,"","","",100,6,14,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0,0,0x12748,101,"Ring, der wie Cupil aussieht. Erhöht Spirit sowie\\nResistenz gegen Silber-Angriffe und Eterni-Magie.",0x123c6,86,Se parece a Cupil. Potencia el Espíritu.\\nResistente Ataques de Plata y Magia Eterni.,0x124a9,98,"Bague à l'image du Cupil. Augmente l'Esprit, la\\nRésistance aux Attaques d'Argent & Magie Eterni.",0x12207,97,"A ring that looks like Cupil. Boosts Spirit and\\nResistance to Silver Attacks, and Eterni Magic."
167,0x8c346fd4,0x1a6d9,12,Kriegerherz,0x1a3c8,15,Corazón Bélico,0x1a719,15,Coeur Guerrier,0x19f75,16,Warrior's Heart,0x3a,X,X,X,"",X,"",100,7,59,10,77,Recover Spirit,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x127ad,94,"Ein Ring mit leuchtendem Stein; erlaubt dem\\nBenutzer, während des Kampfes Spirit aufzuladen.",0x1241c,83,Anillo con una gema brillante. Ayuda a\\nrecuperar el Espiritu durante la batalla. ,0x1250b,97,"Une bague avec une pierre brillante, qui permet\\nde récupérer de l'Esprit pendant les batailles.",0x12268,82,"A ring with a glowing gem, that allows the user\\nto recover Spirit during battle."
168,0x8c346fe4,0x1a6e5,17,Throkryn's Scale,0x1a3d7,14,Arma Throkryn,0x1a728,17,Écaille Throkryn,0x19f85,17,Throkryn's Scale,0x35,X,X,"",X,"",X,50,8,55,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x1280b,75,Ein aus einem Throkryn hergestellter Waffentyp.\\nErhöht die Angriffskraft.,0x1246f,59,Arma modificada con Throkryn.\\nAumenta el poder de Ataque.,0x1256c,87,"Une arme modifiée, fabriquée à l'aide d'un\\nThrokryn. Augmente la Puissance d'Attaque.",0x122ba,66,A weapon modification made from a Throkryn.\\nRaises Attack Power.
169,0x8c346ff8,0x1a6f6,17,Thryllak's Scale,0x1a3e5,14,Arma Thryllak,0x1a739,17,Écaille Thryllak,0x19f96,17,Thryllak's Scale,0x35,X,X,"",X,"",X,50,9,56,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12856,94,"Schuppe eines Thryllak, ein Tier, noch tödlicher\\nals ein Throkryn. Erhöht die Angriffskraft.",0x124aa,87,"Escamas de Thryllak, animal más mortífero\\nque el Throkryn. Mejora el poder de Ataque.",0x125c3,98,"Écaille de Thryllak, animal bien plus dangereux\\nque le Throkryn. Accroît la Puissance d'Attaque.",0x122fc,88,"A scale of a Thryllak, an animal even deadlier\\nthan the Throkryn. Raises Attack Power."
