Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Element ID,Padding #0,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #1,Padding #2,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #3,Padding #4,Padding #5,Ship occ. ID,[Ship occ. name],Padding #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown,Padding #7,Padding #8,Padding #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.,[DE ship descr. pos.],[DE ship descr. size],DE ship descr. str.,[ES ship descr. pos.],[ES ship descr. size],ES ship descr. str.,[FR ship descr. pos.],[FR ship descr. size],FR ship descr. str.,[GB ship descr. pos.],[GB ship descr. size],GB ship descr. str.
0,2352244024,105514,7,Increm,104532,7,Increm,105438,7,Increm,103666,7,Increm,1,0,Red,120,3,"",X,X,21,Add Strengthen,1,One character,6,Magic,0,4,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),4,2,0,-1,0,0,0,57727,97,Erhöht Angriffskraft und Verteidigung des Ziels\nZiels um 25%.                              SP 4,57215,93,Aumenta la potencia de ataque y la defensa\ndel objetivo en un 25%.                     SEP4,57366,90,Augmente les puissances d'attaque et de\ndéfense de la cible de 25%.                 ES 4,56656,92,Increases both Attack Power and Defense of\ntarget by 25%.                             SP 4,99816,86,Verbessert Angriff und Verteidigung\nfür 2 Durchgänge um 25%.                    4 SP,98886,91,Aumenta el poder de ataque de tu barco y\nel poder de defensa en un 25% por 2 turnos.  4SP,99530,98,Augmente les puissances d'attaque et de défense\nde votre navire de 25% pour 2 tours.        4 ES,98121,85,Increases your ship's Attack power\nand Defense power by 25% for 2 turns.       4 SP
1,2352244032,105521,9,Incremus,104539,9,Incremus,105445,9,Incremus,103673,9,Incremus,1,0,Red,121,3,"",X,X,21,Add Strengthen,2,All characters,6,Magic,0,16,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),16,4,0,-1,0,0,0,57824,92,Erhöht Angriffskraft und Verteidigung der\ngesamten Gruppe um 25%.                    SP 16,57308,93,Aumenta la potencia de ataque y la defensa\nde un grupo entero en un 25%.              SEP16,57456,98,Augmente les puissances d'attaque et de défense\npour tout le groupe de 25%.                ES 16,56748,97,Increases both Attack Power and Defense of the\nentire party by 25%.                       SP 16,99902,86,Verbessert Angriff und Verteidigung\nfür 4 Durchgänge um 25%.                   16 SP,98977,94,Aumenta el poder de ataque de tu barco y el\npoder de defensa en un 25% por 4 turnos.    16SP,99628,98,Augmente les puissances d'attaque et de défense\nde votre navire de 25% pour 4 tours.       16 ES,98206,85,Increases your ship's Attack power\nand Defense power by 25% for 4 turns.      16 SP
2,2352244044,105530,8,Sylenis,104548,8,Sylenis,105454,8,Sylenis,103682,8,Sylenis,2,0,Purple,20,3,"",X,X,12,Add Silence,3,One enemy,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,0,Magic Cannon,0,116,Add Silence (Ship),2,2,0,-1,0,0,0,57916,91,"Hält Ziel davon ab, Zauber zu aktivieren,\nindem es zum Schweigen gebracht wird.      SP 2",57401,90,"Evita que el objetivo conjure hechizos,\nsilenciando estos hechizos.                 SEP2",57554,95,Empêche les cibles de jeter des sorts en les\nréduisant au Silence.                       ES 2,56845,92,Prevents target from casting any spells by\nSilencing them.                            SP 2,99988,94,Verhindert Zaubersprüche von Feindschiffen.\nErfordert Spezialausrüstung.                2 SP,99071,92,Impide que navíos enemigos usen hechizos.\nLanzar hechizos requiere un equipo especial. 2SP,99726,98,Empêche les navires ennemis de jeter des sorts.\nÉquipement spécial requis.                  2 ES,98291,92,Prevents enemy ships from casting spells.\nSpecial equipment is needed to cast.        2 SP
3,2352244052,105538,7,Panika,104556,7,Panika,105462,7,Panika,103690,7,Panika,2,0,Purple,130,2,"",X,"",11,Add Confusion,3,One enemy,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58007,93,"Bringt ein Ziel dazu, das nahegelegene Ziel\nanzugreifen.                               SP 3",57491,90,"Crea confusión en uno de los objetivos,\nllevándole a atacar al más próximo.         SEP3",57649,85,Désoriente la cible qui s'en prend\nau plus proche.                             ES 3,56937,92,Confuses one target into attacking nearest\ntarget.                                    SP 3,100082,30,Kann nicht benutzt werden.\n,99163,20,No puede usarse.\n,99824,25,Ne peut être utilisé.\n,98383,24,Cannot be used.\n------
4,2352244060,105545,6,Driln,104563,6,Driln,105469,6,Driln,103697,6,Driln,4,0,Yellow,140,3,"",X,X,26,Add Weak,3,One enemy,6,Magic,0,3,0,0,0,0,Physical,8,Weak,40,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),3,2,0,-1,0,0,0,58100,94,Schwächt ein Feindziel. Senkt alle Attribute\num 25%.                                    SP 3,57581,95,"Debilita a un objetivo enemigo, disminuyendo\nsus poderes en un 25%.                      SEP3",57734,96,Affaiblit une cible ennemie. Diminue tous les\nattributs de 25%.                           ES 3,57029,97,Weakens one enemy target. Lowers all attributes\nby 25%.                                    SP 3,100112,95,Verringert Attribute des Feindschiffes für 2\nDurchgänge. Erfordert Spezialausrüstung.    3 SP,99183,99,Reduce los atributos del navío enemigo 2 turnos.\nLanzar hechizos requiere un equipo especial. 3SP,99849,97,Réduit les attributs de l'ennemi pour 2 tours.\nÉquipement requis pour lancer le sort.      3 ES,98407,94,Lowers enemy ship's attributes for 2 turns.\nSpecial equipment is needed to cast.        3 SP
5,2352244068,105551,8,Drilnos,104569,8,Drilnos,105475,8,Drilnos,103703,8,Drilnos,4,0,Yellow,141,3,"",X,X,26,Add Weak,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),6,4,0,-1,0,0,0,58194,90,Schwächt alle Feinde auf dem Bildschirm.\nSenkt alle Attribute um 25%.               SP 6,57676,91,Debilita a todos los enemigos que hay en\npantalla y disminuye sus atributos un 25%.  SEP6,57830,96,Affaiblit tous les ennemis à l'écran. Diminue\ntous les attributs de 25%.                  ES 6,57126,91,Weakens all enemies on screen. Lowers all\nattributes by 25%.                         SP 6,100207,95,Verringert Attribute des Feindschiffes für 4\nDurchgänge. Erfordert Spezialausrüstung.    6 SP,99282,99,Reduce los atributos del navío enemigo 4 turnos.\nLanzar hechizos requiere un equipo especial. 6SP,99946,97,Réduit les attributs de l'ennemi pour 4 tours.\nÉquipement spécial requis pour ensorceller. 6 ES,98501,94,Lowers enemy ship's attributes for 4 turns.\nSpecial equipment is needed to cast.        6 SP
6,2352244076,105559,6,Sacri,104577,6,Sacri,105483,6,Sacri,103711,6,Sacri,0,0,Green,40,7,X,X,X,31,Recover HP,1,One character,6,Magic,0,2,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP (Ship),2,-1,400,-1,0,0,0,58284,91,Bringt 500 HP für einen Verbündeten. Kann\nauch außerhalb des Kampfes benutzt werden. SP 2,57767,91,Repone 500 puntos de Salud a los aliados\ny puede usarse fuera de la batalla.         SEP2,57926,95,Redonne 500 PV à l'un des alliés. Peut aussi\nêtre utilisé hors combat.                   ES 2,57217,94,Restores 500 HP to any one ally. Can also be\nused outside of battle.                    SP 2,100302,94,Repariert Schaden bis zu 4000 HP. Kann auch\naußerhalb des Kampfes angewendet werden.    2 SP,99381,92,Repara 4000 puntos de Salud de deterioro.\nPuede usarse fuera de la batalla también.    2SP,100043,96,Répare les dégâts pour une valeur de 4000 PV.\nCe sort peut aussi être lancé hors combat.  2 ES,98595,96,"Repairs 4,000 HP worth of damage. Can be cast\noutside of battle as well.                  2 SP"
7,2352244084,105565,7,Sacres,104583,7,Sacres,105489,7,Sacres,103717,7,Sacres,0,0,Green,41,7,X,X,X,31,Recover HP,1,One character,6,Magic,0,4,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP (Ship),4,-1,800,-1,0,0,0,58375,92,Bringt 1000 HP für einen Verbündeten. Kann\nauch außerhalb des Kampfes benutzt werden. SP 4,57858,92,Repone 1000 puntos de Salud a los aliados\ny puede usarse fuera de la batalla.         SEP4,58021,96,Redonne 1000 PV à l'un des alliés. Peut aussi\nêtre utilisé hors bataille.                 ES 4,57311,96,"Restores 1,000 HP to any one ally. Can also be\nused outside of battle.                    SP 4",100396,94,Repariert Schaden bis zu 8000 HP. Kann auch\naußerhalb des Kampfes angewendet werden.    4 SP,99473,93,Repara 8000 puntos de Salud de deterioro. \nPuede usarse fuera de la batalla también.    4SP,100139,96,Répare les dégâts pour une valeur de 8000 PV.\nCe sort peut aussi être lancé hors combat.  4 ES,98691,96,"Repairs 8,000 HP worth of damage. Can be cast\noutside of battle as well.                  4 SP"
8,2352244092,105572,7,Sacrum,104590,7,Sacrum,105496,7,Sacrum,103724,7,Sacrum,0,0,Green,42,6,X,X,"",31,Recover HP,2,All characters,6,Magic,0,8,0,0,1000,0,Physical,0,Poison,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,58467,93,Bringt 1000 HP für die gesamte Gruppe. Kann\nauch außerhalb des Kampfes benutzt werden. SP 8,57950,87,Repone 1000 puntos de Salud al grupo\ny puede usarse fuera de la batalla.         SEP8,58117,95,Redonne 1000 PV à tout le groupe. Peut aussi\nêtre utilisé hors bataille.                 ES 8,57407,96,"Restores 1,000 HP to entire party. Can also be\nused outside of battle.                    SP 8",100490,30,Kann nicht benutzt werden.\n,99566,20,No puede usarse.\n,100235,25,Ne peut être utilisé.\n,98787,24,Cannot be used.\n------
9,2352244100,105579,9,Sacrulen,104597,9,Sacrulen,105503,9,Sacrulen,103731,9,Sacrulen,0,0,Green,43,7,X,X,X,32,Recover HP to 100%,1,One character,6,Magic,0,6,0,0,10000,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP to 100% (Ship),6,-1,0,-1,0,0,0,58560,88,Erneuert gesamte HP eines Verbündeten.\nAuch außerhalb des Kampfes anwendbar.      SP 6,58037,92,Repone totalmente la Salud de cada aliado\ny puede usarse fuera de la batalla.         SEP6,58212,94,Redonne tous les PV à l'un des alliés. Peut\naussi être utilisé hors bataille.           ES 6,57503,98,Completely restores HP of any one ally. Can also\nbe used outside of battle.                 SP 6,100520,97,Repariert allen Schaden an deinem Schiff. Kann\nauch außerhalb des Kampfes angewendet werden.6SP,99586,88,Repara todo el deterioro de tu barco.\nPuede usarse fuera de la batalla también.    6SP,100260,91,Répare tous les dégâts sur votre navire.\nCe sort peut aussi être lancé hors combat.  6 ES,98811,95,Repairs all damage on your ship. Can be cast\noutside of battle as well.                  6 SP
