Entry ID,Item ID,[Item name],Item amount
0,240,Sap Leaf,3
1,240,Sap Leaf,3
2,244,Amber,2
3,513,Gold,150
4,258,Moonberry,1
5,514,Gold,200
6,490,修復材,3
7,241,Saprum Leaf,2
8,258,Moonberry,1
9,244,Amber,3
10,281,睡眠の杖,1
11,515,Gold,300
12,258,Moonberry,1
13,122,ドラクマＳＰ,1
14,184,無毒の首飾り,1
15,55,発掘アーム,1
16,258,Moonberry,1
17,275,回復の杖,1
18,260,Power Berry,1
19,240,Sap Leaf,25
20,264,Speed Berry,1
21,258,Moonberry,1
22,520,Gold,1827
23,258,Moonberry,1
24,258,Moonberry,1
25,87,Pirate Clothes,3
26,522,Gold,2248
27,258,Moonberry,1
28,524,Gold,3000
29,131,ラーの煌布,1
30,258,Moonberry,1
31,258,Moonberry,1
32,131,ラーの煌布,1
33,258,Moonberry,1
34,240,Sap Leaf,1
35,240,Sap Leaf,2
36,512,Gold,50
37,244,Amber,2
38,240,Sap Leaf,2
39,258,Moonberry,1
40,241,Saprum Leaf,2
41,267,炎の杖,1
42,125,銀の服,1
43,249,治癒薬,3
44,4,処刑の剣,1
45,516,Gold,527
46,126,清掃ツナギ,1
47,241,Saprum Leaf,3
48,25,遊牧民の飛刀,1
49,517,Gold,774
50,258,Moonberry,1
51,244,Amber,5
52,283,Bag of Spices,1
53,518,Gold,800
54,127,天女の羽衣,1
55,258,Moonberry,1
56,262,Vigor Berry,1
57,411,３インチ副砲改,1
58,54,デ式ドリル,1
59,249,治癒薬,4
60,252,攻防ＵＰ薬,4
61,254,ＨＰターン回復薬,2
62,253,素早さＵＰ薬,4
63,56,古代アーム,1
64,284,金塊,1
65,136,ＥＣ宝レア４,1
66,258,Moonberry,1
67,261,Mind Berry,1
68,519,Gold,1186
69,243,Sapocine Leaf,2
70,10,大地の剣,1
71,250,復活１薬,3
72,243,Sapocine Leaf,2
73,17,ガルウィング,1
74,521,Gold,2001
75,247,Ｈ＆Ｍ回復１薬,1
76,128,ダカットの服,1
77,244,Amber,4
78,124,ギルダーＳＰ,2
79,245,Amber Ball,1
80,258,Moonberry,1
81,258,Moonberry,1
82,250,復活１薬,2
83,274,稲妻の杖,1
84,265,Life Berry,1
85,248,Ｈ＆Ｍ回復２薬,1
86,258,Moonberry,1
87,256,睡眠ガス弾,1
88,258,Moonberry,1
89,11,夢追いの剣,1
90,266,Magic Berry,1
91,129,レオナルドの服,1
92,258,Moonberry,1
93,255,手りゅう弾,1
94,246,ガッツ回復薬,1
95,523,Gold,2731
96,258,Moonberry,1
97,19,氷の翼,1
98,257,毒ガス弾,1
99,62,紫氷刀,1
100,258,Moonberry,1
101,258,Moonberry,1
102,245,Amber Ball,2
103,525,Gold,4000
104,258,Moonberry,1
105,242,Sapres Leaf,2
106,409,Ｘ主砲,1
107,60,王家の宝刀,1
108,243,Sapocine Leaf,3
109,258,Moonberry,1
110,293,ダミーアイテム,1
111,258,Moonberry,1
112,258,Moonberry,1
113,263,Agile Berry,1
114,258,Moonberry,1
115,240,Sap Leaf,4
116,244,Amber,4
117,243,Sapocine Leaf,4
118,242,Sapres Leaf,3
