Entry ID,[Filter],JP entry name,[US enemy name],Width,Depth,Element ID,[Element name],Pad. #0,Pad. #1,Movement flags,Counter%,EXP,Gold,Pad. #2,Pad. #3,MAXHP,Unk. #0,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,Unk. #1,Unk. #2,Unk. #3,Unk. #4,Unk. #5,Unk. #6,Unk. #7,Effect ID,[Effect name],State ID,[State name],State hit%,Pad. #4,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad. #5,Pad. #6,Item #0 prob.,Item #0 amount,Item #0 ID,[Item #0 name],Item #1 prob.,Item #1 amount,Item #1 ID,[Item #1 name],Item #2 prob.,Item #2 amount,Item #2 ID,[Item #2 name],Item #3 prob.,Item #3 amount,Item #3 ID,[Item #3 name]
0,*,軍艦兵,Battleship Soldier,1,1,4,Yellow,-1,-1,4039,10,2,4,-1,-1,34,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,32,10,21,54,48,48,90,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
1,*,航行士,Sailor,1,1,4,Yellow,-1,-1,4037,15,2,8,-1,-1,118,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,25,20,23,48,38,38,100,20,-1,-1,100,4,240,Sap Leaf,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
2,*,ミクラステル,Micrastel,1,1,5,Silver,-1,-1,4047,10,5,14,-1,-1,97,18.0,10,10,10,10,11,9,0,9,10,10,10,0,0,10,11,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,33,5,19,54,57,43,90,10,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
3,*,マロッカ,Marocca,1,1,3,Blue,-1,-1,4095,5,1,2,-1,-1,19,18.0,20,9,11,10,5,10,40,20,20,20,22,0,0,20,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,16,9,5,12,42,52,44,85,10,-1,-1,2,1,182,Marocca's bangle,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
4,*,アーアペプ,Grouder,3,3,1,Red,-1,-1,4047,15,4,13,-1,-1,167,18.0,9,9,20,11,10,10,9,10,10,11,20,11,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,24,41,10,19,64,52,52,80,5,-1,-1,1,1,176,Warbeads,10,1,243,Sapocine Leaf,-1,-1,-1,None,-1,-1,-1,None
7,*,煌術処刑士,Magic Executor,1,1,4,Yellow,-1,-1,4087,5,6,39,-1,-1,229,18.0,5,10,10,20,9,11,5,5,5,5,5,5,0,5,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,3,18,40,5,27,51,50,72,60,25,-1,-1,100,1,245,Amber Ball,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
13,*,アスフール,Azbeth,1,1,3,Blue,-1,-1,4095,10,1,2,-1,-1,32,18.0,20,9,11,10,5,10,20,5,10,10,11,9,0,10,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,20,18,20,19,40,28,28,95,20,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
15,*,ヌール,Nur,1,1,0,Green,-1,-1,4095,5,1,2,-1,-1,17,18.0,10,11,9,5,20,10,10,10,10,5,9,0,0,10,20,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,16,24,10,21,38,36,36,90,15,-1,-1,5,1,241,Saprum Leaf,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
29,*,エルモ,Elmo,1,1,5,Silver,-1,-1,4095,50,2,38,-1,-1,21,18.0,10,10,10,10,11,9,10,9,10,10,10,10,0,10,11,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,13,32,10,27,36,32,64,110,100,-1,-1,5,1,244,Amber,5,1,240,Sap Leaf,-1,-1,-1,None,-1,-1,-1,None
72,*,警備士,Guard,1,1,4,Yellow,-1,-1,4037,15,0,3,-1,-1,62,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,15,21,20,19,36,32,32,100,20,-1,-1,45,1,242,Sapres Leaf,45,1,241,Saprum Leaf,45,1,240,Sap Leaf,-1,-1,-1,None
