Entry ID,[Filter],Party vigor,Magic EXP,Enemy #0 ID,[JP enemy #0 name],[US enemy #0 name],Enemy #1 ID,[JP enemy #1 name],[US enemy #1 name],Enemy #2 ID,[JP enemy #2 name],[US enemy #2 name],Enemy #3 ID,[JP enemy #3 name],[US enemy #3 name],Enemy #4 ID,[JP enemy #4 name],[US enemy #4 name],Enemy #5 ID,[JP enemy #5 name],[US enemy #5 name],Enemy #6 ID,[JP enemy #6 name],[US enemy #6 name],Enemy #7 ID,[JP enemy #7 name],[US enemy #7 name]
0,A099A_01EP.BIN,19,1,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,A099A_01EP.BIN,19,1,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None
2,A099A_01EP.BIN,14,1,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None
3,A099A_01EP.BIN,19,1,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,15,ヌール,Nur,15,ヌール,Nur,255,None,None,255,None,None,255,None,None
4,A099A_01EP.BIN,19,1,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None
5,A099A_01EP.BIN,19,1,3,マロッカ,Marocca,15,ヌール,Nur,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,A099A_01EP.BIN,14,1,3,マロッカ,Marocca,3,マロッカ,Marocca,15,ヌール,Nur,15,ヌール,Nur,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None
7,A099A_01EP.BIN,24,1,15,ヌール,Nur,15,ヌール,Nur,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None,255,None,None
8,A099A_01EP.BIN,19,1,15,ヌール,Nur,15,ヌール,Nur,29,エルモ,Elmo,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None
9,A099A_01EP.BIN,19,1,15,ヌール,Nur,15,ヌール,Nur,15,ヌール,Nur,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None
10,A099A_01EP.BIN,14,1,15,ヌール,Nur,15,ヌール,Nur,15,ヌール,Nur,29,エルモ,Elmo,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None
11,A099A_01EP.BIN,19,1,4,アーアペプ,Grouder,15,ヌール,Nur,15,ヌール,Nur,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
12,A099A_01EP.BIN,19,1,4,アーアペプ,Grouder,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
13,A099A_01EP.BIN,19,1,4,アーアペプ,Grouder,15,ヌール,Nur,15,ヌール,Nur,15,ヌール,Nur,255,None,None,255,None,None,255,None,None,255,None,None
14,A099A_01EP.BIN,19,1,4,アーアペプ,Grouder,29,エルモ,Elmo,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None,255,None,None
15,A099A_01EP.BIN,19,1,4,アーアペプ,Grouder,15,ヌール,Nur,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
16,A099A_01EP.BIN,19,1,4,アーアペプ,Grouder,15,ヌール,Nur,15,ヌール,Nur,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None
17,A099A_01EP.BIN,19,1,4,アーアペプ,Grouder,4,アーアペプ,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
18,A099A_01EP.BIN,9,1,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
19,A099A_01EP.BIN,9,1,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
20,A099A_01EP.BIN,9,1,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,255,None,None,255,None,None,255,None,None,255,None,None
21,A099A_01EP.BIN,24,1,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,255,None,None,255,None,None,255,None,None,255,None,None
22,A099A_01EP.BIN,24,1,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,255,None,None,255,None,None,255,None,None
