Entry ID,Magic EXP,Chara. 1 ID,[Chara. 1 Name],Chara. 1 X,Chara. 1 Z,Chara. 2 ID,[Chara. 2 Name],Chara. 2 X,Chara. 2 Z,Chara. 3 ID,[Chara. 3 Name],Chara. 3 X,Chara. 3 Z,Chara. 4 ID,[Chara. 4 Name],Chara. 4 X,Chara. 4 Z,Enemy 1 ID,[JP Enemy 1 Name],[US Enemy 1 Name],Enemy 1 X,Enemy 1 Z,Enemy 2 ID,[JP Enemy 2 Name],[US Enemy 2 Name],Enemy 2 X,Enemy 2 Z,Enemy 3 ID,[JP Enemy 3 Name],[US Enemy 3 Name],Enemy 3 X,Enemy 3 Z,Enemy 4 ID,[JP Enemy 4 Name],[US Enemy 4 Name],Enemy 4 X,Enemy 4 Z,Enemy 5 ID,[JP Enemy 5 Name],[US Enemy 5 Name],Enemy 5 X,Enemy 5 Z,Enemy 6 ID,[JP Enemy 6 Name],[US Enemy 6 Name],Enemy 6 X,Enemy 6 Z,Enemy 7 ID,[JP Enemy 7 Name],[US Enemy 7 Name],Enemy 7 X,Enemy 7 Z,Initiative,Defeat Cond. ID,[Defeat Cond. Name],Escape Cond. ID,[Escape Cond. Name],BGM ID
0,4,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,131,獄長,Warden,4,3,1,航行士,Sailor,3,3,7,煌術処刑士,Magic Executor,7,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,58
1,2,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,1,航行士,Sailor,3,4,1,航行士,Sailor,5,3,1,航行士,Sailor,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,58
2,4,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,7,煌術処刑士,Magic Executor,3,4,7,煌術処刑士,Magic Executor,5,3,7,煌術処刑士,Magic Executor,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,58
3,0,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,129,アガタウマス,Agathamaus,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,58
4,8,0,Vyse,6,7,1,Aika,5,8,2,Fina,6,8,-1,None,-1,-1,72,警備士,Guard,5,4,72,警備士,Guard,6,4,133,護送将兵,Escort Officer,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,58
5,12,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,130,イマゴタリア,Imagotalia,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,58
6,16,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,131,獄長,Warden,1,2,131,獄長,Warden,4,1,131,獄長,Warden,7,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,58
7,0,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,134,ラァス,Laas,4,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,58
8,1,0,Vyse,4,7,1,Aika,6,7,-1,None,-1,-1,-1,None,-1,-1,0,軍艦兵,Battleship Soldier,3,4,0,軍艦兵,Battleship Soldier,5,3,0,軍艦兵,Battleship Soldier,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,58
9,4,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,128,アントニオ,Antonio,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,0,Must Not Lose,1,Cannot Escape,60
10,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
11,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
12,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
13,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
14,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
15,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
16,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
17,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
