Entry ID,US Entry Name,Ship Flags,[L0],[L1],[D0],[D1],[D2],Feat. 0 ID,[Feat. 0 Name],Pad. 1,Feat. 0 Value,Feat. 1 ID,[Feat. 1 Name],Pad. 2,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 3,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 4,Feat. 3 Value,Pad. 5,Pad. 6,Purchase Price,Pad. 7,Pad. 8,Retail Price in %,Order by Prio.,US Order by ABC,Pad. 9,[US Descr. Pos.],[US Descr. Size],US Descr. Str.
440,ドクロの船首像,0x3e,X,X,X,X,X,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,800,0,0,50,0,0,0,0x334cdc,48,煌術防御力が上がる船首像。\nドクロのデザイン。
441,鳥の船首像,0x3e,X,X,X,X,X,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2400,0,0,50,1,1,0,0x334d0c,52,煌術防御力が上がる船首像。\n伝説の赤い鳥のデザイン。
442,赤き船首像,0x3e,X,X,X,X,X,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4400,0,0,50,2,2,0,0x334d40,72,煌術防御力が上がる船首像。\nピラミス神殿にあるスフィンクスのデザイン。
443,クジラの船首像,0x3e,X,X,X,X,X,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4640,0,0,50,3,3,0,0x334d88,52,煌術防御力が上がる船首像。\n幻のクジラのデザイン。
444,ケチャの船首像,0x3e,X,X,X,X,X,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4880,0,0,50,4,4,0,0x334dbc,48,煌術防御力が上がる船首像。\nケチャ様のデザイン。
445,ライオンの船首像,0x3e,X,X,X,X,X,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5120,0,0,50,5,5,0,0x334dec,48,煌術防御力が上がる船首像。\nバルア帝国の紋章。
446,青き神鳥の船首像,0x3e,X,X,X,X,X,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5360,0,0,50,6,6,0,0x334e1c,64,煌術防御力が上がる船首像。\nヤフトマーに伝わる神鳥のデザイン。
447,女神の船首像,0x3e,X,X,X,X,X,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6800,0,0,50,7,7,0,0x334e5c,72,煌術防御力が上がる船首像。\n勇気、努力、勝利を呼ぶ３人の女神のデザイン。
448,ヴァイスの船首像,0x3e,X,X,X,X,X,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8800,0,0,50,8,8,0,0x334ea4,44,煌術防御力が上がる船首像。\nヴァイスの彫像。
449,きらめく船首像,0x3e,X,X,X,X,X,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,13500,0,0,50,9,9,0,0x334ed0,68,煌術防御力が上がる船首像。\n朝日をあらわす光る球が先端についている。
450,エンジンカバー,0x3e,X,X,X,X,X,4,Quick,0,10,6,Dodge%,0,3,-1,None,0,0,-1,None,0,0,0,0,800,0,0,50,10,10,0,0x334f14,64,スピードを上げる追加パーツ\nエンジンをゴミやチリから守るカバー。
451,ターボキット,0x3e,X,X,X,X,X,4,Quick,0,20,6,Dodge%,0,5,-1,None,0,0,-1,None,0,0,0,0,1520,0,0,50,11,11,0,0x334f54,64,スピードを上げる追加パーツ\n燃料の混合比を上げて出力を上げる。
452,ボアアップキット,0x3e,X,X,X,X,X,4,Quick,0,30,6,Dodge%,0,8,-1,None,0,0,-1,None,0,0,0,0,2400,0,0,50,12,12,0,0x334f94,64,スピードを上げる追加パーツ\nエンジンの容量をあげ、パワーを得る。
453,ツインスクリュー,0x3e,X,X,X,X,X,4,Quick,0,40,6,Dodge%,0,10,-1,None,0,0,-1,None,0,0,0,0,3200,0,0,50,13,13,0,0x334fd4,72,スピードを上げる追加パーツ\nスクリュー連結部分を増やし、スピードを得る。
454,エアインテーク,0x3e,X,X,X,X,X,4,Quick,0,80,6,Dodge%,0,12,-1,None,0,0,-1,None,0,0,0,0,6800,0,0,50,14,14,0,0x33501c,76,スピードを上げる追加パーツ\nエンジン内の燃料比を一定に保ち、出力を上げる。
455,ツインターボ,0x3e,X,X,X,X,X,4,Quick,0,90,6,Dodge%,0,15,-1,None,0,0,-1,None,0,0,0,0,8800,0,0,50,15,15,0,0x335068,60,スピードを上げる追加パーツ\nターボキットを２連装にしたもの。
456,タイミングバルブ,0x3e,X,X,X,X,X,4,Quick,0,100,6,Dodge%,0,17,-1,None,0,0,-1,None,0,0,0,0,10800,0,0,50,16,16,0,0x3350a4,76,スピードを上げる追加パーツ\nエンジンの給排気を安定させ、スピードを上げる。
457,トリプルターボ,0x3e,X,X,X,X,X,4,Quick,0,130,6,Dodge%,0,20,-1,None,0,0,-1,None,0,0,0,0,12800,0,0,50,17,17,0,0x3350f0,60,スピードを上げる追加パーツ\nターボキットを３連装にしたもの。
458,ハイトルクキット,0x3e,X,X,X,X,X,4,Quick,0,150,6,Dodge%,0,23,-1,None,0,0,-1,None,0,0,0,0,14800,0,0,50,18,18,0,0x33512c,68,スピードを上げる追加パーツ\n耐久性を上げ、出力を飛躍的に上昇させる
459,ツインエンジン,0x3e,X,X,X,X,X,4,Quick,0,200,6,Dodge%,0,26,-1,None,0,0,-1,None,0,0,0,0,16640,0,0,50,19,19,0,0x335170,76,スピードを上げる追加パーツ\nエンジン内を２段階に独立させ、２倍の出力を出す。
460,装甲板,0x3e,X,X,X,X,X,2,Defense,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1000,0,0,50,20,20,0,0x3351bc,36,防御力が上昇する。\n普通の装甲板。
461,鋼装甲板,0x3e,X,X,X,X,X,2,Defense,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1900,0,0,50,21,21,0,0x3351e0,40,防御力が上昇する。\n鋼板を重ねた装甲板。
