Entry ID,US entry name,Padding #0,Padding #1,Padding #2,Padding #3,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Effect value #1,Effect value #2,Element ID,[Element name],Type ID,[Type name],Unknown #0,Unknown #1,State ID,[State name],State hit%,Padding #4,Padding #5
0,Increm,0,0,0,0,1,Magic,21,Add Strengthen,3,One enemy,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
1,Incremus,0,0,0,0,1,Magic,21,Add Strengthen,4,All enemies,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
2,Sylenis,0,0,0,0,1,Magic,12,Add Silence,1,One character,0,0,0,Green,0,Physical,1,1,5,Silence,40,0,0
3,Panika,0,0,0,0,1,Magic,11,Add Confusion,1,One character,0,0,0,Green,0,Physical,1,1,4,Confusion,40,0,0
4,Driln,0,0,0,0,1,Magic,26,Add Weak,1,One character,0,0,0,Green,0,Physical,1,1,8,Weak,40,0,0
5,Drilnos,0,0,0,0,1,Magic,26,Add Weak,2,All characters,0,0,0,Green,0,Physical,1,1,8,Weak,60,0,0
6,Sacri,0,0,0,0,1,Magic,31,Recover HP,3,One enemy,500,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,Sacres,0,0,0,0,1,Magic,31,Recover HP,3,One enemy,1000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
8,Sacrum,0,0,0,0,1,Magic,31,Recover HP,4,All enemies,1000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
9,Sacrulen,0,0,0,0,1,Magic,32,Recover HP to 100%,3,One enemy,10000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,Noxi,0,0,0,0,1,Magic,4,Add Poison + Damage,1,One character,1,60,0,Green,1,Magical,1,1,0,Poison,40,0,0
11,Noxus,0,0,0,0,1,Magic,4,Add Poison + Damage,2,All characters,1,100,0,Green,1,Magical,1,1,0,Poison,60,0,0
12,Slipara,0,0,0,0,1,Magic,9,Add Sleep,2,All characters,0,0,0,Green,0,Physical,1,1,3,Sleep,60,0,0
13,Quika,0,0,0,0,1,Magic,20,Add Quickened,4,All enemies,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,Curia,0,0,0,0,1,Magic,30,Remove negative states,3,One enemy,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
15,Risan,0,0,0,0,1,Magic,27,Revive with 50% of HP,3,One enemy,0,0,0,Green,0,Physical,55,55,7,Revival,50,0,0
16,Riselem,0,0,0,0,1,Magic,28,Revive with 100% of HP,3,One enemy,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,Eterni,0,0,0,0,1,Magic,5,Add Unconscious,1,One character,0,0,0,Green,0,Physical,1,1,1,Unconscious,60,0,0
18,Eternes,0,0,0,0,1,Magic,5,Add Unconscious,2,All characters,0,0,0,Green,0,Physical,1,1,1,Unconscious,80,0,0
19,Eternum,0,0,0,0,1,Magic,6,Add Unconscious + Damage #1,1,One character,1,250,5,Silver,1,Magical,1,1,1,Unconscious,0,0,0
20,Wevli,0,0,0,0,1,Magic,0,Damage,96,Character area #1,1,60,3,Blue,1,Magical,0,0,0,Poison,0,0,0
21,Wevles,0,0,0,0,1,Magic,0,Damage,97,Character area #2,1,105,3,Blue,1,Magical,0,0,0,Poison,0,0,0
22,Wevlen,0,0,0,0,1,Magic,0,Damage,98,Character area #3,1,195,3,Blue,1,Magical,0,0,0,Poison,0,0,0
23,Pyri,0,0,0,0,1,Magic,0,Damage,2,All characters,1,50,1,Red,1,Magical,0,0,0,Poison,0,0,0
24,Pyres,0,0,0,0,1,Magic,0,Damage,2,All characters,1,85,1,Red,1,Magical,0,0,0,Poison,0,0,0
25,Pyrum,0,0,0,0,1,Magic,0,Damage,2,All characters,1,120,1,Red,1,Magical,0,0,0,Poison,0,0,0
26,Crystali,0,0,0,0,1,Magic,0,Damage,1,One character,1,70,2,Purple,1,Magical,0,0,0,Poison,0,0,0
27,Crystales,0,0,0,0,1,Magic,0,Damage,1,One character,1,120,2,Purple,1,Magical,0,0,0,Poison,0,0,0
28,Crystalum,0,0,0,0,1,Magic,0,Damage,1,One character,1,170,2,Purple,1,Magical,0,0,0,Poison,0,0,0
29,Crystalen,0,0,0,0,1,Magic,0,Damage,1,One character,1,220,2,Purple,1,Magical,0,0,0,Poison,0,0,0
30,Pyrulen,0,0,0,0,1,Magic,0,Damage,2,All characters,1,155,1,Red,1,Magical,0,0,0,Poison,0,0,0
31,Wevlum,0,0,0,0,1,Magic,0,Damage,97,Character area #2,1,150,3,Blue,1,Magical,0,0,0,Poison,0,0,0
32,Electri,0,0,0,0,1,Magic,0,Damage,100,Character line #1,1,60,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
33,Electres,0,0,0,0,1,Magic,0,Damage,101,Character line #2,1,105,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
34,Electrum,0,0,0,0,1,Magic,0,Damage,101,Character line #2,1,150,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
35,Electrulen,0,0,0,0,1,Magic,0,Damage,102,Character line #3,1,195,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
