Entry ID,[Str. pos.],[Str. size],[Str. encoding],Str. value,[Str. data]
0,0x30,17,Shift_JIS,Lib Handle Start,"""Lib Handle Start"""
1,0x577c,44,Shift_JIS,\nntInf Ver 2.00 Build:Mar 31 1999 14:13:50\n,"""\nntInf Ver 2.00 Build:Mar 31 1999 14:13:50\n"""
2,0x5d88,5,Shift_JIS,SEGA,"""SEGA"""
3,0x32cc20,46,Shift_JIS,\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n,"""\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n"""
4,0x32cc50,3,Shift_JIS,rb,"""rb"""
5,0x32cc68,28,Shift_JIS,CHUNK POF IS HEAP AREA OVER,"""CHUNK POF IS HEAP AREA OVER"""
6,0x32cc84,24,Shift_JIS,Sound Driver Read Error,"""Sound Driver Read Error"""
7,0x32cc9c,21,Shift_JIS,Sound Lib Init Error,"""Sound Lib Init Error"""
8,0x32ccb4,29,Shift_JIS,Sound Mem Block Create Error,"""Sound Mem Block Create Error"""
9,0x32ccd4,28,Shift_JIS,Sound Mem Block Param Error,"""Sound Mem Block Param Error"""
10,0x32ccf0,21,Shift_JIS,Sound Drv Init Error,"""Sound Drv Init Error"""
11,0x32cd08,30,Shift_JIS,Sound Mem Block Destroy Error,"""Sound Mem Block Destroy Error"""
12,0x32cd28,21,Shift_JIS,MIDI PORT OPEN ERROR,"""MIDI PORT OPEN ERROR"""
13,0x32cd40,21,Shift_JIS,MIDI PORT STOP ERROR,"""MIDI PORT STOP ERROR"""
14,0x32cd58,22,Shift_JIS,MIDI PORT RESET ERROR,"""MIDI PORT RESET ERROR"""
15,0x32cd70,28,Shift_JIS,Sound sdSysSetSlotMax Error,"""Sound sdSysSetSlotMax Error"""
16,0x32cd8c,26,Shift_JIS,Sound MLT Down Load Error,"""Sound MLT Down Load Error"""
17,0x32cda8,5,Shift_JIS,SMSB,"""SMSB"""
18,0x32cdb0,5,Shift_JIS,SMPB,"""SMPB"""
19,0x32cdb8,23,Shift_JIS,MLT File Is Illegal %s,"""MLT File Is Illegal %s"""
20,0x32cdd0,32,Shift_JIS,Sound Bank Data Down Load Error,"""Sound Bank Data Down Load Error"""
21,0x32cdf0,19,Shift_JIS,Sound Fx Set Error,"""Sound Fx Set Error"""
22,0x32ce04,24,Shift_JIS,MIDI RELEASE MODE ERROR,"""MIDI RELEASE MODE ERROR"""
23,0x32ce1c,23,Shift_JIS,Sound SHOT Close Error,"""Sound SHOT Close Error"""
24,0x32ce34,22,Shift_JIS,Sound PCM Close Error,"""Sound PCM Close Error"""
25,0x32ce4c,13,Shift_JIS,Bank 0 Error,"""Bank 0 Error"""
26,0x32ce5c,23,Shift_JIS,Sound Get Status Error,"""Sound Get Status Error"""
27,0x32ce74,27,Shift_JIS,Sound Midi Reset Prm Error,"""Sound Midi Reset Prm Error"""
28,0x32ce90,27,Shift_JIS,Sound Shot Reset Prm Error,"""Sound Shot Reset Prm Error"""
29,0x32ceac,26,Shift_JIS,Sound PCM Reset Prm Error,"""Sound PCM Reset Prm Error"""
30,0x32cec8,17,Shift_JIS,Sound Play Error,"""Sound Play Error"""
31,0x32cedc,11,Shift_JIS,Bank Error,"""Bank Error"""
32,0x32cee8,26,Shift_JIS,Sound PCM Down Load Error,"""Sound PCM Down Load Error"""
33,0x32cf04,23,Shift_JIS,Sound Pcm Status Error,"""Sound Pcm Status Error"""
34,0x32cf1c,21,Shift_JIS,Sound Pcm Play Error,"""Sound Pcm Play Error"""
35,0x32cf34,23,Shift_JIS,Sound MIDI Pause Error,"""Sound MIDI Pause Error"""
36,0x32cf4c,22,Shift_JIS,Sound MIDI Fade Error,"""Sound MIDI Fade Error"""
37,0x32cf64,22,Shift_JIS,Sound SHOT Fade Error,"""Sound SHOT Fade Error"""
38,0x32cf7c,26,Shift_JIS,Sound PCM Fade Error Left,"""Sound PCM Fade Error Left"""
39,0x32cf98,27,Shift_JIS,Sound PCM Fade Error Right,"""Sound PCM Fade Error Right"""
40,0x32cfb4,8,Shift_JIS,\\sound\\,"""\\sound\\"""
41,0x32cfbc,25,Shift_JIS,MLT FAST HANDLE IS EMPTY,"""MLT FAST HANDLE IS EMPTY"""
42,0x32cfd8,22,Shift_JIS,MLT FAST HANDLE ERROR,"""MLT FAST HANDLE ERROR"""
43,0x32cff0,3,Shift_JIS,%s,"""%s"""
44,0x32cff4,5,Shift_JIS,GAME,"""GAME"""
45,0x32cffd,7,Shift_JIS,CAMERA,"""CAMERA"""
46,0x32d006,8,Shift_JIS,LIGHT 0,"""LIGHT 0"""
47,0x32d00f,8,Shift_JIS,LIGHT 1,"""LIGHT 1"""
48,0x32d018,8,Shift_JIS,LIGHT 2,"""LIGHT 2"""
49,0x32d021,9,Shift_JIS,MURABITO,"""MURABITO"""
50,0x32d02c,15,Shift_JIS,DEBUG MODE   -,"""DEBUG MODE   -"""
51,0x32d03c,15,Shift_JIS,Calc Vertex  -,"""Calc Vertex  -"""
52,0x32d04c,15,Shift_JIS,Calc Polygon -,"""Calc Polygon -"""
53,0x32d05c,15,Shift_JIS,Draw Polygon -,"""Draw Polygon -"""
54,0x32d06c,15,Shift_JIS,FPS          -,"""FPS          -"""
55,0x32d07c,15,Shift_JIS,TEXTURE      -,"""TEXTURE      -"""
56,0x32d08c,15,Shift_JIS,VIEW POS     -,"""VIEW POS     -"""
57,0x32d09c,15,Shift_JIS,PURSUIT POS  -,"""PURSUIT POS  -"""
58,0x32d0ac,15,Shift_JIS,VIEW ANG     -,"""VIEW ANG     -"""
59,0x32d0bc,15,Shift_JIS,PURSUIT ANG  -,"""PURSUIT ANG  -"""
60,0x32d0cc,15,Shift_JIS,DISTANCE     -,"""DISTANCE     -"""
61,0x32d0dc,15,Shift_JIS,PERS         -,"""PERS         -"""
62,0x32d0ec,15,Shift_JIS,LIGHT NUM    -,"""LIGHT NUM    -"""
63,0x32d0fc,15,Shift_JIS,LIGHT POS    -,"""LIGHT POS    -"""
64,0x32d10c,15,Shift_JIS,LIGHT VECTOR -,"""LIGHT VECTOR -"""
65,0x32d11c,15,Shift_JIS,AMBIENT      -,"""AMBIENT      -"""
66,0x32d12c,15,Shift_JIS,DEFFUSE      -,"""DEFFUSE      -"""
67,0x32d13c,15,Shift_JIS,SPECULAR     -,"""SPECULAR     -"""
68,0x32d14c,19,Shift_JIS,UP    - PLAYER Z +,"""UP    - PLAYER Z +"""
69,0x32d160,19,Shift_JIS,DOWN  - PLAYER Z -,"""DOWN  - PLAYER Z -"""
70,0x32d174,19,Shift_JIS,LEFT  - PLAYER X +,"""LEFT  - PLAYER X +"""
71,0x32d188,19,Shift_JIS,RIGHT - PLAYER X -,"""RIGHT - PLAYER X -"""
72,0x32d19c,27,Shift_JIS,L BTN - VIEW 45 LEFT  TURN,"""L BTN - VIEW 45 LEFT  TURN"""
73,0x32d1b8,27,Shift_JIS,R BTN - VIEW 45 RIGHT TURN,"""R BTN - VIEW 45 RIGHT TURN"""
74,0x32d1d4,25,Shift_JIS,X BTN - VIEW MODE CHANGE,"""X BTN - VIEW MODE CHANGE"""
75,0x32d1f0,30,Shift_JIS,Y BTN - DEBUG INDICATE SWITCH,"""Y BTN - DEBUG INDICATE SWITCH"""
76,0x32d210,26,Shift_JIS,Z BTN - DEBUG MODE CHANGE,"""Z BTN - DEBUG MODE CHANGE"""
77,0x32d22c,23,Shift_JIS,START - DUNGEON CHANGE,"""START - DUNGEON CHANGE"""
78,0x32d244,23,Shift_JIS,UP    - PLAYER ADVANCE,"""UP    - PLAYER ADVANCE"""
79,0x32d25c,25,Shift_JIS,LEFT  - PLAYER TURN LEFT,"""LEFT  - PLAYER TURN LEFT"""
80,0x32d278,26,Shift_JIS,RIGHT - PLAYER TURN RIGHT,"""RIGHT - PLAYER TURN RIGHT"""
81,0x32d294,25,Shift_JIS,L BTN - VIEW MODE CHANGE,"""L BTN - VIEW MODE CHANGE"""
82,0x32d2b0,17,Shift_JIS,UP    - X ROLL -,"""UP    - X ROLL -"""
83,0x32d2c4,17,Shift_JIS,DOWN  - X ROLL +,"""DOWN  - X ROLL +"""
84,0x32d2d8,17,Shift_JIS,LEFT  - Y ROLL -,"""LEFT  - Y ROLL -"""
85,0x32d2ec,17,Shift_JIS,RIGHT - Y ROLL +,"""RIGHT - Y ROLL +"""
86,0x32d300,17,Shift_JIS,L BTN - PERS FAR,"""L BTN - PERS FAR"""
87,0x32d314,18,Shift_JIS,R BTN - PERS NEAR,"""R BTN - PERS NEAR"""
88,0x32d328,22,Shift_JIS,A BTN - DISTANCE NEAR,"""A BTN - DISTANCE NEAR"""
89,0x32d340,21,Shift_JIS,X BTN - DISTANCE FAR,"""X BTN - DISTANCE FAR"""
90,0x32d358,12,Shift_JIS,Y BTN - Y +,"""Y BTN - Y +"""
91,0x32d364,12,Shift_JIS,B BTN - Y -,"""B BTN - Y -"""
92,0x32d370,13,Shift_JIS,START - EXIT,"""START - EXIT"""
93,0x32d380,12,Shift_JIS,UP    - Z +,"""UP    - Z +"""
94,0x32d38c,12,Shift_JIS,DOWN  - Z -,"""DOWN  - Z -"""
95,0x32d398,12,Shift_JIS,LEFT  - X +,"""LEFT  - X +"""
96,0x32d3a4,12,Shift_JIS,RIGHT - X -,"""RIGHT - X -"""
97,0x32d3b0,17,Shift_JIS,L BTN - Y ROLL +,"""L BTN - Y ROLL +"""
98,0x32d3c4,17,Shift_JIS,R BTN - Y ROLL -,"""R BTN - Y ROLL -"""
99,0x32d3d8,17,Shift_JIS,X BTN - X ROLL +,"""X BTN - X ROLL +"""
100,0x32d3ec,17,Shift_JIS,A BTN - X ROLL -,"""A BTN - X ROLL -"""
101,0x32d400,19,Shift_JIS,Z BTN - RESET VIEW,"""Z BTN - RESET VIEW"""
102,0x32d414,12,Shift_JIS,UP    - Z -,"""UP    - Z -"""
103,0x32d420,12,Shift_JIS,DOWN  - Z +,"""DOWN  - Z +"""
104,0x32d42c,12,Shift_JIS,LEFT  - X -,"""LEFT  - X -"""
105,0x32d438,12,Shift_JIS,RIGHT - X +,"""RIGHT - X +"""
106,0x32d444,18,Shift_JIS,UP    - LIGHT Z +,"""UP    - LIGHT Z +"""
107,0x32d458,18,Shift_JIS,DOWN  - LIGHT Z -,"""DOWN  - LIGHT Z -"""
108,0x32d46c,18,Shift_JIS,LEFT  - LIGHT X +,"""LEFT  - LIGHT X +"""
109,0x32d480,18,Shift_JIS,RIGHT - LIGHT X -,"""RIGHT - LIGHT X -"""
110,0x32d494,18,Shift_JIS,R BTN - LIGHT Y +,"""R BTN - LIGHT Y +"""
111,0x32d4a8,18,Shift_JIS,L BTN - LIGHT Y -,"""L BTN - LIGHT Y -"""
112,0x32d4bc,19,Shift_JIS,A BTN - AMBIENT UP,"""A BTN - AMBIENT UP"""
113,0x32d4d0,19,Shift_JIS,B BTN - DEFFUSE UP,"""B BTN - DEFFUSE UP"""
114,0x32d4e4,17,Shift_JIS,C BTN - SPECULAR,"""C BTN - SPECULAR"""
115,0x32d4f8,21,Shift_JIS,X BTN - LIGHT SWITCH,"""X BTN - LIGHT SWITCH"""
116,0x32d510,34,Shift_JIS,(L BTN)+(R BTN) - DELETE MURABITO,"""(L BTN)+(R BTN) - DELETE MURABITO"""
117,0x32d534,22,Shift_JIS,A BTN - SET MUARABITO,"""A BTN - SET MUARABITO"""
118,0x32d54c,4,Shift_JIS,%1d,"""%1d"""
119,0x32d550,6,Shift_JIS,%3.2f,"""%3.2f"""
120,0x32d558,4,Shift_JIS,%3d,"""%3d"""
121,0x32d55c,15,Shift_JIS,INFOMATION ON ,"""INFOMATION ON """
122,0x32d56c,13,Shift_JIS,STAGE SELECT,"""STAGE SELECT"""
123,0x32d57c,10,Shift_JIS,GAME MODE,"""GAME MODE"""
124,0x32d588,12,Shift_JIS,CAMERA MODE,"""CAMERA MODE"""
125,0x32d594,11,Shift_JIS,LIGHT MODE,"""LIGHT MODE"""
126,0x32d5a0,9,Shift_JIS,FOG MENU,"""FOG MENU"""
127,0x32d5ac,13,Shift_JIS,START = EXIT,"""START = EXIT"""
128,0x32d5bc,14,Shift_JIS,CAMERA MODE 0,"""CAMERA MODE 0"""
129,0x32d5cc,12,Shift_JIS,PURSUIT INF,"""PURSUIT INF"""
130,0x32d5d8,9,Shift_JIS,VIEW INF,"""VIEW INF"""
131,0x32d5e4,10,Shift_JIS,ALL RESET,"""ALL RESET"""
132,0x32d5f0,8,Shift_JIS,FOG OFF,"""FOG OFF"""
133,0x32d5f8,16,Shift_JIS,NEAR    -1.0000,"""NEAR    -1.0000"""
134,0x32d608,16,Shift_JIS,FAR   -100.0000,"""FAR   -100.0000"""
135,0x32d618,12,Shift_JIS,RED     255,"""RED     255"""
136,0x32d624,12,Shift_JIS,GREEN   255,"""GREEN   255"""
137,0x32d630,12,Shift_JIS,BULE    255,"""BULE    255"""
138,0x32d63c,16,Shift_JIS,\\sound\\m04s.p16,"""\\sound\\m04s.p16"""
139,0x32d6a4,15,Shift_JIS,\\ending\\sr.mll,"""\\ending\\sr.mll"""
140,0x32d6b4,17,Shift_JIS,\\ending\\srok.mll,"""\\ending\\srok.mll"""
141,0x32d6c8,18,Shift_JIS,\\ending\\staff.mld,"""\\ending\\staff.mld"""
142,0x32dbb4,25,Shift_JIS,Call Back Hooking Failed,"""Call Back Hooking Failed"""
143,0x32dbd0,24,Shift_JIS,Call Back Delete Failed,"""Call Back Delete Failed"""
144,0x32dbe8,32,Shift_JIS,FioInit Error (memory allocate),"""FioInit Error (memory allocate)"""
145,0x32dc08,36,Shift_JIS,FioOpen Error (memory allocate): %s,"""FioOpen Error (memory allocate): %s"""
146,0x32dc2c,18,Shift_JIS,FioOpen Error: %s,"""FioOpen Error: %s"""
147,0x32dc40,33,Shift_JIS,FioOpen Error (File Size): %s %d,"""FioOpen Error (File Size): %s %d"""
148,0x32dc64,35,Shift_JIS,FioReadReq Error (memory allocate),"""FioReadReq Error (memory allocate)"""
149,0x32dc88,8,Shift_JIS,a299a01,"""a299a01"""
