Entry ID,US entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #0,Padding #1,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #2,Padding #3,Padding #4,Ship occ. ID,[Ship occ. name],Padding #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown,Padding #6,Padding #7,Padding #8,[US descr. pos.],[US descr. size],US descr. str.
36,Cutlass Fury,6,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3350816,92,"Vyse unleashes his fury on a single enemy,\ncausing major damage.                      SP 7"
37,Rain of Swords,6,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3350908,100,Vyse summons the power of lightning to rain down\nupon all the enemies on the screen.        SP 14
38,Pirates' Wrath,6,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351008,96,Vyse unleashes the wrath of the Air Pirates on\na single enemy for devastating damage.     SP 21
39,Omega Psyclone,1,Red,214,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351104,92,Aika summons the powers of the Red Moon to\ndestroy all of the enemies on screen.      SP 12
40,Alpha Storm,1,Red,210,2,"",X,"",0,Damage,39,Enemy line #4,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351196,96,"Aika spins her boomerang, summoning a vortex of\nflames to strike all enemies in a line.    SP 4"
41,Lambda Burst,1,Red,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351292,92,"Aika causes the very ground around her to\nexplode, damaging all enemies on screen.   SP 8"
42,Lunar Glyph,5,Silver,221,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351384,96,Fina uses the power of the Silver Moon to damage\nand possibly Stone a single enemy.       SP 3
43,Lunar Winds,5,Silver,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351480,96,Cupil summons a storm to damage and remove any\nbeneficial effects from all enemies.       SP 6
44,Tackle,6,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351576,100,Drachma concentrates all of his energy into his\nmetal arm and charges one enemy.           SP 10
45,Hand of Fate,6,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351676,96,"Drachma crushes one enemy with his mighty arm,\ncausing instant death to most.             SP 25"
