Entry ID,US entry name,Occ. flags,[Menu],[Battle],[Ship battle],Ship effect ID,[Ship effect name],Ship effect turns,Consume%,Padding #0,Padding #1,Padding #2,Purchase price,Padding #3,Padding #4,Retail price in %,Order by prio.,US order by ABC,Padding #5,Ship effect amount,Element ID,[Element name],Unknown #0,Unknown #1,Hit%,[US descr. pos.],[US descr. size],US descr. str.
480,Bomb,1,"","",X,107,Damage (Ship),-1,100,0,0,0,100,0,0,50,0,3,0,80,6,Neutral,0,0,0,3385136,48,"A common bomb, designed to damage the enemy."
481,Big Bomb,1,"","",X,107,Damage (Ship),-1,100,0,0,0,150,0,0,50,1,2,0,120,6,Neutral,0,0,0,3385184,84,"A larger bomb, packed with more gunpowder for a\nbigger blast. Damages the enemy."
482,Concussion Bomb,1,"","",X,107,Damage (Ship),-1,100,0,0,0,200,0,0,50,2,6,0,150,6,Neutral,0,0,0,3385268,80,A bomb that packs double the firepower of a\nstandard bomb. Damages the enemy.
483,Shredder Bomb,1,"","",X,107,Damage (Ship),-1,100,0,0,0,480,0,0,50,3,24,0,250,6,Neutral,0,0,0,3385348,88,A bomb designed for pure explosive power and\nsize. Does massive damage to the enemy.
484,Pyro Bomb,1,"","",X,107,Damage (Ship),-1,100,0,0,0,450,0,0,50,4,21,0,240,1,Red,1,0,0,3385436,88,A special bomb with Red Moon Dust mixed\ninto the gunpowder. Has an extremely hot blast.
485,Frost Bomb,1,"","",X,107,Damage (Ship),-1,100,0,0,0,600,0,0,50,5,10,0,240,2,Purple,1,0,0,3385524,92,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has an extremely cold blast.
486,Silencer Bomb,1,"","",X,116,Add Silence (Ship),-1,100,0,0,0,600,0,0,50,6,25,0,0,0,Green,0,165,80,3385616,92,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has a Sylenis-like effect.
487,Thunder Bomb,1,"","",X,107,Damage (Ship),-1,100,0,0,0,450,0,0,50,7,28,0,240,4,Yellow,1,0,0,3385708,92,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has an Electri-like effect.
488,Electro Bomb,1,"","",X,106,Add Weak (Ship),-1,100,0,0,0,600,0,0,50,8,9,0,0,0,Green,0,1,80,3385800,88,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has a Driln-like effect.
489,Wave Bomb,1,"","",X,107,Damage (Ship),-1,100,0,0,0,600,0,0,50,9,29,0,240,3,Blue,1,0,0,3385888,92,A special bomb with Blue Moonstone dust mixed\ninto the gunpowder. Has a Wevli-like effect.
