Entry ID,US Entry Name,Chara. Flags,[V],[A],[F],[D],[E],[G],Retail Price in %,Order by Prio.,US Order by ABC,Pad. 1,Purchase Price,Feat. 0 ID,[Feat. 0 Name],Pad. 2,Feat. 0 Value,Feat. 1 ID,[Feat. 1 Name],Pad. 3,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 4,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 5,Feat. 3 Value,[US Descr. Pos.],[US Descr. Size],US Descr. Str.
80,Vyse's Uniform,0x31,X,X,"","","",X,50,0,58,0,60,17,Defense,0,20,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,0x3343f8,56,Uniform of the Blue Rogues.\nGiven to him by his father.
81,Aika's Shorts,0x18,"",X,X,"","","",50,1,1,0,50,17,Defense,0,19,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,0x334430,64,"Aika's favorite pair of shorts, given to her\nby Vyse's mother."
82,Fina's Robe,0x1a,"",X,X,"",X,"",50,11,19,0,510,17,Defense,0,55,18,MagDef,0,64,-1,None,0,0,-1,None,0,0,0x334470,72,"A traditional Silvite Dress, worn by women of\nthe Silver Civilization."
83,Drachma's Shirt,0x4,"","","",X,"","",50,4,13,0,340,17,Defense,0,45,18,MagDef,0,42,-1,None,0,0,-1,None,0,0,0x3344b8,76,"An extra large, heavy shirt that's been well\nworn by years of hard work."
84,Enrique's Coat,0x2,"","","","",X,"",50,33,15,0,3390,17,Defense,0,119,18,MagDef,0,119,19,Hit%,0,10,20,Dodge%,0,5,0x334504,80,The light armor of the Valuan Imperial Court.\nIt improves the wearer's agility.
85,Gilder's Mail,0x25,X,"","",X,"",X,50,27,24,0,2840,17,Defense,0,116,18,MagDef,0,99,-1,None,0,0,-1,None,0,0,0x334554,92,"Light armor, worn by Gilder under his coat.\nGilder likes to have fun, but he's no dummy."
86,Light Robe,0x1a,"",X,X,"",X,"",50,3,32,0,130,17,Defense,0,29,18,MagDef,0,34,-1,None,0,0,-1,None,0,0,0x3345b0,64,A lightweight robe crafted from magically\nresistant fabric. 
87,Valuan Uniform,0x35,X,X,"",X,"",X,50,2,55,0,170,17,Defense,0,32,18,MagDef,0,32,-1,None,0,0,-1,None,0,0,0x3345f0,56,A uniform stolen from a low-ranking Valuan\nnavigator.
88,Sailor Uniform,0x35,X,X,"",X,"",X,50,5,49,0,330,17,Defense,0,44,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,0x334628,80,"Inexpensive, light weight, and durable, this\nis the preferred dress of sailors."
89,Mystic Dress,0x18,"",X,X,"","","",75,6,40,0,310,17,Defense,0,42,18,MagDef,0,46,-1,None,0,0,-1,None,0,0,0x334678,92,A dress made of magically resistant fabric that\nenables the wearer to resist magic attacks.
90,Valuan Armor,0x25,X,"","",X,"",X,50,7,54,0,480,17,Defense,0,51,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,0x3346d4,68,On old suit of armor worn by guards in the\nValuan Imperial Palace.
91,Elastamor,0x3f,X,X,X,X,X,X,50,8,14,0,580,17,Defense,0,54,18,MagDef,0,54,36,Yellow,0,-2,-1,None,0,0,0x334718,68,A tight-fitting suit that resists damage from\nyellow magic spells.
92,Raincoat,0x35,X,X,"",X,"",X,50,9,46,0,560,17,Defense,0,56,18,MagDef,0,56,-1,None,0,0,-1,None,0,0,0x33475c,72,Durable coat worn by sailors to protect them\nfrom the harsh elements.
93,Nasrean Mail,0x3f,X,X,X,X,X,X,50,12,43,0,920,17,Defense,0,66,18,MagDef,0,66,33,Red,0,-2,-1,None,0,0,0x3347a4,92,"Durable, lightweight outfit made for desert\ntravel. Defends the wearer against Red Magic."
94,Ceramic Armor,0x25,X,"","",X,"",X,50,13,8,0,1040,17,Defense,0,73,18,MagDef,0,62,-1,None,0,0,-1,None,0,0,0x334800,84,"Light, but very durable armor created from\nbaking different types of Nasrean Clay."
95,Agile Robe,0xa,"","",X,"",X,"",50,14,0,0,930,17,Defense,0,65,18,MagDef,0,65,19,Hit%,0,10,20,Dodge%,0,5,0x334854,56,A lightweight robe that increases the wearer's\nAgile.
96,Miner's Overalls,0x27,X,"","",X,X,X,25,18,35,0,910,17,Defense,0,87,18,MagDef,0,80,-1,None,0,0,-1,None,0,0,0x33488c,88,"Thick overalls, worn by miners. It is very\ndifficult to find a pair that isn't dirty."
97,Fiber Robe,0x1a,"",X,X,"",X,"",50,19,18,0,1040,17,Defense,0,77,18,MagDef,0,90,-1,None,0,0,-1,None,0,0,0x3348e4,76,Ceremonial Robe woven from plants.\nProtects the user from magic attacks.
98,Golden Armor,0x25,X,"","",X,"",X,100,20,25,0,2480,17,Defense,0,90,18,MagDef,0,77,-1,None,0,0,-1,None,0,0,0x334930,52,Extremely heavy armor forged from Ixa'takan\ngold.
99,Ixa'takan Armor,0x3f,X,X,X,X,X,X,50,31,29,0,2790,17,Defense,0,109,18,MagDef,0,109,32,Green,0,-2,-1,None,0,0,0x334964,84,"A cloth tunic worn in the jungle, designed to\nprotect the wearer from Green Magic."
100,Naval Uniform,0x35,X,X,"",X,"",X,50,32,44,0,2470,17,Defense,0,112,18,MagDef,0,112,-1,None,0,0,-1,None,0,0,0x3349b8,64,"A fairly light type of armor, designed for\nstealth missions."
101,Nasr Uniform,0x27,X,"","",X,X,X,50,24,42,0,2070,17,Defense,0,104,18,MagDef,0,96,-1,None,0,0,-1,None,0,0,0x3349f8,92,"A uniform designed for the Nasr Sailors. It's\nin good condition, but has no rank markings."
102,Caravan Armor,0x35,X,X,"",X,"",X,50,25,7,0,1930,17,Defense,0,100,18,MagDef,0,100,-1,None,0,0,-1,None,0,0,0x334a54,56,Thick armor made from the hides of the desert\nanimals.
