Entry ID,US entry name,Ship flags,[Little Jack #1],[Little Jack #2],[Delphinus #1],[Delphinus #2],[Delphinus #3],Type ID,[Type name],Element ID,[Element name],Attack,Hit%,Limit,Spirit,Unknown #1,Unknown #2,Unknown #3,Unknown #4,Purchase price,Retail price in %,Order by importance,Order by alphabet,Padding,[US description position],[US description size],US description string
400,Main Cannon,48,X,X,"","","",0,Main cannon,6,Normal,35,80,0,4,-1,0,0,0,450,50,0,26,0,2941472,88,"The Little Jack's main cannon. It's rather old,\nbut Drachma has kept it in great shape."
401,Standard Cannon,48,X,X,"","","",0,Main cannon,6,Normal,40,83,0,4,-1,0,0,0,1000,50,1,35,0,2941560,84,"The main cannon used on Valuan Warships,\nsometimes available on the Black Market."
402,Heavy Cannon,48,X,X,"","","",0,Main cannon,6,Normal,45,85,0,5,-1,0,0,0,1900,50,2,21,0,2941644,88,"An upgraded version of the Standard Valuan\nCannon, used on light warships in Mid Ocean."
403,G-Type Cannon,48,X,X,"","","",0,Main cannon,6,Normal,50,85,0,5,-1,0,0,0,3000,70,3,18,0,2941732,92,"Cannons used on Armada ships, when they defeated\nIxa'taka. Slightly outdated, but powerful."
404,B-Type Cannon,48,X,X,"","","",0,Main cannon,6,Normal,75,90,0,6,-1,0,0,0,4000,50,4,13,0,2941824,96,"An upgraded version of the G-Type Cannon, with\nthe same basic design, but greater firepower."
405,Prototype Cannon,14,"","",X,X,X,0,Main cannon,6,Normal,100,85,0,6,-1,0,0,0,5000,50,5,31,0,2941920,76,"A rotating cannon that can track enemy targets,\nbut doesn't do much damage."
406,Advanced Cannon,14,"","",X,X,X,0,Main cannon,6,Normal,150,90,0,7,-1,0,0,0,5500,50,6,10,0,2941996,92,A new rotating main cannon developed for Valuan\nDestroyers. Available on the Black Market.
407,Yamato Spirit,14,"","",X,X,X,0,Main cannon,6,Normal,250,90,0,8,-1,0,0,0,6700,70,7,39,0,2942088,76,A large and powerful cannon based on traditional\nYafutoman craftsmanship.
408,Ancient Cannon,14,"","",X,X,X,0,Main cannon,6,Normal,300,95,0,9,-1,0,0,0,8500,50,8,11,0,2942164,64,A durable cannon made from ancient metals from\nthe Old World.
409,X Cannon,14,"","",X,X,X,0,Main cannon,6,Normal,400,97,0,10,-1,0,0,0,11000,50,9,38,0,2942228,84,A very large cannon that enables large ships to \nblast small ships out of the sky.
410,"3""Cannon",48,X,X,"","","",1,Secondary cannon,6,Normal,70,80,1,2,-1,0,0,0,700,50,10,6,0,2942312,56,A small caliber secondary cannon for smaller \nships.
411,"3""Blaster",48,X,X,"","","",1,Secondary cannon,6,Normal,80,83,1,2,-1,0,0,0,1015,50,11,5,0,2942368,84,A secondary cannon for the Little Jack. An\nupgraded version of the 3 Inch Cannon.
412,"5""Cannon",48,X,X,"","","",1,Secondary cannon,6,Normal,90,80,1,3,-1,0,0,0,1330,50,12,8,0,2942452,80,A secondary cannon for the Little Jack. More\npowerful than the 3 Inch Cannon.
413,"8""Cannon",48,X,X,"","","",1,Secondary cannon,6,Normal,100,82,2,3,-1,0,0,0,2100,50,13,9,0,2942532,80,A secondary cannon for the Little Jack.\nA modified version of the Main Cannon.
414,"12""Cannon",14,"","",X,X,X,1,Secondary cannon,6,Normal,170,77,2,4,-1,0,0,0,3500,50,14,3,0,2942612,56,A high-caliber secondary cannon developed for\nwarships.
415,"10""Cannon",14,"","",X,X,X,1,Secondary cannon,6,Normal,200,82,3,4,-1,0,0,0,3640,50,15,0,0,2942668,68,"The first 10 Inch secondary cannon, developed\nby the Nasrean Navy."
416,"10""Cannon Coil",14,"","",X,X,X,1,Secondary cannon,6,Normal,220,89,3,4,-1,0,0,0,3710,50,16,1,0,2942736,80,A 10 inch secondary cannon with a reinforced\nbarrel that helps to absorb shock.
417,"12""Blaster",14,"","",X,X,X,1,Secondary cannon,6,Normal,250,85,2,5,-1,0,0,0,3850,50,17,2,0,2942816,60,"A high-caliber secondary cannon, only used\non larger ships."
418,3'Cannon,14,"","",X,X,X,1,Secondary cannon,6,Normal,280,87,3,6,-1,0,0,0,4690,50,18,4,0,2942876,76,"A secondary cannon developed in Yafutoma,\ninspired by cylindrical plants."
419,5'Cannon,14,"","",X,X,X,1,Secondary cannon,6,Normal,330,90,2,6,-1,0,0,0,5110,50,19,7,0,2942952,92,"A secondary cannon used by the Yafutoman Navy.\nIt is a short-range, high-powered cannon."
420,Light Torpedo,48,X,X,"","","",2,Torpedo,6,Normal,120,60,2,3,-1,0,0,0,1520,50,20,25,0,2943044,96,"A light torpedo, well-suited for smaller ships.\nAfter launch, it attacks its target from above."
421,Guided Torpedo,48,X,X,"","","",2,Torpedo,6,Normal,120,70,2,2,-1,0,0,0,1760,50,21,19,0,2943140,96,A torpedo equippable by the Little Jack. Has the\nhighest chance to hit out of all the torpedos.
422,Shock Torpedo,48,X,X,"","","",2,Torpedo,6,Normal,160,55,2,3,-1,0,0,0,2000,50,22,34,0,2943236,92,"A torpedo equippable by the Little Jack.\nAfter launch, it charges its target from above."
423,Hunter Torpedo,48,X,X,"","","",2,Torpedo,0,Green,160,60,3,3,-1,0,0,0,2240,50,23,23,0,2943328,84,A torpedo equippable by the Little Jack. Has\ngreater range than standard torpedos.
424,Valuan Torpedo,14,"","",X,X,X,2,Torpedo,6,Normal,220,60,2,3,-1,0,0,0,2400,50,24,36,0,2943412,76,A torpedo used by Valua against the Nasrean Navy\nduring the Valua-Nasr War.
425,Heavy Torpedo,14,"","",X,X,X,2,Torpedo,6,Normal,250,50,3,4,-1,0,0,0,4400,50,25,22,0,2943488,84,"A large torpedo with the same firepower as a\nmain cannon, but has lower accuracy."
426,Serpent Torpedo,14,"","",X,X,X,2,Torpedo,6,Normal,300,65,2,4,-1,0,0,0,5360,50,26,33,0,2943572,96,"A medium-sized torpedo that goes after a target\nlike a snake. Short range, but very powerful."
427,Flash Torpedo,14,"","",X,X,X,2,Torpedo,6,Normal,350,70,3,5,-1,0,0,0,6320,50,27,17,0,2943668,76,A small torpedo that packs a big punch. Has long\nrange and good firepower.
428,Arcwhale Torpedo,14,"","",X,X,X,2,Torpedo,6,Normal,400,70,3,6,-1,0,0,0,6800,50,28,12,0,2943744,88,"A torpedo with both good range and destructive\npower. But, uses a high level of Spirit."
429,Dragon Torpedo,14,"","",X,X,X,2,Torpedo,6,Normal,450,60,2,7,-1,0,0,0,8800,50,29,15,0,2943832,96,A torpedo that emphasizes firepower more than\nrange. Does a great deal of damage when it hits.
430,Harpoon Cannon,32,X,"","","","",3,Special,6,Normal,350,65535,0,15,-1,0,0,0,0,0,30,20,0,2943928,72,The Little Jack's ultimate weapon. It was\nacquired to destroy Rhaknam.
431,MoonStone Cannon,14,"","",X,X,X,3,Special,6,Normal,800,65535,0,20,-1,0,0,0,0,0,31,30,0,2944000,96,The ultimate weapon of the Delphinus. Builds up\nMoon energy and releases it in a massive blast.
432,Moon Cannon,62,X,X,X,X,X,0,Main cannon,6,Normal,500,99,0,9,-1,0,0,0,1000,100,32,27,0,2944096,72,A main cannon that uses both Moonstone energy\nand gunpowder to fire.
433,Moon Gun,62,X,X,X,X,X,1,Secondary cannon,6,Normal,400,99,3,5,-1,0,0,0,1000,100,33,28,0,2944168,80,A secondary cannon that relies on Moonstone\nenergy instead of draining Spirit.
434,Moon Torpedo,62,X,X,X,X,X,2,Torpedo,6,Normal,600,75,3,3,-1,0,0,0,1000,100,34,29,0,2944248,72,A torpedo that uses Moonstone energy to keep\nSpirit consumption low.
435,Pyril Cannon,14,"","",X,X,X,0,Main cannon,1,Red,200,120,0,6,-1,0,0,0,13200,50,35,32,0,2944320,84,"A rotating cannon designed for battleships.\nHas Red properties, and high accuracy."
436,Wevl Cannon,14,"","",X,X,X,1,Secondary cannon,3,Blue,180,120,3,4,-1,0,0,0,10200,50,36,37,0,2944404,88,"A secondary cannon designed for battleships.\nHas Blue properties, and high accuracy."
437,Electril Torpedo,14,"","",X,X,X,2,Torpedo,4,Yellow,500,50,3,2,-1,0,0,0,1000,50,37,16,0,2944492,84,"A torpedo designed for large warships. Has\nYellow properties, and great firepower."
438,Crystil Cannon,14,"","",X,X,X,0,Main cannon,2,Purple,550,60,0,4,-1,0,0,0,1000,50,38,14,0,2944576,92,"Made of a special alloy for added durability.\nHas Purple properties, and great firepower."
439,Kazai Gun,48,X,X,"","","",1,Secondary cannon,3,Blue,50,99,2,5,-1,0,0,0,1000,50,39,24,0,2944668,92,"Contains a tower bar to absorb the shock of\nfiring. Has Blue properties, and high accuracy."
