Entry ID,US entry name,Element ID,[Element name],Order by importance,Occasion flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #1,Padding #2,Effect amount,Type ID,[Type name],Unknown #1,Hit%,Padding #3,Padding #4,Padding #5,Ship occasion ID,Ship occasion name,Padding #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown #2,Padding #7,Padding #8,Padding #9,[US description position],[US description size],US description string,[US ship description position],[US ship description size],US ship description string
0,Increm,1,Red,120,3,"",X,X,21,Add Strengthen,1,One ally,6,Magic,0,4,0,0,-1,-1,None,-1,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),4,2,0,-1,0,0,0,2909800,92,Increases both Attack Power and Defense of\ntarget by 25%.                             SP 4,2950596,84,Increases your ship's Attack power\nand Defense power by 25% for 2 turns.       4 SP
1,Incremus,1,Red,121,3,"",X,X,21,Add Strengthen,2,All allies,6,Magic,0,16,0,0,-1,-1,None,-1,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),16,4,0,-1,0,0,0,2909892,96,Increases both Attack Power and Defense of the\nentire party by 25%.                       SP 16,2950680,84,Increases your ship's Attack power\nand Defense power by 25% for 4 turns.      16 SP
2,Sylenis,2,Purple,20,3,"",X,X,12,Add Silence,3,One enemy,6,Magic,0,2,0,0,0,0,Physical,5,40,0,0,0,0,Magic Cannon,0,116,Add Silence (Ship),2,2,0,-1,0,0,0,2909988,92,Prevents target from casting any spells by\nSilencing them.                            SP 2,2950764,92,Prevents enemy ships from casting spells.\nSpecial equipment is needed to cast.        2 SP
3,Panika,2,Purple,130,2,"",X,"",11,Add Confusion,3,One enemy,6,Magic,0,3,0,0,0,0,Physical,4,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2910080,92,Confuses one target into attacking nearest\ntarget.                                    SP 3,2950856,20,Cannot be used.
4,Driln,4,Yellow,140,3,"",X,X,26,Add Weak,3,One enemy,6,Magic,0,3,0,0,0,0,Physical,8,40,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),3,2,0,-1,0,0,0,2910172,96,Weakens one enemy target. Lowers all attributes\nby 25%.                                    SP 3,2950876,96,Lowers enemy ship's attributes for 2 turns.\nSpecial equipment is needed to cast.        3 SP
5,Drilnos,4,Yellow,141,3,"",X,X,26,Add Weak,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,8,60,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),6,4,0,-1,0,0,0,2910268,92,Weakens all enemies on screen. Lowers all\nattributes by 25%.                         SP 6,2950972,96,Lowers enemy ship's attributes for 4 turns.\nSpecial equipment is needed to cast.        6 SP
6,Sacri,0,Green,40,7,X,X,X,31,Recover HP,1,One ally,6,Magic,0,2,0,0,500,0,Physical,0,0,0,0,0,1,Always,0,100,Recover HP (Ship),2,-1,400,-1,0,0,0,2910360,96,Restores 500 HP to any one ally. Can also be\nused outside of battle.                    SP 2,2951068,96,"Repairs 4,000 HP worth of damage. Can be cast\noutside of battle as well.                  2 SP"
7,Sacres,0,Green,41,7,X,X,X,31,Recover HP,1,One ally,6,Magic,0,4,0,0,1000,0,Physical,0,0,0,0,0,1,Always,0,100,Recover HP (Ship),4,-1,800,-1,0,0,0,2910456,96,"Restores 1,000 HP to any one ally. Can also be\nused outside of battle.                    SP 4",2951164,96,"Repairs 8,000 HP worth of damage. Can be cast\noutside of battle as well.                  4 SP"
8,Sacrum,0,Green,42,6,X,X,"",31,Recover HP,2,All allies,6,Magic,0,8,0,0,1000,0,Physical,0,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,2910552,96,"Restores 1,000 HP to entire party. Can also be\nused outside of battle.                    SP 8",0,0,""
9,Sacrulen,0,Green,43,7,X,X,X,32,Recover HP to 100%,1,One ally,6,Magic,0,6,0,0,10000,0,Physical,0,0,0,0,0,1,Always,0,101,Recover HP to 100% (Ship),6,-1,0,-1,0,0,0,2910648,100,Completely restores HP of any one ally. Can also\nbe used outside of battle.                 SP 6,2951260,96,Repairs all damage on your ship. Can be cast\noutside of battle as well.                  6 SP
