Entry ID,JP Entry Name,Ship Flags,[L0],[L1],[D0],[D1],[D2],Pad. 1,Pad. 2,Purchase Price,Pad. 3,Pad. 4,Retail Price in %,Pad. 5,Feat. 0 ID,[Feat. 0 Name],Pad. 6,Feat. 0 Value,Feat. 1 ID,[Feat. 1 Name],Pad. 7,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 8,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 9,Feat. 3 Value,Order by Prio.,JP Order by ABC
440,船首像0,0x3e,X,X,X,X,X,0,0,1000,0,0,50,0,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0
441,船首像1,0x3e,X,X,X,X,X,0,0,1200,0,0,50,0,3,MagDef,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,1,1
442,船首像2,0x3e,X,X,X,X,X,0,0,1500,0,0,50,0,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,2,2
443,船首像3,0x3e,X,X,X,X,X,0,0,2000,0,0,50,0,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,3,3
444,船首像4,0x3e,X,X,X,X,X,0,0,3000,0,0,50,0,3,MagDef,0,115,-1,None,0,0,-1,None,0,0,-1,None,0,0,4,4
445,船首像5,0x3e,X,X,X,X,X,0,0,5000,0,0,50,0,3,MagDef,0,120,-1,None,0,0,-1,None,0,0,-1,None,0,0,5,5
446,船首像6,0x3e,X,X,X,X,X,0,0,7000,0,0,50,0,3,MagDef,0,180,-1,None,0,0,-1,None,0,0,-1,None,0,0,6,6
447,船首像7,0x3e,X,X,X,X,X,0,0,7000,0,0,50,0,3,MagDef,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,7,7
448,船首像8,0x3e,X,X,X,X,X,0,0,20,0,0,50,0,3,MagDef,0,200,-1,None,0,0,-1,None,0,0,-1,None,0,0,8,8
449,船首像9,0x3e,X,X,X,X,X,0,0,9000,0,0,50,0,3,MagDef,0,250,-1,None,0,0,-1,None,0,0,-1,None,0,0,9,9
450,エンジン0,0x3e,X,X,X,X,X,0,0,3000,0,0,50,0,4,Quick,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,10,10
451,エンジン1,0x3e,X,X,X,X,X,0,0,4000,0,0,50,0,4,Quick,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,11,11
452,エンジン2,0x3e,X,X,X,X,X,0,0,4500,0,0,50,0,4,Quick,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,12,12
453,エンジン3,0x3e,X,X,X,X,X,0,0,600,0,0,50,0,4,Quick,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,13,13
454,エンジン4,0x3e,X,X,X,X,X,0,0,7000,0,0,50,0,4,Quick,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,14,14
455,エンジン5,0x3e,X,X,X,X,X,0,0,8000,0,0,50,0,4,Quick,0,180,-1,None,0,0,-1,None,0,0,-1,None,0,0,15,15
456,エンジン6,0x3e,X,X,X,X,X,0,0,9000,0,0,50,0,4,Quick,0,250,-1,None,0,0,-1,None,0,0,-1,None,0,0,16,16
457,エンジン7,0x3e,X,X,X,X,X,0,0,10000,0,0,50,0,4,Quick,0,240,-1,None,0,0,-1,None,0,0,-1,None,0,0,17,17
458,エンジン8,0x3e,X,X,X,X,X,0,0,10,0,0,50,0,4,Quick,0,260,-1,None,0,0,-1,None,0,0,-1,None,0,0,18,18
459,エンジン9,0x3e,X,X,X,X,X,0,0,20000,0,0,50,0,4,Quick,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,19,19
460,装甲0,0x3e,X,X,X,X,X,0,0,1500,0,0,50,0,2,Defense,0,25,-1,None,0,0,-1,None,0,0,-1,None,0,0,20,20
461,装甲1,0x3e,X,X,X,X,X,0,0,2000,0,0,50,0,2,Defense,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,21,21
462,装甲2,0x3e,X,X,X,X,X,0,0,4000,0,0,50,0,2,Defense,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,22,22
463,装甲3,0x3e,X,X,X,X,X,0,0,4000,0,0,50,0,2,Defense,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,23,23
464,装甲4,0x3e,X,X,X,X,X,0,0,8000,0,0,50,0,2,Defense,0,110,-1,None,0,0,-1,None,0,0,-1,None,0,0,24,24
465,装甲5,0x3e,X,X,X,X,X,0,0,6000,0,0,50,0,2,Defense,0,120,-1,None,0,0,-1,None,0,0,-1,None,0,0,25,25
466,装甲6,0x3e,X,X,X,X,X,0,0,6500,0,0,50,0,2,Defense,0,140,-1,None,0,0,-1,None,0,0,-1,None,0,0,26,26
467,装甲7,0x3e,X,X,X,X,X,0,0,7000,0,0,50,0,2,Defense,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,27,27
468,装甲8,0x3e,X,X,X,X,X,0,0,10000,0,0,50,0,2,Defense,0,200,-1,None,0,0,-1,None,0,0,-1,None,0,0,28,28
469,装甲9,0x3e,X,X,X,X,X,0,0,10000,0,0,50,0,2,Defense,0,280,-1,None,0,0,-1,None,0,0,-1,None,0,0,29,29
470,その他0,0x3e,X,X,X,X,X,0,0,2000,0,0,50,0,2,Defense,0,50,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,30,30
471,その他1,0x3e,X,X,X,X,X,0,0,3000,0,0,50,0,2,Defense,0,60,3,MagDef,0,15,4,Quick,0,20,-1,None,0,0,31,31
472,その他2,0x3e,X,X,X,X,X,0,0,4000,0,0,50,0,2,Defense,0,100,3,MagDef,0,40,-1,None,0,0,-1,None,0,0,32,32
473,その他3,0x3e,X,X,X,X,X,0,0,8000,0,0,50,0,2,Defense,0,130,3,MagDef,0,50,-1,None,0,0,-1,None,0,0,33,33
474,その他4,0x3e,X,X,X,X,X,0,0,20000,0,0,50,0,2,Defense,0,200,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,34,34
475,その他5,0x3e,X,X,X,X,X,0,0,25000,0,0,50,0,2,Defense,0,200,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,35,35
476,その他6,0x3e,X,X,X,X,X,0,0,30000,0,0,50,0,2,Defense,0,210,3,MagDef,0,110,-1,None,0,0,-1,None,0,0,36,36
477,その他7,0x3e,X,X,X,X,X,0,0,40000,0,0,50,0,2,Defense,0,250,3,MagDef,0,80,4,Quick,0,100,-1,None,0,0,37,37
478,その他8,0x3e,X,X,X,X,X,0,0,50000,0,0,50,0,2,Defense,0,300,3,MagDef,0,250,-1,None,0,0,-1,None,0,0,38,38
479,その他9,0x3e,X,X,X,X,X,0,0,60000,0,0,50,0,2,Defense,0,350,3,MagDef,0,150,4,Quick,0,150,-1,None,0,0,39,39
