Entry ID,JP Entry Name,Retail Price in %,Order by Prio.,JP Order by ABC,Purchase Price,[ JP Descr. Pos.],[ JP Descr. Size],JP Descr. Str.
320,緑月晶,0,1,20,0,0x2b06dc,28,緑の巨人を動かすカギです。\n
321,赤月晶,0,2,4,0,0x2b06f8,28,赤のツボを動かすカギです。\n
322,紫月晶,0,3,22,0,0x2b0714,28,紫のクジラからツモります。\n
323,青月晶,0,4,2,0,0x2b0730,28,青のトリからツモります。\n
324,黄月晶,0,5,8,0,0x2b074c,32,黄のリュウ？からツモります。\n
325,銀月晶,0,6,10,0,0x2b076c,36,いつ手に入れるのかわかりません。\n
326,緑の月Ж石,0,7,21,0,0x2b0790,96,これを武器に近づけると、武器のコアが反応して\n武器属性を「緑」に変える。戦闘中も使用できるぞ。
327,赤の月Ж石,0,8,5,0,0x2b07f0,96,これを武器に近づけると、武器のコアが反応して\n武器属性を「赤」に変える。戦闘中も使用できるぞ。
328,紫の月Ж石,0,9,23,0,0x2b0850,96,これを武器に近づけると、武器のコアが反応して\n武器属性を「紫」に変える。戦闘中も使用できるぞ。
329,青の月Ж石,0,10,3,0,0x2b08b0,28,武器の属性を変えられます。\n
330,黄の月Ж石,0,11,9,0,0x0,0,""
331,銀の月Ж石,0,12,11,0,0x0,0,""
332,潜水服,0,13,13,0,0x2b08cc,20,あたたかいです。\n
333,メリダの手紙,0,14,24,0,0x2b08e0,20,なかなか達筆です。\n
334,ビゴロの鍵,0,15,19,0,0x2b08f4,28,ビゴロを動かすカギです。\n
335,雲海エンジン,0,16,7,0,0x2b0910,36,雲海で取れたイキのいい猿人です。\n
336,ダカットの宝地図,0,17,16,0,0x2b0934,20,破けた地図です。\n
337,ダカットの宝地図,0,18,17,0,0x0,0,""
338,アルフォンソの鍵,0,19,6,0,0x2b0948,32,アルフォンソを動かすカギです。\n
339,橙色の石,0,20,14,0,0x2b0968,16,わかりません。\n
340,青色の石,0,21,1,0,0x0,0,""
341,月Ж石,100,22,12,500,0x2b0978,24,神殿島でツモります。\n
342,ダカットのコイン,100,23,15,10000,0x2b0990,16,ひみつです。\n
343,地下港の鍵,0,24,18,0,0x2b09a0,88,空賊島の地下港に入るための鍵だ。この地下港は\nなななんと!!　体験版だけのオリジナルだ!!
344,イリマジョリン,0,25,25,0,0x0,0,""
345,ダミークリア,0,-1,-1,0,0x0,0,""
346,ダミークリア,0,-1,-1,0,0x0,0,""
347,ダミークリア,0,-1,-1,0,0x0,0,""
348,ダミークリア,0,-1,-1,0,0x0,0,""
349,ダミークリア,0,-1,-1,0,0x0,0,""
350,ダミークリア,0,-1,-1,0,0x0,0,""
351,ダミークリア,0,-1,-1,0,0x0,0,""
352,ダミークリア,0,-1,-1,0,0x0,0,""
353,ダミークリア,0,-1,-1,0,0x0,0,""
354,ダミークリア,0,-1,-1,0,0x0,0,""
355,ダミークリア,0,-1,-1,0,0x0,0,""
356,ダミークリア,0,-1,-1,0,0x0,0,""
357,ダミークリア,0,-1,-1,0,0x0,0,""
358,ダミークリア,0,-1,-1,0,0x0,0,""
359,ダミークリア,0,-1,-1,0,0x0,0,""
360,ダミークリア,0,-1,-1,0,0x0,0,""
361,ダミークリア,0,-1,-1,0,0x0,0,""
362,ダミークリア,0,-1,-1,0,0x0,0,""
363,ダミークリア,0,-1,-1,0,0x0,0,""
364,ダミークリア,0,-1,-1,0,0x0,0,""
365,ダミークリア,0,-1,-1,0,0x0,0,""
366,ダミークリア,0,-1,-1,0,0x0,0,""
367,ダミークリア,0,-1,-1,0,0x0,0,""
368,ダミークリア,0,-1,-1,0,0x0,0,""
369,ダミークリア,0,-1,-1,0,0x0,0,""
370,ダミークリア,0,-1,-1,0,0x0,0,""
371,ダミークリア,0,-1,-1,0,0x0,0,""
372,ダミークリア,0,-1,-1,0,0x0,0,""
373,ダミークリア,0,-1,-1,0,0x0,0,""
374,ダミークリア,0,-1,-1,0,0x0,0,""
375,ダミークリア,0,-1,-1,0,0x0,0,""
376,ダミークリア,0,-1,-1,0,0x0,0,""
377,ダミークリア,0,-1,-1,0,0x0,0,""
378,ダミークリア,0,-1,-1,0,0x0,0,""
379,ダミークリア,0,-1,-1,0,0x0,0,""
380,ダミークリア,0,-1,-1,0,0x0,0,""
381,ダミークリア,0,-1,-1,0,0x0,0,""
382,ダミークリア,0,-1,-1,0,0x0,0,""
383,ダミークリア,0,-1,-1,0,0x0,0,""
384,ダミークリア,0,-1,-1,0,0x0,0,""
385,ダミークリア,0,-1,-1,0,0x0,0,""
386,ダミークリア,0,-1,-1,0,0x0,0,""
387,ダミークリア,0,-1,-1,0,0x0,0,""
388,ダミークリア,0,-1,-1,0,0x0,0,""
389,ダミークリア,0,-1,-1,0,0x0,0,""
390,ダミークリア,0,-1,-1,0,0x0,0,""
391,ダミークリア,0,-1,-1,0,0x0,0,""
392,ダミークリア,0,-1,-1,0,0x0,0,""
393,ダミークリア,0,-1,-1,0,0x0,0,""
394,ダミークリア,0,-1,-1,0,0x0,0,""
395,ダミークリア,0,-1,-1,0,0x0,0,""
396,ダミークリア,0,-1,-1,0,0x0,0,""
397,ダミークリア,0,-1,-1,0,0x0,0,""
398,ダミークリア,0,-1,-1,0,0x0,0,""
399,ダミークリア,0,-1,-1,0,0x0,0,""
