Entry ID,JP entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[JP descr. pos.],[JP descr. size],JP descr. str.
0,アパ,1,Red,120,3,"",X,X,21,Add Strengthen,1,One character,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,124,???,15,8,100,-1,0,0,0,0x2ae5e4,84,味方１人をパワーアップの状態にする。\nなんとヴァイスだけは技もパワーアップするぞ!!
1,アポス,1,Red,121,3,"",X,X,21,Add Strengthen,2,All characters,6,Magic,0,5,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,124,???,30,12,200,-1,0,0,0,0x2ae638,72,パワーアップЖ術の第２段階です。\nＰＣ全員の攻撃力、防御力が上がります。
2,サイレシャ,2,Purple,20,3,"",X,X,12,Add Silence,3,One enemy,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,1,Always,0,-1,None,0,-1,0,-1,0,0,0,0x2ae680,52,沈黙Ж術です。\nＥＣ単体のЖ術を一定確率で封じます。
3,パニカ,2,Purple,130,2,"",X,"",11,Add Confusion,3,One enemy,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,60,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae6b4,72,敵１体を混乱の状態にする。\n混乱した敵はいちばん近くの誰かを攻撃するぞ!!
4,ダウナ,4,Yellow,140,3,"",X,X,26,Add Weak,3,One enemy,6,Magic,0,2,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,130,???,15,4,50,-1,0,0,0,0x2ae6fc,76,能力値ダウンЖ術の第１段階です。\nＥＣ単体の全能力値を一定確率で下げます。
5,ダウノス,4,Yellow,141,3,"",X,X,26,Add Weak,4,All enemies,6,Magic,0,5,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,130,???,30,8,100,-1,0,0,0,0x2ae748,76,能力値ダウンЖ術の第２段階です。\nＥＣ全体の全能力値を一定確率で下げます。
6,サプラ,0,Green,40,7,X,X,X,31,Recover HP,1,One character,6,Magic,0,2,0,0,250,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP (Ship),10,0,3000,-1,0,0,0,0x2ae794,76,味方１人のＨＰを２５０ｐ回復する。\n消費ガッツが少ないので序盤で重宝するぞ!!
7,サプリィ,0,Green,41,7,X,X,X,31,Recover HP,1,One character,6,Magic,0,5,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP (Ship),15,0,15000,-1,0,0,0,0x2ae7e0,64,ＨＰ回復Ж術の第２段階です。\nＰＣ１人のＨＰを中量回復します。
8,サプレス,0,Green,42,7,X,X,X,31,Recover HP,2,All characters,6,Magic,0,5,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,102,Recover Spirit (Ship),20,5,3000,-1,0,0,0,0x2ae820,76,味方全員の体力を５００ｐ回復する。\n全体攻撃を持つ敵と戦うときの必需品だぞ!!
9,サプローネ,0,Green,43,7,X,X,X,32,Recover HP to 100%,1,One character,6,Magic,0,12,0,0,9999,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP to 100% (Ship),20,0,0,-1,0,0,0,0x2ae86c,64,ＨＰ回復Ж術の第４段階です。\nＰＣ１人のＨＰを完全回復します。
10,プワザ,0,Green,50,2,"",X,"",4,Add Poison + Damage,3,One enemy,6,Magic,0,2,0,0,20,1,Magical,0,Poison,50,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae8ac,84,敵１体にダメージを与えた上、毒の状態にする。\n戦闘の前半に使った方がお得なЖ術だ!!
11,プワゾーク,0,Green,51,2,"",X,"",4,Add Poison + Damage,4,All enemies,6,Magic,0,6,0,0,130,1,Magical,0,Poison,50,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae900,72,毒攻撃Ж術の第２段階です。\nＥＣ全体にダメージと一定確率で毒を与えます。
12,スリーパ,3,Blue,110,2,"",X,"",9,Add Sleep,4,All enemies,6,Magic,0,2,0,0,0,0,Physical,3,Sleep,50,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae948,48,睡眠Ж術です。\nＥＣ全体を一定確率で眠らせます。
