Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Pad. #0,Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State miss%,Pad. #1,Pad. #2
79,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
4,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
57,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
37,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
62,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
107,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
200,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
201,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
108,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
100,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
22,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
210,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
211,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
20,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
170,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
88,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
115,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
89,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
47,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
180,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
28,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
110,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
15,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
29,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
