Entry ID,Item ID,[Item name],Item amount
0,240,Sacri Crystal,3
1,240,Sacri Crystal,3
2,244,Magic Droplet,2
3,513,Gold,150
4,258,Moonberry,1
5,514,Gold,200
6,490,Repair Kit,3
7,241,Sacres Crystal,2
8,258,Moonberry,1
9,244,Magic Droplet,3
10,281,Slipara Box,1
11,515,Gold,300
12,258,Moonberry,1
13,122,Nasr Combat Mail,1
14,184,Gem of Fluidity,1
15,55,Excavation Arm,1
16,258,Moonberry,1
17,275,Sacri Box,1
18,260,Paranta Seed,1
19,240,Sacri Crystal,25
20,264,Sylph Seed,1
21,258,Moonberry,1
22,520,Gold,1827
23,258,Moonberry,1
24,258,Moonberry,1
25,87,Valuan Uniform,3
26,522,Gold,2248
27,258,Moonberry,1
28,524,Gold,3000
29,131,Silver Armor,1
30,258,Moonberry,1
31,258,Moonberry,1
32,131,Silver Armor,1
33,258,Moonberry,1
34,240,Sacri Crystal,1
35,240,Sacri Crystal,2
36,512,Gold,50
37,244,Magic Droplet,2
38,240,Sacri Crystal,2
39,258,Moonberry,1
40,241,Sacres Crystal,2
41,267,Pyri Box,1
42,125,Heavy Armor,1
43,249,Curia Crystal,3
44,4,Assassin Blade,1
45,516,Gold,527
46,126,Ancient Robe,1
47,241,Sacres Crystal,3
48,25,Dancing Arc,1
49,517,Gold,774
50,258,Moonberry,1
51,244,Magic Droplet,5
52,283,Rune of Ill Omen,1
53,518,Gold,800
54,127,De Loco Mail,1
55,258,Moonberry,1
56,262,Zaal Seed,1
57,411,"3\\""Cannon",1
58,54,De Loco Drill,1
59,249,Curia Crystal,4
60,252,Glyph of Might,4
61,254,Healing Salve,2
62,253,Glyph of Speed,4
63,56,Ruin Arm,1
64,284,Golden Mask,1
65,136,Light Coat,1
66,258,Moonberry,1
67,261,Icyl Seed,1
68,519,Gold,1186
69,243,Sacrulen Crystal,2
70,10,Stonecutter,1
71,250,Risan Crystal,3
72,243,Sacrulen Crystal,2
73,17,Skywing,1
74,521,Gold,2001
75,247,Soul Crystal,1
76,128,Daccat's Armor,1
77,244,Magic Droplet,4
78,124,Maiden's Armor,2
79,245,Magic Dew,1
80,258,Moonberry,1
81,258,Moonberry,1
82,250,Risan Crystal,2
83,274,Electrum Box,1
84,265,Vidal Seed,1
85,248,Unholy Dagger,1
86,258,Moonberry,1
87,256,Windsong Orb,1
88,258,Moonberry,1
89,11,Dream Cutlass,1
90,266,Magus Seed,1
91,129,Moss Armor,1
92,258,Moonberry,1
93,255,Chalice of Blood,1
94,246,Aura of Valor,1
95,523,Gold,2731
96,258,Moonberry,1
97,19,Ice Splitter,1
98,257,Winter Orb,1
99,62,Frostblade,1
100,258,Moonberry,1
101,258,Moonberry,1
102,245,Magic Dew,2
103,525,Gold,4000
104,258,Moonberry,1
105,242,Sacrum Crystal,2
106,409,X Cannon,1
107,60,Imperial Blade,1
108,243,Sacrulen Crystal,3
109,258,Moonberry,1
110,293,Orb of Serenity,1
111,258,Moonberry,1
112,258,Moonberry,1
113,263,Dexus Seed,1
114,258,Moonberry,1
115,240,Sacri Crystal,4
116,244,Magic Droplet,4
117,243,Sacrulen Crystal,4
118,242,Sacrum Crystal,3
