Entry ID,US entry name,Chara. flags,[V],[A],[F],[D],[E],[G],Retail price in %,Order by prio.,US order by ABC,Pad. #0,Purchase price,Feat. #0 ID,[Feat. #0 name],Pad. #1,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #2,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #3,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #4,Feat. #3 value,[US descr. pos.],[US descr. size],US descr. str.
160,Gemstone Ring,58,X,X,X,"",X,"",50,1,23,0,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,3364168,84,"A finely crafted ring engraved with runes,\nthat protect the wearer against magic."
161,Prophet's Sand,58,X,X,X,"",X,"",50,3,39,0,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,3364252,96,A ring created from enchanted sand found around\nMoon Stones. Protects the wearer against Magic.
162,Meditation Ring,58,X,X,X,"",X,"",50,0,33,0,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,3364348,84,A ring crafted from weaving the sprigs of magic\ntrees. Increases the wearer's Will.
163,Moondust Ring,58,X,X,X,"",X,"",50,4,35,0,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,3364432,68,A ring decorated with tiny shards of Moon\nStones. Increases Will.
164,Lover's Ring,58,X,X,X,"",X,"",50,2,30,0,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,3364500,92,A finely crafted ring that depicts two lovers\nembracing. Increases Magic Defense and Will.
165,Jade Swirl Ring,58,X,X,X,"",X,"",50,5,29,0,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,3364592,84,A ring decorated with two drops of liquid jade.\nIncreases Magic Defense and Will.
166,Cupil Ring,8,"","",X,"","","",100,6,14,0,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,3364676,96,"A ring that looks like Cupil. Boosts Spirit and\nResistance to Silver Attacks, and Eterni Magic."
167,Warrior's Heart,58,X,X,X,"",X,"",100,7,59,0,10,77,Recover spirit,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,3364772,84,"A ring with a glowing gem, that allows the user\nto recover Spirit during battle."
168,Throkryn's Scale,53,X,X,"",X,"",X,50,8,55,0,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,3364856,68,A weapon modification made from a Throkryn.\nRaises Attack Power.
169,Thryllak's Scale,53,X,X,"",X,"",X,50,9,56,0,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,3364924,88,"A scale of a Thryllak, an animal even deadlier\nthan the Throkryn. Raises Attack Power."
170,Marocca's Shell,53,X,X,"",X,"",X,50,10,32,0,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,3365012,64,The shell of a large primitive crustacean.\nImproves Defense.
171,Burocca's Shell,53,X,X,"",X,"",X,50,11,6,0,1920,17,Defense,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,3365076,80,"The shell of a Burocca, even harder than that\nof the Marocca. Improves Defense."
172,Crylhound's Claw,53,X,X,"",X,"",X,50,12,13,0,420,19,Hit%,0,20,16,Attack,0,2,-1,None,0,0,-1,None,0,0,3365156,80,"A weapon modification used by Valuan Soldiers.\nImproves Hit%, and Attack Power."
173,Hunter's Hand,53,X,X,"",X,"",X,50,13,25,0,1010,19,Hit%,0,40,16,Attack,0,4,-1,None,0,0,-1,None,0,0,3365236,84,A gauntlet worn by Ixa'takan men while hunting. \nImproves Hit% and Attack Power.
174,Thief's Aura,61,X,X,X,X,"",X,50,14,54,0,330,20,Dodge%,0,10,17,Defense,0,2,-1,None,0,0,-1,None,0,0,3365320,76,A ring with a black stone that improves the\nwearer's Dodge% and Defense.
175,Quetya Feather,61,X,X,X,X,"",X,50,15,40,0,810,20,Dodge%,0,20,17,Defense,0,4,-1,None,0,0,-1,None,0,0,3365396,88,A feather ornament imbued with the power of the\nQuetya. Improves Dodge% and Defense.
176,Vigoro's Chain,37,X,"","",X,"",X,50,17,58,0,2890,16,Attack,0,20,19,Hit%,0,30,-1,None,0,0,-1,None,0,0,3365484,72,Vigoro's idea of a fashion statement. Improves\nHit% and Attack Power.
177,Sailor's Buckler,55,X,X,"",X,X,X,50,18,43,0,1930,17,Defense,0,20,20,Dodge%,0,15,-1,None,0,0,-1,None,0,0,3365556,72,"A light, but small shield worn by sailors.\nImproves Dodge% and Defense."
178,Warrior's Rune,57,X,X,X,"","",X,100,19,60,0,10,16,Attack,0,10,17,Defense,0,10,19,Hit%,0,20,20,Dodge%,0,10,3365628,84,"A ring with mystic engravings. Increases Attack\nPower, Defense, Hit% and Dodge%."
179,Ancient Bracer,53,X,X,"",X,"",X,100,20,0,0,10,16,Attack,0,20,17,Defense,0,20,19,Hit%,0,40,20,Dodge%,0,20,3365712,88,"A bracer used by ancient gladiators. Improves\nAttack Power, Defense, Hit% and Dodge%."
180,Counter Bracer,53,X,X,"",X,"",X,100,21,10,0,10,73,Counter%,0,20,16,Attack,0,20,19,Hit%,0,20,-1,None,0,0,3365800,92,"Improves physical attributes slightly, as well\nas Counterattacking, Attack Power and Hit%."
181,Defensive Aura,63,X,X,X,X,X,X,100,22,15,0,10,65,Block attack,0,1,17,Defense,0,40,-1,None,0,0,-1,None,0,0,3365892,84,"Renders the wearer invulnerable to normal\nAttacks, and improves Defense as well."
182,Ivy Band,63,X,X,X,X,X,X,100,23,28,0,100,48,Poison,0,-10,32,Green,0,-2,17,Defense,0,5,18,MagDef,0,5,3365976,88,"Boosts Defense & Magic Defense, especially to\nGreen Magic, & protects against Poison."
183,Silvite Ring,63,X,X,X,X,X,X,100,30,47,0,100,49,Unconscious,0,-10,37,Silver,0,-2,17,Defense,0,5,18,MagDef,0,5,3366064,88,"Boosts Defense & Magic Defense, especially to\nSilver Magic, & protects against Death."
184,Gem of Fluidity,63,X,X,X,X,X,X,100,29,21,0,100,50,Stone,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,3366152,60,"Boosts Defense & Magic Defense, & protects\nagainst Stone."
185,Wind Gem Ring,63,X,X,X,X,X,X,100,24,62,0,100,51,Sleep,0,-10,35,Blue,0,-2,17,Defense,0,5,18,MagDef,0,5,3366212,84,"Boosts Defense & Magic Defense, especially to\nBlue Magic, & protects against Sleep."
186,Eye of Truth,63,X,X,X,X,X,X,100,25,18,0,100,52,Confuse,0,-10,34,Purple,0,-2,17,Defense,0,5,18,MagDef,0,5,3366296,92,"Boosts Defense & Magic Defense, especially to\nPurple Magic, & protects against Confusion."
187,Revered Voice,63,X,X,X,X,X,X,100,26,42,0,100,53,Silence,0,-10,34,Purple,0,-2,17,Defense,0,5,18,MagDef,0,5,3366388,88,"Boosts Defense & Magic Defense, especially to\nPurple Magic, & protects against Silence."
188,Everlasting Gem,63,X,X,X,X,X,X,100,28,17,0,100,54,Fatigue,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,3366476,64,"Boosts Defense & Magic Defense, & protects\nagainst Fatigue."
189,Behemoth's Ring,63,X,X,X,X,X,X,100,27,2,0,100,56,Weak,0,-10,36,Yellow,0,-2,17,Defense,0,5,18,MagDef,0,5,3366540,88,"Boosts Defense & Magic Defense, especially to\nYellow Magic, & protects against Weak."
190,Constitution Gem,63,X,X,X,X,X,X,100,31,9,0,1000,79,Block negative states,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,3366628,92,"A miraculous stone that prevents all adverse\neffects, and boosts Defense & Magic Defense."
191,Nomadic Veil,63,X,X,X,X,X,X,50,34,37,0,640,17,Defense,0,9,18,MagDef,0,9,-1,None,0,0,-1,None,0,0,3366720,80,A veil worn by tribes of nomads in Nasr.\nImproves Defense and Magic Defense.
192,Radiant Fur,63,X,X,X,X,X,X,50,39,41,0,3580,17,Defense,0,24,18,MagDef,0,24,-1,None,0,0,-1,None,0,0,3366800,96,"A thick fur, designed to protect sailors from \nthe cold. Improves Defense and Magic Defense."
193,Sand Storm Ring,63,X,X,X,X,X,X,50,35,44,0,770,16,Attack,0,9,1,Will,0,9,-1,None,0,0,-1,None,0,0,3366896,76,An enchanted ring worn by desert nomads.\nImproves Attack Power and Will.
194,Skull Cap,63,X,X,X,X,X,X,50,40,48,0,4300,16,Attack,0,24,1,Will,0,24,-1,None,0,0,-1,None,0,0,3366972,84,A unique hat sometimes worn by Eastern Air\nPirates. Improves Attack Power & Will.
195,Mage's Bane,63,X,X,X,X,X,X,50,33,31,0,480,17,Defense,0,4,18,MagDef,0,4,16,Attack,0,4,1,Will,0,4,3367056,76,"A helm that increases the wearer's Attack,\nDefense,Will,and Magic Defense."
196,Blue Rogue Patch,63,X,X,X,X,X,X,50,41,5,0,6820,17,Defense,0,18,18,MagDef,0,18,16,Attack,0,18,1,Will,0,18,3367132,88,"Can be worn to show determination. Improves\nAttacks, Defense, Will and Magic Defense."
197,Assassin Ring,63,X,X,X,X,X,X,50,36,1,0,3200,80,First strike%,0,40,19,Hit%,0,40,-1,None,0,0,-1,None,0,0,3367220,72,"A ring crafted in Nasr. Improves chances for\na First Strike, and Hit%."
198,Stealth Ring,63,X,X,X,X,X,X,50,37,51,0,3000,81,Run%,0,100,4,Quick,0,10,20,Dodge%,0,10,-1,None,0,0,3367292,92,"A ring that improves Agile and Dodge%. In\nmost cases, you can run away 100% of the time."
199,Dhabu Hide,63,X,X,X,X,X,X,50,38,16,0,2800,4,Quick,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,3367384,56,"A folded piece of cured Dhabu hide, used as a\narmor."
200,Ominous Mask,37,X,"","",X,"",X,50,42,38,0,4760,68,Reduce spirit,0,1,16,Attack,0,75,17,Defense,0,75,-1,None,0,0,3367440,92,"Gives a large boost to Attack Power and Defense,\nbut reduces the party's Spirit to zero."
201,Flash Ribbon,29,"",X,X,X,"",X,50,43,19,0,60,4,Quick,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,3367532,48,An enchanted Ribbon that improves Aika's\nQuick.
202,The Unseen Hand,29,"",X,X,X,"",X,50,44,52,0,2960,4,Quick,0,30,20,Dodge%,0,5,-1,None,0,0,-1,None,0,0,3367580,76,"An enchantment that enables a warrior to Attack\nfaster, and avoid enemies."
203,Crescent Amulet,29,"",X,X,X,"",X,50,45,11,0,5710,4,Quick,0,19,17,Defense,0,28,18,MagDef,0,28,-1,None,0,0,3367656,92,"A magic amulet, in the form of a Crescent Moon.\nImproves Quick, Defense and Magic Defense."
204,Skyseer Goggles,48,X,X,"","","","",50,46,49,0,40,19,Hit%,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,3367748,72,A pair of goggles that can zoom in on distant\ntargets. Improves Hit%.
