Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Ship flags,Pad. #0,[LJ0],[LJ1],[D0],[D1],[D2],Feat. #0 ID,[Feat. #0 name],Pad. #1,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #2,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #3,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #4,Feat. #3 value,Purchase price,Retail price in %,Order by prio.,EU order by ABC,Pad.,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
440,2150455236,125460,12,Rogue Figur,124809,13,Figura Rogue,125393,17,Fanion du Voleur,122982,13,Rogue Figure,62,0,X,X,X,X,X,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,800,50,0,25,0,106097,85,"Schädel mit gekreuzten Schwertern, Symbol\nder Luftpiraten. Erhöht Magic Resistance.",105231,88,Esta calavera es el símbolo de los Piratas\nAéreos y aumenta la Resistencia a la Magia.,105565,90,"Crâne et épées croisées, symbole des pirates\nde l'Air. Accroît la résistance à la Magie.",104104,95,"A menacing skull with crossed swords, the symbol\nof the Air Pirates. Increases Magic Defense."
441,2150455252,125472,11,Pryn Figur,124822,12,Figura Pryn,125410,13,Symbole Pryn,122995,12,Pryn Figure,62,0,X,X,X,X,X,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2400,50,1,22,0,106182,87,Stellt einen mystischen roten Vogel dar und hat\nrote Federn. Erhöht Magic Resistance.,105319,91,Representa un pájaro místico de bello plumaje\nrojo que aumenta la Resistencia a la Magia.,105655,91,"Représente un oiseau mystique, décoré de plumes\nrouges. Accroît la résistance à la Magie.",104199,94,"Crafted after a mystical red bird, and decorated\nwith red feathers. Increases Magic Defense."
442,2150455264,125483,13,Pyrynn Figur,124834,14,Figura Pyrynn,125423,15,Symbole Pyrynn,123007,14,Pyrynn Figure,62,0,X,X,X,X,X,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,4400,50,2,23,0,106269,83,"Skulptur, die den mystischen Hüter von Pyrynn\ndarstellt. Erhöht Magic Resistance.",105410,76,Basada en el mítico guardián de Pyrynn.\nAumenta la Resistencia a la Magia.,105746,93,Une sculpture représentant le gardien mythique\nde Pyrynn. Accroît la résistance à la Magie.,104293,80,A sculpture based on the mythical guardian of\nPyrynn. Increases Magic Defense.
443,2150455280,125496,12,Urwal Figur,124848,15,Figura Ballena,125438,16,Symbole Rhaknam,123021,16,Arcwhale Figure,62,0,X,X,X,X,X,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,4640,50,3,4,0,106352,68,"Skulptur eines Urwals, des Himmelshüters. Erhöht\nMagic Resistance.",105486,81,Representa a una ballena guardiana del\ncielo. Mejora la Resistencia a la Magia.,105839,98,"Une sculpture de la baleine légendaire, gardien-\nne des cieux. Accroît la Résistance à la Magie.",104373,81,"A sculpture of an arcwhale, the guardian of the\nskies. Increases Magic Defense."
444,2150455296,125508,13,Quetya Figur,124863,14,Figura Quetya,125454,15,Symbole Quetya,123037,14,Quetya Figure,62,0,X,X,X,X,X,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,4880,50,4,24,0,106420,96,"Skulptur einer Quetya, Gottheit der Ixa'takaner.\nIhre göttliche Kraft erhöht Magic Resistance.",105567,89,"Figura de un Quetya, deidad de Ixa'taka, sus\npoderes mejoran la Resistencia a la Magia.",105937,97,"Sculpture d'un Quetya, une Déité Ixa'takan. Son\npouvoir divin accroît la résistance à la Magie.",104454,88,"A sculpture of a Quetya, an Ixa'takan Deity.\nIts divine power increases Magic Defense."
445,2150455312,125521,12,Riesenfigur,124877,15,Figura Gigante,125469,17,Symbole du Géant,123051,13,Giant Figure,62,0,X,X,X,X,X,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,5120,50,5,16,0,106516,57,Skulptur in Form eines Riesen.\nErhöht Magic Resistance.,105656,70,Una escultura en forma de gigante.\nMejora la Resistencia a la Magia.,106034,64,Sculpture en forme de géant.\nAccroît la Résistance à la Magie.,104542,62,A sculpture in the form of a giant.\nIncreases Magic Defense.
446,2150455328,125533,14,Bluheim Figur,124892,15,Figura Bluheim,125486,16,Symbole Bluheim,123064,15,Bluheim Figure,62,0,X,X,X,X,X,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,5360,50,6,6,0,106573,72,"Skulptur von Bluheim, dem Gigas von Yafutoma.\nErhöht Magic Resistance.",105726,74,"Figura de Bluheim, el Gigas Yafutoman.\nMejora la Resistencia a la Magia.",106098,76,"Sculpture de Bluheim, le Giga Yafutoman.\nAccroît la Résistance à la Magie.",104604,71,"A sculpture of Bluheim, the Yafutoman Gigas.\nIncreases Magic Defense."
447,2150455344,125547,15,Göttinnenfigur,124907,16,Figura de Diosa,125502,15,Symbole Déesse,123079,15,Goddess Figure,62,0,X,X,X,X,X,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,6800,50,7,17,0,106645,83,"Skulptur der Göttin der Liebe, des Mutes und des\nSieges. Erhöht Magic Resistance.",105800,89,"Figura de la diosa del amor, el coraje y la\nvictoria. Mejora la Resistencia a la Magia.",106174,97,"Statue de la déesse de l'amour, du courage, et\nde la victoire. Accroît la Résistance à la Magie",104675,84,"A sculpture of the goddess of love, courage,\nand victory. Increases Magic Defense."
448,2150455360,125562,11,Vyse Figur,124923,12,Figura Vyse,125517,16,Symbole de Vyse,123094,12,Vyse Figure,62,0,X,X,X,X,X,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,8800,50,8,37,0,106728,55,Schamlose Skulptur von Vyse.\nErhöht Magic Resistance.,105889,73,Descarada copia de la imagen de Vyse.\nMejora la Resistencia a la Magia.,106271,64,Sculpture indécente de Vyse.\nAccroît la Résistance à la Magie.,104759,58,A shameless sculpture of Vyse. \nIncreases Magic Defense.
449,2150455372,125573,11,Kugelfigur,124935,16,Figura Esférica,125533,15,Symbole Sphère,123106,17,Spherical Figure,62,0,X,X,X,X,X,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,13500,50,9,30,0,106783,42,Glühende Kugel.\nErhöht Magic Resistance.,105962,56,Esfera brillante que mejora\nla Resistencia a la Magia.,106335,57,Une sphère brillante.\nAccroît la Résistance à la Magie.,104817,44,A glowing sphere.\nIncreases Magic Defense.
