Entry ID,EU Message ID,[ DE Entry Name Pos.],[ DE Entry Name Size],DE Entry Name,[ ES Entry Name Pos.],[ ES Entry Name Size],ES Entry Name,[ FR Entry Name Pos.],[ FR Entry Name Size],FR Entry Name,[ GB Entry Name Pos.],[ GB Entry Name Size],GB Entry Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Pad. 1,Feat. 1 ID,[Feat. 1 Name],Pad. 2,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 3,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 4,Feat. 3 Value,Feat. 4 ID,[Feat. 4 Name],Pad. 5,Feat. 4 Value,Purchase Price,Retail Price in %,Order by Prio.,EU Order by ABC,Pad. 6,[ DE Descr. Pos.],[ DE Descr. Size],DE Descr. Str.,[ ES Descr. Pos.],[ ES Descr. Size],ES Descr. Str.,[ FR Descr. Pos.],[ FR Descr. Size],FR Descr. Str.,[ GB Descr. Pos.],[ GB Descr. Size],GB Descr. Str.
440,0x802d57c4,0x1ea14,12,Rogue Figur,0x1e789,13,Figura Rogue,0x1e9d1,17,Fanion du Voleur,0x1e066,13,Rogue Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,800,50,0,25,0,0x19e71,85,"Schädel mit gekreuzten Schwertern, Symbol\\nder Luftpiraten. Erhöht Magic Resistance.",0x19b0f,88,Esta calavera es el símbolo de los Piratas\\nAéreos y aumenta la Resistencia a la Magia.,0x19c5d,90,"Crâne et épées croisées, symbole des pirates\\nde l'Air. Accroît la résistance à la Magie.",0x196a8,95,"A menacing skull with crossed swords, the symbol\\nof the Air Pirates. Increases Magic Defense."
441,0x802d57d4,0x1ea20,11,Pryn Figur,0x1e796,12,Figura Pryn,0x1e9e2,13,Symbole Pryn,0x1e073,12,Pryn Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2400,50,1,22,0,0x19ec6,87,Stellt einen mystischen roten Vogel dar und hat\\nrote Federn. Erhöht Magic Resistance.,0x19b67,91,Representa un pájaro místico de bello plumaje\\nrojo que aumenta la Resistencia a la Magia.,0x19cb7,91,"Représente un oiseau mystique, décoré de plumes\\nrouges. Accroît la résistance à la Magie.",0x19707,94,"Crafted after a mystical red bird, and decorated\\nwith red feathers. Increases Magic Defense."
442,0x802d57e0,0x1ea2b,13,Pyrynn Figur,0x1e7a2,14,Figura Pyrynn,0x1e9ef,15,Symbole Pyrynn,0x1e07f,14,Pyrynn Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,4400,50,2,23,0,0x19f1d,83,"Skulptur, die den mystischen Hüter von Pyrynn\\ndarstellt. Erhöht Magic Resistance.",0x19bc2,76,Basada en el mítico guardián de Pyrynn.\\nAumenta la Resistencia a la Magia.,0x19d12,93,Une sculpture représentant le gardien mythique\\nde Pyrynn. Accroît la résistance à la Magie.,0x19765,80,A sculpture based on the mythical guardian of\\nPyrynn. Increases Magic Defense.
443,0x802d57f0,0x1ea38,12,Urwal Figur,0x1e7b0,15,Figura Ballena,0x1e9fe,16,Symbole Rhaknam,0x1e08d,16,Arcwhale Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,4640,50,3,4,0,0x19f70,68,"Skulptur eines Urwals, des Himmelshüters. Erhöht\\nMagic Resistance.",0x19c0e,81,Representa a una ballena guardiana del\\ncielo. Mejora la Resistencia a la Magia.,0x19d6f,98,"Une sculpture de la baleine légendaire, gardien-\\nne des cieux. Accroît la Résistance à la Magie.",0x197b5,81,"A sculpture of an arcwhale, the guardian of the\\nskies. Increases Magic Defense."
444,0x802d5800,0x1ea44,13,Quetya Figur,0x1e7bf,14,Figura Quetya,0x1ea0e,15,Symbole Quetya,0x1e09d,14,Quetya Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,4880,50,4,24,0,0x19fb4,96,"Skulptur einer Quetya, Gottheit der Ixa'takaner.\\nIhre göttliche Kraft erhöht Magic Resistance.",0x19c5f,89,"Figura de un Quetya, deidad de Ixa'taka, sus\\npoderes mejoran la Resistencia a la Magia.",0x19dd1,97,"Sculpture d'un Quetya, une Déité Ixa'takan. Son\\npouvoir divin accroît la résistance à la Magie.",0x19806,88,"A sculpture of a Quetya, an Ixa'takan Deity.\\nIts divine power increases Magic Defense."
445,0x802d5810,0x1ea51,12,Riesenfigur,0x1e7cd,15,Figura Gigante,0x1ea1d,17,Symbole du Géant,0x1e0ab,13,Giant Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,5120,50,5,16,0,0x1a014,57,Skulptur in Form eines Riesen.\\nErhöht Magic Resistance.,0x19cb8,70,Una escultura en forma de gigante.\\nMejora la Resistencia a la Magia.,0x19e32,64,Sculpture en forme de géant.\\nAccroît la Résistance à la Magie.,0x1985e,62,A sculpture in the form of a giant.\\nIncreases Magic Defense.
446,0x802d5820,0x1ea5d,14,Bluheim Figur,0x1e7dc,15,Figura Bluheim,0x1ea2e,16,Symbole Bluheim,0x1e0b8,15,Bluheim Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,5360,50,6,6,0,0x1a04d,72,"Skulptur von Bluheim, dem Gigas von Yafutoma.\\nErhöht Magic Resistance.",0x19cfe,74,"Figura de Bluheim, el Gigas Yafutoman.\\nMejora la Resistencia a la Magia.",0x19e72,76,"Sculpture de Bluheim, le Giga Yafutoman.\\nAccroît la Résistance à la Magie.",0x1989c,71,"A sculpture of Bluheim, the Yafutoman Gigas.\\nIncreases Magic Defense."
447,0x802d5830,0x1ea6b,15,Göttinnenfigur,0x1e7eb,16,Figura de Diosa,0x1ea3e,15,Symbole Déesse,0x1e0c7,15,Goddess Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,6800,50,7,17,0,0x1a095,83,"Skulptur der Göttin der Liebe, des Mutes und des\\nSieges. Erhöht Magic Resistance.",0x19d48,89,"Figura de la diosa del amor, el coraje y la\\nvictoria. Mejora la Resistencia a la Magia.",0x19ebe,97,"Statue de la déesse de l'amour, du courage, et\\nde la victoire. Accroît la Résistance à la Magie",0x198e3,84,"A sculpture of the goddess of love, courage,\\nand victory. Increases Magic Defense."
448,0x802d5840,0x1ea7a,11,Vyse Figur,0x1e7fb,12,Figura Vyse,0x1ea4d,16,Symbole de Vyse,0x1e0d6,12,Vyse Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,8800,50,8,37,0,0x1a0e8,55,Schamlose Skulptur von Vyse.\\nErhöht Magic Resistance.,0x19da1,73,Descarada copia de la imagen de Vyse.\\nMejora la Resistencia a la Magia.,0x19f1f,64,Sculpture indécente de Vyse.\\nAccroît la Résistance à la Magie.,0x19937,58,A shameless sculpture of Vyse. \\nIncreases Magic Defense.
449,0x802d584c,0x1ea85,11,Kugelfigur,0x1e807,16,Figura Esférica,0x1ea5d,15,Symbole Sphère,0x1e0e2,17,Spherical Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,13500,50,9,30,0,0x1a11f,42,Glühende Kugel.\\nErhöht Magic Resistance.,0x19dea,56,Esfera brillante que mejora\\nla Resistencia a la Magia.,0x19f5f,57,Une sphère brillante.\\nAccroît la Résistance à la Magie.,0x19971,44,A glowing sphere.\\nIncreases Magic Defense.
