Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. flags,[V],[A],[F],[D],[E],[G],Retail price in %,Order by prio.,EU order by ABC,Purchase price,Feat. #0 ID,[Feat. #0 name],Pad. #0,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #1,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #2,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #3,Feat. #3 value,Pad. #4,Pad. #5,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
160,0x802c6cbc,0x1d6aa,11,Juwel Ring,0x1d39e,15,Anillo de Gema,0x1d5d7,13,Gemme Sertie,0x1cd13,14,Gemstone Ring,58,X,X,X,"",X,"",50,1,23,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x153d7,83,"Fein gearbeiter Ring, mit eingravierten Runen,\\ndie den Träger vor Magie schützen.",0x1502e,87,"Anillo finamente tallado, con jeroglíficos\\nque protegen contra el efecto de la Magia.",0x15017,95,Une bague finement travaillée avec des runes\\ngravées qui protègent l'utilisateur de la Magie.,0x14c6f,83,"A finely crafted ring engraved with runes,\\nthat protect the wearer against magic."
161,0x802c6ccc,0x1d6b5,15,Prophet's Sand,0x1d3ad,16,Arena Profética,0x1d5e4,15,Bague de Sable,0x1cd21,15,Prophet's Sand,58,X,X,X,"",X,"",50,3,39,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x1542a,91,"Ring aus verzaubertem Sand, den man bei Moon\\nStones findet. Schützt den Träger vor Magie.",0x15085,79,Anillo de arena mágica procedente de\\nPiedras Lunares.Protege contra la Magia.,0x15076,94,Une bague créée avec du sable enchanté trouvé\\nprès des Pierres de Lune. Protège de la Magie.,0x14cc2,97,A ring created from enchanted sand found around\\nMoon Stones. Protects the wearer against Magic.
162,0x802c6cdc,0x1d6c4,17,Meditations Ring,0x1d3bd,14,Anillo Mágico,0x1d5f3,17,Bague Méditation,0x1cd30,16,Meditation Ring,58,X,X,X,"",X,"",50,0,33,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x15485,82,Ring aus geflochtenen Zweigen verzauberter\\nBäume. Erhöht den Willen des Trägers.,0x150d4,73,Anillo entretejido con ramitas de árboles\\nmágicos. Aumenta la Voluntad.,0x150d4,91,Une bague fabriquée à partir d'un arbre magique\\nAccroît la Volonté de celui qui la porte.,0x14d23,85,A ring crafted from weaving the sprigs of magic\\ntrees. Increases the wearer's Will.
163,0x802c6cec,0x1d6d5,15,Mondstaub Ring,0x1d3cb,15,Anillo de Luna,0x1d604,17,Bague Poudrelune,0x1cd40,14,Moondust Ring,58,X,X,X,"",X,"",50,4,35,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x154d7,84,"Ring, der mit kleinen  Moon-Stone-Splittern\\nverziert ist. Erhöht die Willenskraft.",0x1511d,74,Anillo decorado con fragmentos de Piedras\\nLunares. Potencia la Voluntad.,0x1512f,85,Une bague décorée avec des petits morceaux de\\nPierres de Lune. Augmente la Volonté.,0x14d78,67,A ring decorated with tiny shards of Moon\\nStones. Increases Will.
164,0x802c6cfc,0x1d6e4,15,Liebenden-Ring,0x1d3da,17,Anillo del Amado,0x1d615,17,Bague des amants,0x1cd4e,13,Lover's Ring,58,X,X,X,"",X,"",50,2,30,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0,0,0x1552b,85,"Fein gearbeiteter Ring, der zwei Liebende\\nzeigt. Erhöht Magie-Resistenz und Willen.",0x15167,84,Anillo con la imagen de dos novios. Protege\\ncontra la Magia y aumenta la Voluntad.,0x15184,97,Bague finement travaillée représentant 2 amants\\nenlacés. Accroît Résistance Magique et Volonté.,0x14dbb,92,A finely crafted ring that depicts two lovers\\nembracing. Increases Magic Defense and Will.
165,0x802c6d0c,0x1d6f3,16,Jade Swirl Ring,0x1d3eb,15,Anillo de Jade,0x1d626,14,Bague de Jade,0x1cd5b,16,Jade Swirl Ring,58,X,X,X,"",X,"",50,5,29,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0,0,0x15580,92,"Ring, der mit zwei Tropfen flüssiger Jade\\nverziert ist. Erhöht Magie-Resistenz und Willen.",0x151bb,81,Anillo con dos gotas de jade que protege\\ncontra la Magia y aumenta la Voluntad.,0x151e5,92,Bague décorée avec 2 gouttes de jade liquide.\\nAccroît la Résistance Magique et la Volonté.,0x14e17,83,A ring decorated with two drops of liquid jade.\\nIncreases Magic Defense and Will.
166,0x802c6d1c,0x1d703,11,Cupil Ring,0x1d3fa,13,Anillo Cupil,0x1d634,15,Bague du Cupil,0x1cd6b,11,Cupil Ring,8,"","",X,"","","",100,6,14,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0,0,0x155dc,95,"Ring, der Cupil ähnelt. Erhöht Spirit sowie\\nResistenz gegen Silber-Angriffe und Eterni-Magie.",0x1520c,88,Se parece a Cupil. Potencia el Espíritu.\\nResistente a Ataques de Plata y Magia Eterni.,0x15241,98,"Bague à l'image du Cupil. Augmente l'Esprit, la\\nRésistance aux Attaques d'Argent & Magie Eterni.",0x14e6a,97,"A ring that looks like Cupil. Boosts Spirit and\\nResistance to Silver Attacks, and Eterni Magic."
167,0x802c6d28,0x1d70e,12,Kriegerherz,0x1d407,15,Corazón Bélico,0x1d643,15,Coeur Guerrier,0x1cd76,16,Warrior's Heart,58,X,X,X,"",X,"",100,7,59,10,77,Recover spirit,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x1563b,94,"Ein Ring mit leuchtendem Stein; erlaubt dem\\nBenutzer, während des Kampfes Spirit aufzuladen.",0x15264,83,Anillo con una gema brillante. Ayuda a\\nrecuperar el Espiritu durante la batalla. ,0x152a3,97,"Une bague avec une pierre brillante, qui permet\\nde récupérer de l'Esprit pendant les batailles.",0x14ecb,82,"A ring with a glowing gem, that allows the user\\nto recover Spirit during battle."
168,0x802c6d38,0x1d71a,17,Throkryn's Scale,0x1d416,14,Arma Throkryn,0x1d652,17,Écaille Throkryn,0x1cd86,17,Throkryn's Scale,53,X,X,"",X,"",X,50,8,55,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x15699,75,Ein aus einem Throkryn hergestellter Waffentyp.\\nErhöht die Angriffskraft.,0x152b7,59,Arma modificada con Throkryn.\\nAumenta el poder de Ataque.,0x15304,87,"Une arme modifiée, fabriquée à l'aide d'un\\nThrokryn. Augmente la Puissance d'Attaque.",0x14f1d,66,A weapon modification made from a Throkryn.\\nRaises Attack Power.
169,0x802c6d4c,0x1d72b,17,Thryllak's Scale,0x1d424,14,Arma Thryllak,0x1d663,17,Écaille Thryllak,0x1cd97,17,Thryllak's Scale,53,X,X,"",X,"",X,50,9,56,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x156e4,94,"Schuppe eines Thryllak, ein Tier, noch tödlicher\\nals ein Throkryn. Erhöht die Angriffskraft.",0x152f2,87,"Escamas de Thryllak, animal más mortífero\\nque el Throkryn. Mejora el poder de Ataque.",0x1535b,98,"Écaille de Thryllak, animal bien plus dangereux\\nque le Throkryn. Accroît la Puissance d'Attaque.",0x14f5f,88,"A scale of a Thryllak, an animal even deadlier\\nthan the Throkryn. Raises Attack Power."
170,0x802c6d60,0x1d73c,16,Maroccas Schale,0x1d432,15,Concha Marocca,0x1d674,17,Bouclier Marocca,0x1cda8,16,Marocca's Shell,53,X,X,"",X,"",X,50,10,32,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x15742,75,Panzer eines großen primitiven Krustentiers.\\nVerbessert die Verteidigung.,0x15349,70,Concha de un crustáceo primitivo de gran\\ntamaño. Aumenta la Defensa.,0x153bd,64,La coquille d'un grand crustacé primitif.\\nAméliore la Défense.,0x14fb7,62,The shell of a large primitive crustacean.\\nImproves Defense.
