Entry ID,Entry US Name,PC ID,[PC Name],Sell%,US Order 1,US Order 2,Effect ID,[Effect Name],Buy,Attack,Hit%,Trait ID,[Trait Name],Pad 1,Trait Value,[US Descr Pos],[US Descr Size],US Descr Str
0,Cutlass,0,Vyse,50,0,21,-1,None,70,20,90,-1,None,0,0,0x332ad8,96,"Vyse received these swords as a gift from his
father, Dyne. It is light, with a short blade."
1,Pirate Cutlass,0,Vyse,50,1,48,-1,None,220,33,90,-1,None,0,0,0x332b38,96,"The favorite sword among Air Pirates in the Mid
Ocean area. It is light and very easy to wield."
2,Sky Cutlass,0,Vyse,50,2,54,-1,None,450,45,90,-1,None,0,0,0x332b98,88,"A cutlass used by Pirates and fishermen alike.
Its edge is perfect for cleaning fish."
3,Admiral Cutlass,0,Vyse,50,9,0,-1,None,4970,128,90,-1,None,0,0,0x332bf0,88,"An old sword that once belonged to a Valuan
Admiral when he was stationed in Esparanza."
4,Assassin Blade,0,Vyse,50,3,2,0,Poison by 10%,830,58,90,-1,None,0,0,0x332c48,96,"A favorite among assassins of the world, mainly
because it has a chance to poison its target."
5,Thunder Cutlass,0,Vyse,50,13,64,-1,None,8610,160,90,36,Yellow,0,-2,0x332ca8,96,"An ancient cutlass made from Yeligar's hardened
skin. Some say it can cut through lightning."
6,Iron-cutter,0,Vyse,50,7,40,-1,None,3870,112,90,-1,None,0,0,0x332d08,96,"An ancient blade of pre-Old World times, it is
said that this blade was used to cut iron ore."
7,Nasr Cutlass,0,Vyse,50,4,46,-1,None,1340,70,90,-1,None,0,0,0x332d68,96,"A cutlass used by desert-faring merchants for
self-defense, its blade is finely worked stone."
8,Sword of Daccat,0,Vyse,50,8,62,1,Sleep by 50%,4690,120,90,-1,None,0,0,0x332dc8,88,"The sword of the great Air Pirate Daccat, it has
the power to lull enemies to sleep."
9,Hunter's Sword,0,Vyse,50,5,35,-1,None,2280,87,90,-1,None,0,0,0x332e20,92,"A hunting blade fashioned to resemble a beast's
fang. A favorite among Ixa'takan warriors."
10,Stonecutter,0,Vyse,50,6,58,-1,None,3120,99,90,-1,None,0,0,0x332e7c,92,"A blade originally used in masonry work, it has
since been modified to be used in combat."
11,Dream Cutlass,0,Vyse,50,10,26,-1,None,6690,137,90,35,Blue,0,-2,0x332ed8,92,"A legendary sword that can supposedly rip the
fabric of reality and make dreams come true."
12,Windslicer,0,Vyse,50,12,70,-1,None,8760,153,90,-1,None,0,0,0x332f34,80,"A blade so slender that it is fabled to be able
to cut the very air in half."
