Entry ID,[Filter],Year,Month,Day,Version
0,ME002A.SCT,2000,6,27,31
0,ME002B.SCT,2000,6,27,11
0,ME002C.SCT,2000,6,27,24
0,ME002D.SCT,2000,6,27,32
0,ME002E.SCT,2000,6,27,17
0,ME004A.SCT,2000,6,27,33
0,ME005A.SCT,2000,6,27,12
0,ME005B.SCT,2000,6,27,20
0,ME008A.SCT,2000,6,27,22
0,ME008B.SCT,2000,6,27,12
0,ME010A.SCT,2000,6,27,33
0,ME010B.SCT,2000,6,27,13
0,ME010C.SCT,2000,6,27,0
0,ME013A.SCT,2000,6,27,16
0,ME013B.SCT,2000,6,27,36
0,ME013C.SCT,2000,6,27,4
0,ME013D.SCT,2000,6,27,11
0,ME013E.SCT,2000,6,27,15
0,ME013F.SCT,2000,6,27,0
0,ME017A.SCT,2000,6,27,35
0,ME017B.SCT,2000,6,27,38
0,ME017C.SCT,2000,6,27,33
0,ME017D.SCT,2000,6,27,11
0,ME017E.SCT,2000,6,27,28
0,ME017F.SCT,2000,6,27,59
0,ME018A.SCT,2000,6,27,23
0,ME018B.SCT,2000,6,27,5
0,ME019A.SCT,2000,6,27,14
0,ME019B.SCT,2000,6,27,14
0,ME019C.SCT,2000,6,27,6
0,ME019D.SCT,2000,6,27,17
0,ME020A.SCT,2000,6,27,5
0,ME020B.SCT,2000,6,27,10
0,ME028A.SCT,2000,6,27,7
0,ME028E.SCT,2000,6,27,4
0,ME032A.SCT,2000,6,27,11
0,ME033A.SCT,2000,6,27,52
0,ME033B.SCT,2000,6,27,4
0,ME034A.SCT,2000,6,27,32
0,ME034B.SCT,2000,6,27,28
0,ME034C.SCT,2000,6,27,24
0,ME034D.SCT,2000,6,27,20
0,ME034E.SCT,2000,6,27,23
0,ME034F.SCT,2000,6,27,24
0,ME034G.SCT,2000,6,27,3
0,ME034H.SCT,2000,6,27,7
0,ME034I.SCT,2000,6,27,4
0,ME035A.SCT,2000,6,27,4
0,ME035B.SCT,2000,6,27,4
0,ME035D.SCT,2000,6,27,12
0,ME035E.SCT,2000,6,27,2
0,ME035F.SCT,2000,6,27,13
0,ME035G.SCT,2000,6,27,29
0,ME035H.SCT,2000,6,27,13
0,ME035I.SCT,2000,6,27,23
0,ME090A.SCT,2000,6,27,0
0,ME098A.SCT,2000,6,27,0
0,ME099A.SCT,2000,6,27,33
0,ME099B.SCT,2000,6,27,28
0,ME099C.SCT,2000,6,27,30
0,ME099D.SCT,2000,6,27,28
0,ME099E.SCT,2000,6,27,28
0,ME099F.SCT,2000,6,27,31
0,ME099G.SCT,2000,6,27,29
0,ME099H.SCT,2000,6,27,31
