Entry ID,JP Entry Name,PC Flags,[V],[A],[F],[D],[E],[G],Retail Price in %,Order by Prio.,JP Order by ABC,Pad. 1,Purchase Price,Feat. 1 ID,[Feat. 1 Name],Pad. 2,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 3,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 4,Feat. 3 Value,Feat. 4 ID,[Feat. 4 Name],Pad. 5,Feat. 4 Value,[JP Descr. Pos.],[JP Descr. Size],JP Descr. Str.
160,Ж防の指輪１,0x3f,X,X,X,X,X,X,50,2,27,0,25,18,MagDef,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2af400,44,指輪です。Ж術関係中心のアクセサリーです。\n
161,Ж防の指輪２,0x3f,X,X,X,X,X,X,50,20,28,0,202,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
162,気力のリング,0x3f,X,X,X,X,X,X,50,3,14,0,30,1,Will,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2af42c,88,北方の老Ж術使いたちが、Ж樹の枝から彫り上げた\n手作りの指輪だ。気力が少しだけ上がるぞ。
163,気力の指輪２,0x3f,X,X,X,X,X,X,50,21,15,0,202,1,Will,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
164,Ж術の指輪１,0x3f,X,X,X,X,X,X,50,6,24,0,71,18,MagDef,0,5,1,Will,0,5,-1,None,0,0,-1,None,0,0,0x0,0,""
165,Ж術の指輪２,0x3f,X,X,X,X,X,X,50,34,25,0,1325,18,MagDef,0,35,1,Will,0,35,-1,None,0,0,-1,None,0,0,0x0,0,""
166,Ж術無効の指輪,0x3f,X,X,X,X,X,X,50,49,26,0,2,64,Block Magic,0,1,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
167,気合の指輪,0x3f,X,X,X,X,X,X,50,43,11,0,2,77,Recover SP,0,1,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
168,攻撃の腕輪１,0x3f,X,X,X,X,X,X,50,4,21,0,25,16,Attack,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2af484,44,腕輪です。格闘関係中心のアクセサリーです。\n
169,攻撃の腕輪２,0x3f,X,X,X,X,X,X,50,16,22,0,202,16,Attack,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
170,防御の腕輪１,0x3f,X,X,X,X,X,X,50,5,48,0,25,17,Defense,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
171,防御の腕輪２,0x3f,X,X,X,X,X,X,50,17,49,0,202,17,Defense,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
172,命中の腕輪１,0x3f,X,X,X,X,X,X,50,8,55,0,71,19,Hit%,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
173,命中の腕輪２,0x3f,X,X,X,X,X,X,50,22,56,0,202,19,Hit%,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
174,回避の腕輪１,0x3f,X,X,X,X,X,X,50,9,4,0,71,20,Dodge%,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
175,回避の腕輪２,0x3f,X,X,X,X,X,X,50,23,5,0,202,20,Dodge%,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
176,アレスの腕輪,0x3f,X,X,X,X,X,X,50,29,33,0,2000,16,Attack,0,50,19,Hit%,0,20,-1,None,0,0,-1,None,0,0,0x2af4b0,92,伝説の勇者アレスにちなんだ腕輪だ。不思議な力が\n湧いてきて、攻撃力と命中率が跳ね上がるぞ!!
177,守りの腕輪,0x3f,X,X,X,X,X,X,50,30,52,0,468,17,Defense,0,25,20,Dodge%,0,10,-1,None,0,0,-1,None,0,0,0x0,0,""
178,万能の腕輪１,0x3f,X,X,X,X,X,X,50,41,45,0,1734,16,Attack,0,30,17,Defense,0,50,19,Hit%,0,10,20,Dodge%,0,20,0x0,0,""
179,アレスの腕輪,0x3f,X,X,X,X,X,X,50,42,6,0,1734,72,???,0,50,-1,None,0,30,-1,None,0,20,-1,None,0,10,0x0,0,""
180,反撃の腕輪,0x3f,X,X,X,X,X,X,50,51,42,0,2348,73,Counter%,0,50,16,Attack,0,50,19,Hit%,0,20,-1,None,0,0,0x0,0,""
181,攻撃無効の腕輪,0x3f,X,X,X,X,X,X,50,50,23,0,2,65,Block Attack,0,1,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
182,マロッカの腕輪,0x3f,X,X,X,X,X,X,50,13,50,0,200,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,-1,None,0,0,0x2af50c,84,マロッカの貝殻を砕いて作った腕輪だ。\n自分が受けるダメージを軽減する効果があるぞ。
183,守りの首飾り２,0x3f,X,X,X,X,X,X,50,37,51,0,1931,17,Defense,0,45,18,MagDef,0,45,-1,None,0,0,-1,None,0,0,0x2af560,48,首飾りです。バランスのよいアクセサリーです。\n
184,無毒の首飾り,0x3f,X,X,X,X,X,X,50,11,54,0,304,17,Defense,0,5,18,MagDef,0,5,48,Poison,0,-128,32,Green,0,-2,0x0,0,""
185,不死の首飾り,0x3f,X,X,X,X,X,X,50,28,47,0,1220,17,Defense,0,25,18,MagDef,0,25,49,Unconscious,0,-128,37,Silver,0,-2,0x0,0,""
186,人形の首飾り,0x3f,X,X,X,X,X,X,50,36,38,0,2128,17,Defense,0,40,18,MagDef,0,40,50,Stone,0,-128,-1,None,0,0,0x0,0,""
187,眠らずの首飾り,0x3f,X,X,X,X,X,X,50,15,39,0,493,17,Defense,0,10,18,MagDef,0,10,51,Sleep,0,-128,35,Blue,0,-2,0x0,0,""
188,乱れずの首飾り,0x3f,X,X,X,X,X,X,50,18,53,0,711,17,Defense,0,15,18,MagDef,0,15,52,Confusion,0,-128,34,Purple,0,-2,0x0,0,""
189,うるさい首飾り,0x3f,X,X,X,X,X,X,50,24,2,0,954,17,Defense,0,20,18,MagDef,0,20,53,Silence,0,-128,34,Purple,0,-2,0x0,0,""
