Entry ID,Magic EXP,Chara. #0 ID,[Chara. #0 name],Chara. #0 X,Chara. #0 Z,Chara. #1 ID,[Chara. #1 name],Chara. #1 X,Chara. #1 Z,Chara. #2 ID,[Chara. #2 name],Chara. #2 X,Chara. #2 Z,Chara. #3 ID,[Chara. #3 name],Chara. #3 X,Chara. #3 Z,Enemy #0 ID,[JP enemy #0 name],Enemy #0 X,Enemy #0 Z,Enemy #1 ID,[JP enemy #1 name],Enemy #1 X,Enemy #1 Z,Enemy #2 ID,[JP enemy #2 name],Enemy #2 X,Enemy #2 Z,Enemy #3 ID,[JP enemy #3 name],Enemy #3 X,Enemy #3 Z,Enemy #4 ID,[JP enemy #4 name],Enemy #4 X,Enemy #4 Z,Enemy #5 ID,[JP enemy #5 name],Enemy #5 X,Enemy #5 Z,Enemy #6 ID,[JP enemy #6 name],Enemy #6 X,Enemy #6 Z,Party vigor,Defeat cond. ID,[Defeat cond. name],Escape cond. ID,[Escape cond. name],BGM ID
0,1,0,Vyse,4,6,1,Aika,6,6,-1,None,-1,-1,-1,None,-1,-1,0,軍艦兵,4,2,0,軍艦兵,6,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,14,0,Must not lose,1,Cannot escape,58
1,1,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,1,航行士,4,2,1,航行士,6,2,1,航行士,2,3,1,航行士,8,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,14,0,Must not lose,1,Cannot escape,58
2,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,128,アントニオ,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,18,1,May try again,1,Cannot escape,60
3,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,129,アガタウマス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,34,1,May try again,1,Cannot escape,60
4,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,-1,None,-1,-1,130,イマゴタリア,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,48,1,May try again,1,Cannot escape,60
5,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,-1,None,-1,-1,131,獄長,4,2,7,煌術処刑士,2,3,7,煌術処刑士,8,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,50,1,May try again,1,Cannot escape,60
6,0,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,132,ガルシアン,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,52,0,Must not lose,1,Cannot escape,61
7,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,警備士,5,3,72,警備士,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,52,0,Must not lose,0,Can escape,58
8,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,警備士,5,3,72,警備士,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,52,0,Must not lose,0,Can escape,58
9,2,0,Vyse,4,8,1,Aika,5,9,-1,None,-1,-1,-1,None,-1,-1,133,護送将兵,4,3,133,護送将兵,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,54,1,May try again,1,Cannot escape,60
10,4,0,Vyse,5,8,1,Aika,7,9,2,Fina,3,9,-1,None,-1,-1,134,ラァス,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,68,1,May try again,1,Cannot escape,60
11,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,17,ツィツィ,2,4,17,ツィツィ,3,2,17,ツィツィ,4,3,17,ツィツィ,5,4,17,ツィツィ,6,2,17,ツィツィ,7,5,17,ツィツィ,8,3,0,0,Must not lose,0,Can escape,58
12,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,73,採掘士,4,2,73,採掘士,6,2,73,採掘士,2,1,73,採掘士,8,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,82,0,Must not lose,1,Cannot escape,58
13,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,136,アントニオＪｒ,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,84,1,May try again,1,Cannot escape,60
14,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,137,ディアトリマ,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,92,1,May try again,1,Cannot escape,60
15,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,155,ドブラ,5,1,156,ウォン三兄弟,5,3,156,ウォン三兄弟,3,1,156,ウォン三兄弟,7,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,94,1,May try again,1,Cannot escape,60
16,2,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,32,調査兵,4,3,32,調査兵,6,3,32,調査兵,3,4,32,調査兵,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,98,1,May try again,1,Cannot escape,58
17,4,0,Vyse,6,4,1,Aika,4,4,2,Fina,4,6,5,Gilder,6,6,138,シニストラ,1,1,139,デクストラ,7,7,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,104,1,May try again,1,Cannot escape,60
18,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,140,ラミレス,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,106,2,May lose,1,Cannot escape,61
19,4,0,Vyse,4,8,1,Aika,5,5,5,Gilder,6,8,-1,None,-1,-1,141,ビゴロ,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,1,May try again,1,Cannot escape,61
20,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,142,ブラキロフス,4,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,112,1,May try again,1,Cannot escape,60
21,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,145,ジャオ,4,3,146,マオ,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,128,1,May try again,1,Cannot escape,60
22,6,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,4,Enrique,8,8,144,ディーゴ,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,132,1,May try again,1,Cannot escape,60
23,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,147,ムラジ,5,1,60,モノノフ,5,3,60,モノノフ,4,3,60,モノノフ,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,1,May try again,1,Cannot escape,60
24,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,148,ニルヴィナス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,144,1,May try again,1,Cannot escape,60
25,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,150,ホルシ−ド,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,0,0,Must not lose,0,Can escape,60
26,0,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,152,ラミレス,5,3,100,アサシン,3,3,100,アサシン,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,158,2,May lose,1,Cannot escape,61
27,8,0,Vyse,4,7,1,Aika,5,7,2,Fina,3,8,5,Gilder,6,8,149,ビゴロ,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,160,1,May try again,1,Cannot escape,61
28,8,0,Vyse,4,7,1,Aika,6,7,2,Fina,7,9,5,Gilder,6,8,154,ラプラタヌス,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,160,1,May try again,1,Cannot escape,60
29,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,151,ガルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,0,0,Must not lose,0,Can escape,61
30,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,153,ラミレス,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,168,1,May try again,1,Cannot escape,61
31,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,157,ラミレス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,170,1,May try again,1,Cannot escape,62
32,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,14,盗掘者シモン,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,66,1,May try again,1,Cannot escape,58
