Entry ID,[Filter],[Enemy Ship ID],[Enemy Ship Name],Unk.,Task Rating,Task A Type ID,[Task A Type Name],Task A Arm. ID,Task A Param. ID,[Task A Param. Name],Task A Arm. Range,Task B Type ID,[Task B Type Name],Task B Arm. ID,Task B Param. ID,[Task B Param. Name],Task B Arm. Range
0,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
1,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
2,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
3,R500A.BIN,23,ブラックベアード,0,0,0,Attack,0,0,None,0,0,Attack,0,0,None,0
4,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
5,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
6,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
7,R500A.BIN,23,ブラックベアード,0,0,0,Attack,0,0,None,0,0,Attack,0,0,None,0
8,R500A.BIN,23,ブラックベアード,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
9,R500A.BIN,23,ブラックベアード,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
10,R500A.BIN,23,ブラックベアード,-1,0,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
11,R500A.BIN,23,ブラックベアード,0,0,0,Attack,0,0,None,0,0,Attack,0,0,None,0
12,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
13,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
14,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
15,R500A.BIN,23,ブラックベアード,0,0,0,Attack,0,0,None,0,0,Attack,0,0,None,0
16,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
