Entry ID,[Filter],Initiative,Magic EXP,Enemy #0 ID,[JP enemy #0 name],Enemy #1 ID,[JP enemy #1 name],Enemy #2 ID,[JP enemy #2 name],Enemy #3 ID,[JP enemy #3 name],Enemy #4 ID,[JP enemy #4 name],Enemy #5 ID,[JP enemy #5 name],Enemy #6 ID,[JP enemy #6 name],Enemy #7 ID,[JP enemy #7 name]
0,A017A_EP.BIN,102,2,42,フードン,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,A017A_EP.BIN,102,2,42,フードン,42,フードン,255,None,255,None,255,None,255,None,255,None,255,None
2,A017A_EP.BIN,102,2,42,フードン,42,フードン,42,フードン,255,None,255,None,255,None,255,None,255,None
3,A017A_EP.BIN,102,2,42,フードン,42,フードン,42,フードン,42,フードン,255,None,255,None,255,None,255,None
4,A017A_EP.BIN,102,2,42,フードン,42,フードン,42,フードン,42,フードン,42,フードン,255,None,255,None,255,None
5,A017A_EP.BIN,102,2,42,フードン,42,フードン,42,フードン,42,フードン,42,フードン,42,フードン,255,None,255,None
0,A020B_EP.BIN,154,3,71,テンコウ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,A020B_EP.BIN,149,3,71,テンコウ,71,テンコウ,255,None,255,None,255,None,255,None,255,None,255,None
2,A020B_EP.BIN,144,3,71,テンコウ,71,テンコウ,71,テンコウ,255,None,255,None,255,None,255,None,255,None
3,A020B_EP.BIN,139,3,71,テンコウ,71,テンコウ,71,テンコウ,71,テンコウ,255,None,255,None,255,None,255,None
0,A035B_EP.BIN,134,3,60,モノノフ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,A035B_EP.BIN,134,3,60,モノノフ,60,モノノフ,255,None,255,None,255,None,255,None,255,None,255,None
2,A035B_EP.BIN,134,3,60,モノノフ,60,モノノフ,60,モノノフ,255,None,255,None,255,None,255,None,255,None
3,A035B_EP.BIN,134,3,60,モノノフ,60,モノノフ,60,モノノフ,60,モノノフ,255,None,255,None,255,None,255,None
4,A035B_EP.BIN,144,3,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None,255,None,255,None
5,A035B_EP.BIN,144,3,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None,255,None
6,A035B_EP.BIN,144,3,105,ベレーザ兵,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None
7,A035B_EP.BIN,144,3,105,ベレーザ兵,105,ベレーザ兵,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None
8,A035B_EP.BIN,139,3,60,モノノフ,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None,255,None
9,A035B_EP.BIN,144,3,60,モノノフ,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None
10,A035B_EP.BIN,144,3,60,モノノフ,105,ベレーザ兵,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None
11,A035B_EP.BIN,134,3,60,モノノフ,60,モノノフ,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None
12,A035B_EP.BIN,139,3,60,モノノフ,60,モノノフ,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None
13,A035B_EP.BIN,134,3,60,モノノフ,60,モノノフ,60,モノノフ,105,ベレーザ兵,255,None,255,None,255,None,255,None
0,A099A_01EP.BIN,22,1,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None,255,None,255,None
1,A099A_01EP.BIN,22,1,15,ヌール,15,ヌール,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
2,A099A_01EP.BIN,22,1,15,ヌール,15,ヌール,15,ヌール,15,ヌール,15,ヌール,15,ヌール,255,None,255,None
3,A099A_01EP.BIN,52,1,29,エルモ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
4,A099A_01EP.BIN,52,1,29,エルモ,29,エルモ,29,エルモ,255,None,255,None,255,None,255,None,255,None
5,A099A_01EP.BIN,27,1,3,マロッカ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
6,A099A_01EP.BIN,12,1,3,マロッカ,3,マロッカ,3,マロッカ,255,None,255,None,255,None,255,None,255,None
7,A099A_01EP.BIN,27,1,4,アーアペプ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
8,A099A_01EP.BIN,12,1,4,アーアペプ,4,アーアペプ,255,None,255,None,255,None,255,None,255,None,255,None
9,A099A_01EP.BIN,27,1,29,エルモ,15,ヌール,255,None,255,None,255,None,255,None,255,None,255,None
10,A099A_01EP.BIN,27,1,29,エルモ,15,ヌール,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
11,A099A_01EP.BIN,22,1,3,マロッカ,15,ヌール,255,None,255,None,255,None,255,None,255,None,255,None
12,A099A_01EP.BIN,22,1,3,マロッカ,15,ヌール,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
13,A099A_01EP.BIN,32,1,3,マロッカ,29,エルモ,255,None,255,None,255,None,255,None,255,None,255,None
14,A099A_01EP.BIN,32,1,3,マロッカ,3,マロッカ,29,エルモ,29,エルモ,255,None,255,None,255,None,255,None
15,A099A_01EP.BIN,27,1,3,マロッカ,29,エルモ,15,ヌール,255,None,255,None,255,None,255,None,255,None
16,A099A_01EP.BIN,27,1,3,マロッカ,29,エルモ,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
17,A099A_01EP.BIN,22,1,4,アーアペプ,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None,255,None
18,A099A_01EP.BIN,12,1,4,アーアペプ,15,ヌール,15,ヌール,15,ヌール,15,ヌール,255,None,255,None,255,None
19,A099A_01EP.BIN,27,1,4,アーアペプ,29,エルモ,255,None,255,None,255,None,255,None,255,None,255,None
20,A099A_01EP.BIN,27,1,4,アーアペプ,29,エルモ,29,エルモ,255,None,255,None,255,None,255,None,255,None
21,A099A_01EP.BIN,22,1,4,アーアペプ,3,マロッカ,255,None,255,None,255,None,255,None,255,None,255,None
22,A099A_01EP.BIN,12,1,4,アーアペプ,3,マロッカ,3,マロッカ,255,None,255,None,255,None,255,None,255,None
23,A099A_01EP.BIN,27,1,4,アーアペプ,29,エルモ,15,ヌール,255,None,255,None,255,None,255,None,255,None
24,A099A_01EP.BIN,22,1,4,アーアペプ,29,エルモ,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
25,A099A_01EP.BIN,12,1,4,アーアペプ,3,マロッカ,15,ヌール,255,None,255,None,255,None,255,None,255,None
26,A099A_01EP.BIN,12,1,4,アーアペプ,3,マロッカ,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
27,A099A_01EP.BIN,12,1,4,アーアペプ,3,マロッカ,29,エルモ,255,None,255,None,255,None,255,None,255,None
28,A099A_01EP.BIN,12,1,4,アーアペプ,3,マロッカ,3,マロッカ,29,エルモ,29,エルモ,255,None,255,None,255,None
29,A099A_01EP.BIN,12,1,4,アーアペプ,4,アーアペプ,29,エルモ,15,ヌール,15,ヌール,255,None,255,None,255,None
30,A099A_01EP.BIN,12,1,4,アーアペプ,4,アーアペプ,3,マロッカ,15,ヌール,15,ヌール,255,None,255,None,255,None
31,A099A_01EP.BIN,12,1,4,アーアペプ,4,アーアペプ,3,マロッカ,29,エルモ,255,None,255,None,255,None,255,None
0,A099A_02EP.BIN,44,1,18,セベスク,18,セベスク,255,None,255,None,255,None,255,None,255,None,255,None
1,A099A_02EP.BIN,44,1,18,セベスク,18,セベスク,18,セベスク,255,None,255,None,255,None,255,None,255,None
2,A099A_02EP.BIN,34,1,18,セベスク,18,セベスク,18,セベスク,18,セベスク,255,None,255,None,255,None,255,None
3,A099A_02EP.BIN,29,1,19,ユールマラー,255,None,255,None,255,None,255,None,255,None,255,None,255,None
