Entry ID,JP entry name,Ship flags,[LJ0],[LJ1],[D0],[D1],[D2],Type ID,[Type name],Element ID,[Element name],Attack,Hit%,Limit,Spirit,Feat. ID,[Feat. name],Pad. #0,Feat. value,Pad. #1,Pad. #2,Purchase price,Pad. #3,Pad. #4,Retail price in %,Order by prio.,JP order by ABC,Pad. #5,[JP descr. pos.],[JP descr. size],JP descr. str.
400,固定主砲,48,X,X,"","","",0,Main cannon,6,Neutral,35,80,0,4,-1,None,0,0,0,0,450,0,0,50,0,0,0,3387080,88,リトルジャックに最初から装備されている砲。\nかなり年季の入った旧型砲だが、手入れは十分。
401,汎主砲,48,X,X,"","","",0,Main cannon,6,Neutral,40,83,0,4,-1,None,0,0,0,0,1000,0,0,50,1,1,0,3387168,88,バルアでは駆逐艦の標準主砲として用いられる砲が\n闇ルートを通じて一般に出まわったもの。
402,汎主砲改,48,X,X,"","","",0,Main cannon,6,Neutral,45,85,0,5,-1,None,0,0,0,0,1900,0,0,50,2,2,0,3387256,80,バルアの標準主砲を改造し、火力を増したもの。\nオーシャンの軽武装船に人気がある。
403,重主砲Ｇ型,48,X,X,"","","",0,Main cannon,6,Neutral,50,85,0,5,-1,None,0,0,0,0,3000,0,0,70,3,3,0,3387336,80,アルマダがモンテスマを制圧したときの主力艦砲。\n今ではやや旧型だが、威力はある。
404,重主砲Ｂ型,48,X,X,"","","",0,Main cannon,6,Neutral,75,90,0,6,-1,None,0,0,0,0,4000,0,0,50,4,4,0,3387416,88,重主砲Ｇ型を改良したもので、基本構造をほぼ\n受け継ぎながら、威力はさらに増加している。
405,試験型主砲,14,"","",X,X,X,0,Main cannon,6,Neutral,100,85,0,6,-1,None,0,0,0,0,5000,0,0,50,5,5,0,3387504,92,新鋭艦搭載用に開発されてきた新型旋回主砲。\n火力より安定性を重視しており、威力はやや弱い。
406,新鋭主砲,14,"","",X,X,X,0,Main cannon,6,Neutral,150,90,0,7,-1,None,0,0,0,0,5500,0,0,50,6,6,0,3387596,80,アルマダ新鋭艦用の新型旋回主砲。\n闇商人の密貿易によって一般にも流出している。
407,ヤマトダマシイ,14,"","",X,X,X,0,Main cannon,6,Neutral,250,90,0,8,-1,None,0,0,0,0,6700,0,0,70,7,7,0,3387676,80,ヤフトマーの大砲鍛冶が造りあげた大筒。\n一子相伝の匠の技が随所に活かされている。
408,古の主砲,14,"","",X,X,X,0,Main cannon,6,Neutral,300,95,0,9,-1,None,0,0,0,0,8500,0,0,50,8,8,0,3387756,76,遺跡から発掘された古代の金属素材を使って\n造られた、頑強な砲身を誇る主砲。
409,Ｘ主砲,14,"","",X,X,X,0,Main cannon,6,Neutral,400,97,0,10,-1,None,0,0,0,0,11000,0,0,0,9,9,0,3387832,88,大型戦艦を想定して設計された大口径の主砲。\n小型艦を軽く大破させられる程の破壊力をもつ。
410,３インチ副砲,48,X,X,"","","",1,Secondary cannon,6,Neutral,70,80,1,2,-1,None,0,0,0,0,700,0,0,50,10,10,0,3387920,80,リトルジャックが装備できる副砲。\n軽量で取り回しやすく小型船舶に多く用いられる。
