Entry ID,Entry US Name,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,Ord by 123,US Ord by ABC,Buy,Pad 1,Pad 2,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[US Descr Pos],[US Descr Size],US Descr Str
240,Sacri Crystal,0x6,X,X,"",31,Recover HP,1,Single PC,100,50,0,30,20,0,0,500,-1,None,-1,None,0,Poison,0,0x3653bc,88,An enchanted crystal created by Mages of the\nGreen Moon. Restores 500 HP for one ally.
241,Sacres Crystal,0x6,X,X,"",31,Recover HP,1,Single PC,100,50,1,29,60,0,0,1000,-1,None,-1,None,0,Poison,0,0x365414,68,An enchanted crystal created by Mages of the\nGreen Moon. Restores 1
242,Sacrum Crystal,0x6,X,X,"",31,Recover HP,2,All PCs,100,50,2,31,600,0,0,1000,-1,None,-1,None,0,Poison,0,0x0,0,""
243,Sacrulen Crystal,0x6,X,X,"",32,Recover HP of 100%,1,Single PC,100,50,3,32,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x365458,88,An enchanted crystal created by Mages of the\nGreen Moon. Restores all HP for one ally.
244,Magic Droplet,0x7,X,X,X,48,Recover MP,1,Single PC,100,50,4,24,40,0,0,1,-1,None,-1,None,0,Poison,0,0x3654b0,80,Created from the dew that forms on a magical\ntree. Restores 1 MP for one ally.
245,Magic Dew,0x7,X,X,X,48,Recover MP,1,Single PC,100,50,5,23,400,0,0,10,-1,None,-1,None,0,Poison,0,0x365500,76,A more concentrated form of the Magic Droplet.\nRestores 10 MP for one ally.
246,Aura of Valor,0x3,"",X,X,35,Recover SP,2,All PCs,100,50,6,15,2000,0,0,99,-1,None,-1,None,0,Poison,0,0x36554c,76,A sacred stone that boosts the Spirit of the\nentire party to heroic levels.
247,Soul Crystal,0x0,"","","",-1,None,0,None,0,100,49,54,3000,0,0,0,0,Green,0,Physical,0,Poison,0,0x365598,64,A valuable treasure sought by Zivilyn Bane on\nDaccat's Island.
248,Unholy Dagger,0x0,"","","",-1,None,0,None,0,100,50,51,4000,0,0,0,0,Green,0,Physical,0,Poison,0,0x3655d8,68,A valuable treasure sought by Zivilyn Bane in\nthe Grand Fortress.
249,Curia Crystal,0x2,"",X,"",30,Rem Neg States B,1,Single PC,100,50,7,18,30,0,0,0,0,Green,0,Physical,7,Revival,0,0x36561c,68,An ensorcelled crystal that cures all adverse\naffects on one ally
250,Risan Crystal,0x2,"",X,"",27,Revive w/ HP of 50%,1,Single PC,100,50,8,72,150,0,0,0,0,Green,0,Physical,7,Revival,50,0x365660,68,An ensorcelled crystal that has a 50% chance of\nreviving one ally
251,Riselem Crystal,0x2,"",X,"",28,Revive w/ HP of 100%,1,Single PC,100,50,9,73,450,0,0,0,0,Green,0,Physical,7,Revival,0,0x3656a4,60,An ensorcelled crystal that will revive an ally\nat Max HP.
252,Glyph of Might,0x2,"",X,"",21,Incr Attack & Defense,1,Single PC,100,50,10,3,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x3656e0,72,Developed by De Loco's Researchers.\nIncreases the Strength of one ally.
253,Glyph of Speed,0x2,"",X,"",20,Incr Quick,2,All PCs,100,50,11,21,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x365728,72,Developed by De Loco's Researchers.\nIncreases the Speed of one ally.
254,Healing Salve,0x2,"",X,"",33,Regenerate,1,Single PC,100,50,12,74,50,0,0,250,0,Green,0,Physical,0,Poison,0,0x365770,76,Developed by De Loco's Researchers.\nAllows one ally to regenerate wounds.
255,Chalice of Blood,0x0,"","","",-1,None,0,None,0,100,51,53,5000,0,0,0,0,Green,0,Physical,0,Poison,0,0x3657bc,64,A valuable treasure sought by Zivilyn Bane in\nthe Dark Rift.
256,Windsong Orb,0x0,"","","",-1,None,0,None,0,100,52,52,6000,0,0,0,0,Green,0,Physical,0,Poison,0,0x3657fc,60,A valuable treasure sought by Zivilyn Bane in\nMount Kazai.
257,Winter Orb,0x0,"","","",-1,None,0,None,0,100,53,56,7000,0,0,0,0,Green,0,Physical,0,Poison,0,0x365838,56,A valuable treasure sought by Zivilyn Bane in\nGlacia.
258,Moonberry,0x0,"","","",52,Learn S-Move,1,Single PC,100,0,13,49,50000,0,0,-1,-1,None,-1,None,0,Poison,0,0x365870,92,An edible fruit fertilized by Moon Stones.\nEating it will enable you to learn a technique.
259,Cham,0x4,X,"","",53,Evolve Cupil,0,None,100,0,14,44,10000,0,0,-1,-1,None,-1,None,0,Poison,0,0x3658cc,96,Cupil gets excited when Chams are in the area.\nFeeding them to Cupil will enable him to evolve.
260,Paranta Seed,0x4,X,"","",54,Grow Power,1,Single PC,100,1,17,65,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x36592c,68,The seed of a Paranta Tree\na full Red Moon. Increases Power by 3.
261,Icyl Seed,0x4,X,"","",55,Grow Will,1,Single PC,100,1,18,7,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x365970,64,The seed of an Icyl Tree\nfull Purple Moon. Increases Will by 3.
262,Zaal Seed,0x4,X,"","",56,Grow Vigor,1,Single PC,100,1,19,36,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x3659b0,64,The seed of a Zaal Tree\nfull Yellow Moon. Increases Vigor by 3.
263,Dexus Seed,0x4,X,"","",57,Grow Agile,1,Single PC,100,1,20,2,15000,0,0,1,-1,None,-1,None,0,Poison,0,0x3659f0,76,The seed of a Dexus Tree\nthe light of 6 full moons. Increases Agile by 1.
264,Sylph Seed,0x4,X,"","",58,Grow Quick,1,Single PC,100,1,21,37,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x365a3c,64,The seed of a Sylph Tree\nfull Blue Moon. Increases Quick by 3.
265,Vidal Seed,0x4,X,"","",59,Grow MAXHP,1,Single PC,100,1,22,66,5000,0,0,30,-1,None,-1,None,0,Poison,0,0x365a7c,68,The seed of a Vidal Tree\nfull Green Moon. Increases Max HP by 30.
266,Magus Seed,0x4,X,"","",60,Grow MAXMP,1,Single PC,100,1,23,26,5000,0,0,1,-1,None,-1,None,0,Poison,0,0x365ac0,68,The seed of a Magus Tree\nfull Silver Moon. Increases Max MP by 1.
267,Pyri Box,0x2,"",X,"",0,Damage,4,All ECs,8,1,24,68,400,0,0,150,1,Red,1,Magical,0,Poison,0,0x365b04,60,A mage of the Red Moon has enchanted a box with\nthe spell
268,Pyrum Box,0x2,"",X,"",0,Damage,4,All ECs,16,1,25,63,1200,0,0,360,1,Red,1,Magical,0,Poison,0,0x0,0,""
269,Crystales Box,0x2,"",X,"",0,Damage,3,Single EC,12,1,26,25,800,0,0,330,2,Purple,1,Magical,0,Poison,0,0x365b40,88,A mage of the Purple Moon has enchanted a box\nwith the spell Crystales. 7 or 8 charges.
270,Crystalen Box,0x2,"",X,"",0,Damage,3,Single EC,24,1,27,58,1600,0,0,600,2,Purple,1,Magical,0,Poison,0,0x365b98,88,A mage of the Purple Moon has enchanted a box\nwith the spell Crystalen. 3 or 4 charges.
271,Wevles Box,0x2,"",X,"",0,Damage,33,EC Square S5,12,1,28,14,800,0,0,285,3,Blue,1,Magical,0,Poison,0,0x365bf0,84,A mage of the Blue Moon has enchanted a box\nwith the spell Wevles. 7 or 8 charges.
272,Wevlen Box,0x2,"",X,"",0,Damage,34,EC Square S7,24,1,29,42,1600,0,0,525,3,Blue,1,Magical,0,Poison,0,0x365c44,84,A mage of the Blue Moon has enchanted a box\nwith the spell Wevlen. 3 or 4 charges.
273,Electri Box,0x2,"",X,"",0,Damage,36,EC Ray S1,8,1,30,16,400,0,0,180,4,Yellow,1,Magical,0,Poison,0,0x365c98,96,A mage of the Yellow Moon has enchanted a box\nwith the spell Electri. It has several charges.
274,Electrum Box,0x2,"",X,"",0,Damage,37,EC Ray S3,16,1,31,5,1200,0,0,420,4,Yellow,1,Magical,0,Poison,0,0x365cf8,88,A mage of the Yellow Moon has enchanted a box\nwith the spell Electrum. 5 or 6 charges.
275,Sacri Box,0x2,"",X,"",31,Recover HP,1,Single PC,8,1,32,12,800,0,0,500,-1,None,-1,None,0,Poison,0,0x365d50,92,A mage of the Green Moon has enchanted a box\nwith the spell Sacri. It has several charges.
276,Sacrulen Box,0x2,"",X,"",31,Recover HP,2,All PCs,16,1,33,13,1200,0,0,1000,-1,None,-1,None,0,Poison,0,0x365dac,88,A mage of the Green Moon has enchanted a box\nwith the spell Sacrulen. 5 or 6 charges.
277,Riselem Box,0x2,"",X,"",28,Revive w/ HP of 100%,1,Single PC,32,1,34,38,2400,0,0,0,0,Green,0,Physical,7,Revival,0,0x365e04,92,A mage of the Silver Moon has enchanted a box\nwith the spell Riselem. This box is fragile!
278,Sylenis Box,0x2,"",X,"",12,Silence,3,Single EC,12,1,35,47,600,0,0,0,0,Green,0,Physical,5,Silence,30,0x365e60,88,A mage of the Purple Moon has enchanted a box\nwith the spell Sylenis. 7 or 8 charges.
279,Panika Box,0x2,"",X,"",11,Confusion,3,Single EC,24,1,36,28,1200,0,0,0,0,Green,0,Physical,4,Confusion,30,0x365eb8,88,A mage of the Purple Moon has enchanted a box\nwith the spell Panika. 3 or 4 charges.
280,Driln Box,0x2,"",X,"",26,Decr All Attr,3,Single EC,12,1,37,43,600,0,0,0,0,Green,0,Physical,8,Weak,50,0x365f10,84,A mage of the Yellow Moon has enchanted a box\nwith the spell Driln. 7 or 8 charges.
281,Slipara Box,0x2,"",X,"",9,Sleep,4,All ECs,24,1,38,34,1200,0,0,0,0,Green,0,Physical,3,Sleep,50,0x365f64,84,A mage of the Blue Moon has enchanted a box\nwith the spell Slipara. 3 or 4 charges.
282,Eternum Box,0x2,"",X,"",6,Unconscious + Damage A,3,Single EC,32,1,39,39,3600,0,0,250,5,Silver,1,Magical,49,???,0,0x365fb8,92,A mage of the Silver Moon has enchanted a box\nwith the spell Eternum. This box is fragile!
283,Rune of Ill Omen,0x0,"","","",-1,None,0,None,0,100,47,55,1000,0,0,0,0,Green,0,Physical,0,Poison,0,0x366014,56,A valuable treasure sought by Zivilyn Bane in\nPyrynn.
284,Golden Mask,0x0,"","","",-1,None,0,None,0,100,48,50,2000,0,0,0,0,Green,0,Physical,0,Poison,0,0x36604c,56,A valuable treasure sought by Zivilyn Bane in\nRixis.
285,Sky Sardis,0x4,X,"","",31,Recover HP,1,Single PC,100,100,58,40,1,0,0,1,-1,None,-1,None,0,Poison,0,0x366084,96,A common fish at the bottom of the food chain.\nThese fish are eaten by most ocean inhabitants.
286,Red Sardis,0x4,X,"","",31,Recover HP,1,Single PC,100,100,59,0,10,0,0,1,-1,None,-1,None,0,Poison,0,0x3660e4,84,A type of fish that doesn't taste very good\nbut is valued for its firey red scales.
287,Flying Fish,0x4,X,"","",31,Recover HP,1,Single PC,100,100,60,41,2,0,0,1,-1,None,-1,None,0,Poison,0,0x366138,56,Most commonly found near Mid Ocean. Has thick\nbarbed
288,Spiked Sunfish,0x4,X,"","",31,Recover HP,1,Single PC,100,100,61,59,20,0,0,1,-1,None,-1,None,0,Poison,0,0x366170,80,Spiked Sunfish travel in schools\navoid predators. They can be eaten or sold.
289,Abirik Cham,0x4,X,"","",75,Evolve Cupil Now,0,None,100,0,15,67,50000,0,0,-1,-2,???,-1,None,0,Poison,0,0x3661c0,52,If Cupil eats an Abirik Cham\ninto his next form.
290,Chom,0x4,X,"","",76,Reset Cupil,0,None,100,1,16,46,3000,0,0,-1,-2,???,-1,None,0,Poison,0,0x3661f4,76,A contaminated form of Cham. That causes Cupil\nto regurgitate all Chams.
291,Gold Pollen,0x0,"","","",-1,None,0,None,100,100,41,9,5000,0,0,0,0,Green,0,Physical,0,Poison,0,0x366240,84,Pollen from the Kanezl Plants found north of\nNasr. An expensive export of Nasrad.
292,Ilchymix,0x4,X,"","",51,Recover HP & MP by 100% B,2,All PCs,100,100,46,4,400,0,0,10000,-1,None,-1,None,0,Poison,0,0x366294,80,Ilchymis' special mix of herbs\npotion will fully restore the party's HP and MP.
293,Orb of Serenity,0x0,"","","",-1,None,0,None,0,100,54,57,10000,0,0,0,0,Green,0,Physical,0,Poison,0,0x3662e4,56,A valuable treasure sought by Zivilyn Bane in\nSoltis.
294,Kabal Skewer,0x6,X,X,"",48,Recover MP,1,Single PC,100,100,42,33,100,0,0,2,-1,None,-1,None,0,Poison,0,0x36631c,84,A traditional Nasr dish featuring grilled Kabal\nmeat. Restores one ally's MP by 2.
295,Mom's Skewer,0x6,X,X,"",49,Recover MP of 100%,1,Single PC,100,100,43,19,200,0,0,100,-1,None,-1,None,0,Poison,0,0x366370,92,A shishkebab made with only the finest of\ningredients. Completely restores one ally's MP.
