Entry ID,US Entry Name,Pos ID,[Pos Name],Trait ID,[Trait Name],Pad 1,Trait Value,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Pad 2,Pad 3,Pad 4,Ship Eff Base,Unk,Pad 5,Pad 6,Pad 7,Pad 8,[US Descr Pos],[US Descr Size],US Descr Str
0,Lawrence,0,Helmsman,4,Quick,0,30,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369bcc,72,A mercenary-for-hire\nsteep price. He will increase your ship's speed.
1,Don,0,Helmsman,6,Dodge%,0,15,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369c14,76,Having Don in your active crew will increase\nyour ship's ability to dodge.
2,Brabham,1,Engineer,2,Defense,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369c60,72,Having Brabham in your active crew will increase\nyour ship's defense.
3,Hans,1,Engineer,3,MagDef,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369ca8,76,Having Hans in your active crew will increase\nyour ship's magical defense.
4,Belle,2,Gunner,64,Sec Cannon Atk,0,50,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369cf4,92,Having Belle in your active crew will increase\nthe damage done by your Secondary Cannons.
5,Khazim,2,Gunner,48,Main Cannon Atk,0,35,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369d50,88,Having Khazim in your active crew will increase\nthe damage done by your Main Cannons.
6,Tikatika,3,Lookout,81,Torpedo Hit%,0,80,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369da8,84,Having Tikatika in your active crew increases\nyour torpedos' chances of hitting.
7,Domingo,3,Lookout,-1,None,0,0,112,Incr Critical%,6,0,0,0,0,0,0,0,0,0,0,0x369dfc,88,Having Domingo in your active crew increases\nyour chances of delivering critical hits.
8,Osman,4,Merchant,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369e54,88,Having Osman in your active crew will increase\nyou chance of finding expensive items.
9,Kalifa,4,Merchant,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369eac,88,Having Kalifa in your active crew will increase\nyour chance of finding special items.
10,Izmael,5,Builder,96,Special Attack,0,100,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x369f04,100,Having Izmael in your active crew will increase\nthe destructive power of your Moon Stone Cannon.
11,Kirala,5,Builder,-1,None,0,0,101,Recover HP by 100%,7,0,0,0,0,0,1,0,0,0,0,0x369f68,44,Using the Crew Command\nship's HP to full.
12,Polly,6,Cook,-1,None,0,0,117,Recover MP,6,-1,0,0,0,10,130,0,0,0,0,0x369f94,40,Using the Crew Command\ncharacter's MP.
13,Urala,6,Cook,-1,None,0,0,103,Recover SP by 100%,15,-1,0,0,0,0,9,0,0,0,0,0x369fbc,44,Using the Crew Command\nyour Spirit Points.
14,Ryu-kan,7,Artisan,-1,None,0,0,105,Incr Attack + Defense,15,4,0,0,0,0,0,0,0,0,0,0x369fe8,68,Using the Crew Command\nship's attack and defense for a short time.
15,Ilchymis,7,Artisan,-1,None,0,0,108,Incr All Attr,8,8,0,0,0,50,0,0,0,0,0,0x36a02c,72,Using the Crew Command\nship's attributes for a short period of time.
16,Marco,8,Sailor,-1,None,0,0,114,Recover SP by 200%,8,-1,0,0,0,0,0,0,0,0,0,0x36a074,56,Using the Crew Command\nyour Spirit Points for one turn.
17,Robinson,8,Sailor,-1,None,0,0,113,Consume SP by 50%,8,0,0,0,0,0,0,0,0,0,0,0x36a0ac,68,Using the Crew Command\nSpirit Points cost for actions for a turn.
18,Pow,9,Jester,-1,None,0,0,111,Incr First Strike%,4,0,0,0,0,0,0,0,0,0,0,0x36a0f0,68,Using the Crew Command\nchances of attacking first for a full turn.
19,Merida,9,Jester,7,Value,0,10000,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x36a134,68,Having Merida in your active crew will increase\nyour ship's value.
20,Moegi,10,Delegate,-1,None,0,0,110,Block Magic,10,0,0,0,0,0,0,0,0,0,0,0x36a178,64,Using the Crew Command\nship from enemy magic for a full turn.
21,Pinta,10,Delegate,-1,None,0,0,109,Block Attack,10,0,0,0,0,0,0,0,0,0,0,0x36a1b8,68,Using the Crew Command\nship from enemy cannon fire for a full turn.
