Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Pos. ID,[Pos. name],Pad. #0,Feat. ID,[Feat. name],Pad. #1,Feat. value,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Pad. #2,Pad. #3,Pad. #4,Ship effect amount,Unk.,Pad. #5,Pad. #6,Pad. #7,Pad. #8,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
0,0x8c3463b4,0x1ba76,9,Lawrence,0x1ba43,9,Lawrence,0x1bd1a,9,Lawrence,0x1b51f,9,Lawrence,0,Helmsman,0,4,Quick,0,30,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18e5d,94,"Ein Söldner, der zu einem hohen Preis die Lüfte\\nbefährt. Mit ihm wird dein Schiff schneller.",0x18c0e,84,Mercenario a sueldo que navega a  precio alto.\\nAumentará la Velocidad de tu navío.,0x18ebf,92,Mercenaire naviguant au service du plus offrant.\\nIl accélèrera la vitesse de votre navire.,0x18955,97,"A mercenary-for-hire, he sails the skies for a\\nsteep price. He will increase your ship's Quick."
1,0x8c3463c0,0x1ba7f,4,Don,0x1ba4c,4,Don,0x1bd23,4,Don,0x1b528,4,Don,0,Helmsman,0,6,Dodge%,0,15,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18ebb,78,"Hast du Don in deiner aktiven Mannschaft, kann\\ndas Schiff besser ausweichen.",0x18c62,97,"Si tienes a Don como miembro de tu tripulación,\\naumentará la capacidad de Esquivar de tu navío.",0x18f1b,85,Recruter Don dans votre équipage augmentera\\nles chances desquives de votre navire.,0x189b6,66,Having Don in your active crew will increase\\nyour ship's Dodge%.
2,0x8c3463c4,0x1ba83,8,Brabham,0x1ba50,8,Brabham,0x1bd27,8,Brabham,0x1b52c,8,Brabham,1,Engineer,0,2,Defense,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18f09,88,Brabham in deiner aktiven Mannschaft erhöht\\ndie Verteidigungsfähigkeit deines Schiffs.,0x18cc3,74,"Si tienes a Brabham en tu tripulación,\\naumentará la Defensa de tu navío.",0x18f70,86,Enrôler Brabham comme membre de votre équipage\\naccroîtra la défense de votre navire.,0x189f8,71,Having Brabham in your active crew will increase\\nyour ship's Defense.
3,0x8c3463cc,0x1ba8b,5,Hans,0x1ba58,5,Hans,0x1bd2f,5,Hans,0x1b534,5,Hans,1,Engineer,0,3,MagDef,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18f61,92,"Wenn Hans in deiner aktiven Mannschaft ist,\\nist die magische Abwehr deines Schiffs besser.",0x18d0d,78,"Si tienes a Hans en tu tripulación,\\naumentará la Defensa Mágica de tu navío.",0x18fc6,92,Enrôler Hans comme membre de votre équipage\\nrenforcera la défense magique de votre navire.,0x18a3f,74,Having Hans in your active crew will increase\\nyour ship's Magic Defense.
4,0x8c3463d4,0x1ba90,6,Belle,0x1ba5d,6,Belle,0x1bd34,6,Belle,0x1b539,6,Belle,2,Gunner,0,64,Secondary cannon attack,0,50,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18fbd,90,Mit Belle in deiner aktiven Mannschaft ist\\nder Schaden durch deine Zusatzkanonen größer.,0x18d5b,96,"Si tienes a Belle en tu tripulación, aumentará\\nel deterioro hecho por tus Cañones Secundarios.",0x19022,90,Avoir Belle comme membre de votre équipage\\naugmentera les dégâts des canons secondaires.,0x18a89,91,Having Belle in your active crew will increase\\nthe damage done by your Secondary Cannons.
5,0x8c3463dc,0x1ba96,7,Khazim,0x1ba63,7,Khazim,0x1bd3a,7,Khazim,0x1b53f,7,Khazim,2,Gunner,0,48,Main cannon attack,0,35,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x19017,82,Khazim in deiner aktiven Mannschaft erhöht\\nden Schaden durch deine Hauptkanonen.,0x18dbb,89,"Con Khazim en tu tripulación, aumentará el\\ndeterioro hecho por tus Cañones Principales.",0x1907c,81,Engager Khazim dans votre équipage\\naugmentera les dégâts des canons principaux.,0x18ae4,87,Having Khazim in your active crew will increase\\nthe damage done by your Main Cannons.
6,0x8c3463e4,0x1ba9d,9,Tikatika,0x1ba6a,9,Tikatika,0x1bd41,9,Tikatika,0x1b546,9,Tikatika,3,Lookout,0,81,Torpedo hit%,0,80,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x19069,84,Mit Tikatika in deiner aktiven Mannschaft\\nsteigt die Trefferquote deiner Torpedos.,0x18e14,80,"Con Tikatika en tu tripulación, aumentará\\nla tasa de Aciertos de tus torpedos.",0x190cd,96,Avoir Tikatika dans votre équipage permet à vos\\ntorpilles de toucher plus souvent votre cible.,0x18b3b,69,Having Tikatika in your active crew increases\\nyour torpedoes' Hit%.
7,0x8c3463f0,0x1baa6,8,Domingo,0x1ba73,8,Domingo,0x1bd4a,8,Domingo,0x1b54f,8,Domingo,3,Lookout,0,-1,None,0,0,112,Improve Critical% (Ship),6,0,0,0,0,0,0,0,0,0,0,0x190bd,82,Domingo in deiner aktiven Mannschaft\\nerhöht deine Chancen auf kritische Treffer.,0x18e64,80,"Si tienes a Domingo en tu tripulación,\\naumentará tu tasa de Aciertos Críticos.",0x1912d,87,Avoir Domingo dans votre équipage augmente\\nvos chances de donner des Coups critiques.,0x18b80,88,Having Domingo in your active crew increases\\nyour chances of delivering critical hits.
8,0x8c3463f8,0x1baae,6,Osman,0x1ba7b,6,Osman,0x1bd52,6,Osman,0x1b557,6,Osman,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1910f,78,Mit Osman in deiner aktiven Mannschaft\\nfindest du eher kostbare Gegenstände.,0x18eb4,95,"Si tienes a Osman en tu tripulación, aumentará\\ntu probabilidad de encontrar objetos valiosos.",0x19184,91,Enroler Osman dans votre équipage augmentera\\nvos chances de trouver des objets de valeur.,0x18bd8,88,Having Osman in your active crew will increase\\nyour chance of finding expensive items.
9,0x8c346400,0x1bab4,7,Kalifa,0x1ba81,7,Kalifa,0x1bd58,7,Kalifa,0x1b55d,7,Kalifa,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1915d,74,Mit Kalifa in deiner aktiven Mannschaft\\nfindest du eher spezielle Items.,0x18f13,98,"Si tienes a Kalifa en tu tripulacion, aumentara\\ntu probabilidad de encontrar objetos especiales.",0x191df,69,Engager Kalifa augmente vos chances\\nde trouver des objets spéciaux.,0x18c30,87,Having Kalifa in your active crew will increase\\nyour chance of finding special items.
