Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Ship flags,Pad. #0,[Little Jack #1],[Little Jack #2],[Delphinus #1],[Delphinus #2],[Delphinus #3],[借ジャンク船],Feat. #0 ID,[Feat. #0 name],Pad. #1,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #2,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #3,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #4,Feat. #3 value,Pad. #5,Pad. #6,Purchase price,Pad. #7,Pad. #8,Retail price in %,Order by prio.,EU order by ABC,Pad. #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
440,2352242632,112405,12,Rogue Figur,112225,13,Figura Rogue,112987,17,Fanion du Voleur,111016,13,Rogue Figure,62,0,X,X,X,X,X,"",3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,800,0,0,50,0,25,0,93257,85,"Schädel mit gekreuzten Schwertern, Symbol\nder Luftpiraten. Erhöht Magic Resistance.",92908,88,Esta calavera es el símbolo de los Piratas\nAéreos y aumenta la Resistencia a la Magia.,93364,90,"Crâne et épées croisées, symbole des pirates\nde l'Air. Accroît la résistance à la Magie.",92311,95,"A menacing skull with crossed swords, the symbol\nof the Air Pirates. Increases Magic Defense."
441,2352242648,112417,11,Pryn Figur,112238,12,Figura Pryn,113004,13,Symbole Pryn,111029,12,Pryn Figure,62,0,X,X,X,X,X,"",3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2400,0,0,50,1,22,0,93342,92,Stellt einen mystischen roten Vogel dar und ist\nmit roten Federn. Erhöht Magic Resistance.,92996,91,Representa un pájaro místico de bello plumaje\nrojo que aumenta la Resistencia a la Magia.,93454,91,"Représente un oiseau mystique, décoré de plumes\nrouges. Accroît la résistance à la Magie.",92406,94,"Crafted after a mystical red bird, and decorated\nwith red feathers. Increases Magic Defense."
442,2352242660,112428,13,Pyrynn Figur,112250,14,Figura Pyrynn,113017,15,Symbole Pyrynn,111041,14,Pyrynn Figure,62,0,X,X,X,X,X,"",3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4400,0,0,50,2,23,0,93434,83,"Skulptur, die den mystischen Hüter von Pyrynn\ndarstellt. Erhöht Magic Resistance.",93087,76,Basada en el mítico guardián de Pyrynn.\nAumenta la Resistencia a la Magia.,93545,91,Une sculpture fondée sur le gardien mythique de\nPyrynn. Accroît la résistance à la Magie.,92500,80,A sculpture based on the mythical guardian of\nPyrynn. Increases Magic Defense.
443,2352242676,112441,12,Urwal Figur,112264,15,Figura Ballena,113032,16,Symbole Rhaknam,111055,16,Arcwhale Figure,62,0,X,X,X,X,X,"",3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4640,0,0,50,3,4,0,93517,68,"Skulptur eines Urwals, des Himmelshüters. Erhöht\nMagic Resistance.",93163,81,Representa a una ballena guardiana del\ncielo. Mejora la Resistencia a la Magia.,93636,94,"Une sculpture de la baleine légendaire, gardien\ndes cieux. Accroît la Résistance à la Magie.",92580,81,"A sculpture of an arcwhale, the guardian of the\nskies. Increases Magic Defense."
444,2352242692,112453,13,Quetya Figur,112279,14,Figura Quetya,113048,15,Symbole Quetya,111071,14,Quetya Figure,62,0,X,X,X,X,X,"",3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4880,0,0,50,4,24,0,93585,94,"Skulptur einer Quetya, Gottheit der Ixa'takan.\nIhre göttliche Kraft erhöht Magic Resistance.",93244,89,"Figura de un Quetya, deidad de Ixa'taka, sus\npoderes mejoran la Resistencia a la Magia.",93730,97,"Sculpture d'un Quetya, une Déité Ixa'takan. Son\npouvoir divin accroît la résistance à la Magie.",92661,88,"A sculpture of a Quetya, an Ixa'takan Deity.\nIts divine power increases Magic Defense."
445,2352242708,112466,12,Riesenfigur,112293,15,Figura Gigante,113063,17,Symbole du Géant,111085,13,Giant Figure,62,0,X,X,X,X,X,"",3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5120,0,0,50,5,16,0,93679,57,Skulptur in Form eines Riesen.\nErhöht Magic Resistance.,93333,70,Una escultura en forma de gigante.\nMejora la Resistencia a la Magia.,93827,64,Sculpture en forme de géant.\nAccroît la Résistance à la Magie.,92749,62,A sculpture in the form of a giant.\nIncreases Magic Defense.
446,2352242724,112478,14,Bluheim Figur,112308,15,Figura Bluheim,113080,16,Symbole Bluheim,111098,15,Bluheim Figure,62,0,X,X,X,X,X,"",3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5360,0,0,50,6,6,0,93736,73,"Skulptur von Bluheim, dem Gigas von Yafutoman.\nErhöht Magic Resistance.",93403,74,"Figura de Bluheim, el Gigas Yafutoman.\nMejora la Resistencia a la Magia.",93891,77,"Sculpture de Bluheim, le Gigas Yafutoman.\nAccroît la Résistance à la Magie.",92811,71,"A sculpture of Bluheim, the Yafutoman Gigas.\nIncreases Magic Defense."
447,2352242740,112492,15,Göttinnenfigur,112323,16,Figura de Diosa,113096,15,Symbole Déesse,111113,15,Goddess Figure,62,0,X,X,X,X,X,"",3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6800,0,0,50,7,17,0,93809,83,"Skulptur der Göttin der Liebe, des Mutes und des\nSieges. Erhöht Magic Resistance.",93477,89,"Figura de la diosa del amor, el coraje y la\nvictoria. Mejora la Resistencia a la Magia.",93968,97,"Statue de la déesse de l'amour, du courage, et\nde la victoire. Accroît la Résistance à la Magie",92882,84,"A sculpture of the goddess of love, courage,\nand victory. Increases Magic Defense."
448,2352242756,112507,11,Vyse Figur,112339,12,Figura Vyse,113111,16,Symbole de Vyse,111128,12,Vyse Figure,62,0,X,X,X,X,X,"",3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8800,0,0,50,8,37,0,93892,55,Schamlose Skulptur von Vyse.\nErhöht Magic Resistance.,93566,73,Descarada copia de la imagen de Vyse.\nMejora la Resistencia a la Magia.,94065,64,Sculpture indécente de Vyse.\nAccroît la Résistance à la Magie.,92966,58,A shameless sculpture of Vyse. \nIncreases Magic Defense.
449,2352242768,112518,11,Kugelfigur,112351,16,Figura Esférica,113127,15,Symbole Sphère,111140,17,Spherical Figure,62,0,X,X,X,X,X,"",3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,13500,0,0,50,9,30,0,93947,42,Glühende Kugel.\nErhöht Magic Resistance.,93639,56,Esfera brillante que mejora\nla Resistencia a la Magia.,94129,57,Une sphère brillante.\nAccroît la Résistance à la Magie.,93024,44,A glowing sphere.\nIncreases Magic Defense.
