Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. ID,[Chara. name],Retail price in %,Order by prio.,EU order by ABC,Effect ID,[Effect name],Pad. #0,Purchase price,Attack,Hit%,Feat. ID,[Feat. name],Pad. #1,Feat. value,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
0,2352236420,105588,8,Machete,105112,6,Sable,105944,6,Sabre,104260,8,Cutlass,0,Vyse,50,0,21,-1,None,0,70,20,90,-1,None,0,0,63185,93,Vyse erhielt diese Machete von seinem Vater\nDyne. Sie hat eine kurze Klinge und ist leicht.,62999,85,"Vyse recibió estos sables como regalo de su\npadre, Dyne. La hoja es corta y ligera.",63126,95,"Vyse a reçu ces épées en cadeau de son père,\nDyne. Elles sont légères avec des lames courtes.",62545,94,"Vyse received these swords as a gift from his\nfather, Dyne. It is light, with a short blade."
1,2352236428,105596,15,Piratenmachete,105118,17,Sable del Pirata,105950,16,Sabre de Pirate,104268,15,Pirate Cutlass,0,Vyse,50,1,48,-1,None,0,220,33,90,-1,None,0,0,63278,91,Bevorzugtes Schwert der Luftpiraten im Mid\nOcean. Es ist leicht und einfach zu handhaben.,63084,88,El sable preferido por los piratas aéreos del\nOcéano Medio. Ligero y fácil de manejar.,63221,79,Épée préférée des Pirates de\nl'Océan Central. Légère et très facile à manier.,62639,97,The favorite sword among Air Pirates in the Mid\nOcean area. It is light and very easy to wield.
2,2352236444,105611,15,Himmelsmachete,105135,14,Sable Celeste,105966,11,Sabre Ciel,104283,12,Sky Cutlass,0,Vyse,50,2,54,-1,None,0,450,45,90,-1,None,0,0,63369,96,"Machete, die von Pirates und Fischern benutzt\nwird. Sie eignet sich perfekt zum Fischesäubern.",63172,87,Tanto piratas como pescadores usan este sable.\nLa hoja es ideal para limpiar pescado.,63300,95,Sabre utilisé par les Pirates et les pêcheurs.\nSa lame est parfaite pour nettoyer le poisson.,62736,87,A cutlass used by Pirates and fishermen alike.\nIts edge is perfect for cleaning fish.
3,2352236456,105626,16,Admiralsmachete,105149,16,Sable Almirante,105977,15,Sabre d'Amiral,104295,16,Admiral Cutlass,0,Vyse,50,9,0,-1,None,0,4970,128,90,-1,None,0,0,63465,99,"Altes Schwert, das einmal einem valuanischen Ad-\nmiral gehörte, der in Esparanza stationiert war.",63259,87,Un viejo sable que antaño perteneció a un\nalmirante de Valua que estuvo en Esperanza.,63395,90,Vieille épée qui appartenait jadis à un Amiral\nValuan lorsqu'il était posté à Esparanza.,62823,89,An old sword that once belonged to a Valuan\nAdmiral when he was stationed in Esparanza.
4,2352236472,105642,13,Mörderklinge,105165,15,Espada Asesina,105992,16,Épée d'Assassin,104311,15,Assassin Blade,0,Vyse,50,3,2,0,Add Poison,0,830,58,90,-1,None,0,0,63564,81,"In aller Welt beliebte Mordwaffe, durch deren\nSchnitt das Opfer vergiftet wird.",63346,90,"Favorita de los asesinos de todo el mundo,\nsobre todo porque envenena todo lo que corta.",63485,81,"Épée préférée des assassins du monde entier,\npour son pouvoir d'empoisonnement.",62912,95,"A favorite among assassins of the world, mainly\nbecause it has a chance to poison its target."
5,2352236488,105655,14,Donnermachete,105180,17,Sable del Trueno,106008,15,Sabre Tonnerre,104326,16,Thunder Cutlass,0,Vyse,50,13,64,-1,None,0,8610,160,90,36,Yellow,0,-2,63645,84,"Alte Machete aus gehärteter Yeligar-Haut.\nMan sagt, sie könne Blitze zerschneiden.",63436,83,Un sable antiguo hecho con la curtida piel de\nYeligar. Dicen que corta los rayos.,63566,93,Un sabre ancien fabriqué en peau durcie de\nYeligar. On raconte qu'il peut fendre un éclair.,63007,94,An ancient cutlass made from Yeligar's hardened\nskin. Some say it can cut through lightning.
6,2352236504,105669,14,Eisenschneide,105197,12,Cortafierro,106023,15,Coupeur de Fer,104342,12,Iron-cutter,0,Vyse,50,7,40,-1,None,0,3870,112,90,-1,None,0,0,63729,94,Alte Klinge aus der Zeit vor der Alten Welt.\nAngeblich zum Schneiden von Eisenerz verwendet.,63519,85,Una espada anterior al Mundo Antiguo\nque antaño se utilizaba para cortar el hierro.,63659,97,"Ancienne épée datant d'avant l'Ancien Monde, on\ndit qu'elle servait à couper le minerai de fer.",63101,95,"An ancient blade of pre-Old World times, it is\nsaid that this blade was used to cut iron ore."
7,2352236516,105683,13,Nasr-Machete,105209,11,Sable Nasr,106038,14,Sabre de Nasr,104354,13,Nasr Cutlass,0,Vyse,50,4,46,-1,None,0,1340,70,90,-1,None,0,0,63823,90,"Machete, die von Karawanenhändlern benutzt\nwird, die Klinge besteht aus gehauenem Stein.",63604,84,Los mercaderes del desierto lo usan para\ndefenderse. La hoja es de piedra tallada.,63756,93,Un sabre utilisé par les marchands du désert\npour se défendre; lame taillée dans la pierre.,63196,95,"A cutlass used by desert-faring merchants for\nself-defense, its blade is finely worked stone."
8,2352236532,105696,15,Daccatsschwert,105220,17,Espada de Daccat,106052,15,Épée de Daccat,104367,16,Sword of Daccat,0,Vyse,50,8,62,1,Add Sleep #1,0,4690,120,90,-1,None,0,0,63913,73,Das Schwert des großen Luftpiraten Daccat.\nEs kann Feinde einschläfern.,63688,87,La espada del gran pirata aéreo Daccat sirve\npara adormecer al enemigo completamente.,63849,68,L'épée du grand Pirate Daccat a le\npouvoir d'endormir les ennemis.,63291,86,"The sword of the great Air Pirate Daccat, it has\nthe power to lull enemies to sleep."
9,2352236548,105711,11,Jagdmesser,105237,16,Espada Cazadora,106067,15,Lame de Chasse,104383,15,Hunter's Sword,0,Vyse,50,5,35,-1,None,0,2280,87,90,-1,None,0,0,63986,95,"Ein Jagdmesser, das an die Hauer eines wilden\nTieres erinnert, bei Ixa'taka-Kriegern beliebt.",63775,93,Un arma de caza que imita la dentadura de un\nanimal. Preferida por los guerreros Ixa'takan.,63917,86,Lame de chasse conçue comme un croc d'animal.\nÉpée préférée des guerriers Ixa'takan.,63377,92,A hunting blade fashioned to resemble a beast's\nfang. A favorite among Ixa'takan warriors.
