Entry ID,[Filter],[Enemy ship ID],[Enemy ship name],Unk.,Task rating,Task A type ID,[Task A type name],Task A arm. ID,[Task A arm. name],Task A param. ID,[Task A param. name],Task A arm. range,Task B type ID,[Task B type name],Task B arm. ID,[Task B arm. name],Task B param. ID,[Task B param. name],Task B arm. range
0,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
1,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
2,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
3,R500A.BIN,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
4,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
5,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
6,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
7,R500A.BIN,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
8,R500A.BIN,23,Blackbeard,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Black Cannon,-1,None,0
9,R500A.BIN,23,Blackbeard,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Black Cannon,-1,None,0
10,R500A.BIN,23,Blackbeard,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Black Cannon,-1,None,0
11,R500A.BIN,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
12,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
13,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
14,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
15,R500A.BIN,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
16,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
17,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
18,R500A.BIN,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
19,R500A.BIN,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
0,R501A.BIN,2,Valuan Cruiser,3,50,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
1,R501A.BIN,2,Valuan Cruiser,-1,0,0,Attack,1,Subcannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
2,R501A.BIN,2,Valuan Cruiser,-1,0,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,0,Standard Cannon,-1,None,0
3,R501A.BIN,2,Valuan Cruiser,0,0,0,Attack,0,Standard Cannon,0,None,0,0,Attack,0,Standard Cannon,0,None,0
4,R501A.BIN,2,Valuan Cruiser,3,50,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
5,R501A.BIN,2,Valuan Cruiser,-1,0,0,Attack,1,Subcannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
6,R501A.BIN,2,Valuan Cruiser,-1,0,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,0,Standard Cannon,-1,None,0
7,R501A.BIN,2,Valuan Cruiser,0,0,0,Attack,0,Standard Cannon,0,None,0,0,Attack,0,Standard Cannon,0,None,0
0,R503A.BIN,21,Black Pirates,3,20,2,Focus,-1,None,0,Focus,0,0,Attack,0,Black Cannon,-1,None,0
1,R503A.BIN,21,Black Pirates,3,20,0,Attack,1,Black Torpedo,-1,None,2,0,Attack,1,Black Torpedo,-1,None,2
2,R503A.BIN,21,Black Pirates,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
3,R503A.BIN,21,Black Pirates,0,50,3,Guard,-1,None,0,Evasive Action,0,0,Attack,0,Black Cannon,-1,None,0
4,R503A.BIN,21,Black Pirates,3,40,0,Attack,1,Black Torpedo,-1,None,2,0,Attack,0,Black Cannon,-1,None,0
5,R503A.BIN,21,Black Pirates,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
6,R503A.BIN,21,Black Pirates,1,95,0,Attack,0,Black Cannon,-1,None,0,3,Guard,-1,None,0,Evasive Action,0
7,R503A.BIN,21,Black Pirates,-1,0,3,Guard,-1,None,0,Evasive Action,0,3,Guard,-1,None,0,Evasive Action,0
8,R503A.BIN,21,Black Pirates,3,70,0,Attack,1,Black Torpedo,-1,None,1,0,Attack,1,Black Torpedo,-1,None,1
9,R503A.BIN,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
10,R503A.BIN,21,Black Pirates,30,20,3,Guard,-1,None,0,Evasive Action,0,0,Attack,0,Black Cannon,-1,None,0
11,R503A.BIN,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
12,R503A.BIN,21,Black Pirates,3,80,0,Attack,1,Black Torpedo,-1,None,2,2,Focus,-1,None,0,Focus,0
13,R503A.BIN,21,Black Pirates,3,50,3,Guard,-1,None,0,Evasive Action,0,2,Focus,-1,None,0,Focus,0
14,R503A.BIN,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
15,R503A.BIN,21,Black Pirates,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
16,R503A.BIN,21,Black Pirates,3,30,2,Focus,-1,None,0,Focus,0,0,Attack,1,Black Torpedo,-1,None,2
17,R503A.BIN,21,Black Pirates,3,50,2,Focus,-1,None,0,Focus,0,0,Attack,0,Black Cannon,-1,None,0
18,R503A.BIN,21,Black Pirates,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,4,Nothing,-1,None,0,Awaiting Orders,0
19,R503A.BIN,21,Black Pirates,3,80,0,Attack,0,Black Cannon,-1,None,0,3,Guard,-1,None,0,Evasive Action,0
20,R503A.BIN,21,Black Pirates,3,20,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Black Torpedo,-1,None,3
21,R503A.BIN,21,Black Pirates,3,90,0,Attack,0,Black Cannon,-1,None,0,2,Focus,-1,None,0,Focus,0
22,R503A.BIN,21,Black Pirates,3,30,4,Nothing,-1,None,0,Awaiting Orders,0,0,Attack,0,Black Cannon,-1,None,0
23,R503A.BIN,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
24,R503A.BIN,21,Black Pirates,3,20,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
25,R503A.BIN,21,Black Pirates,3,50,2,Focus,-1,None,0,Focus,0,4,Nothing,-1,None,0,Awaiting Orders,0
26,R503A.BIN,21,Black Pirates,-1,0,0,Attack,1,Black Torpedo,-1,None,3,0,Attack,2,-,-1,None,3
27,R503A.BIN,21,Black Pirates,1,80,0,Attack,0,Black Cannon,-1,None,0,2,Focus,-1,None,0,Focus,0
28,R503A.BIN,21,Black Pirates,3,20,2,Focus,-1,None,0,Focus,0,0,Attack,0,Black Cannon,-1,None,0
29,R503A.BIN,21,Black Pirates,-1,0,0,Attack,1,Black Torpedo,-1,None,3,0,Attack,1,Black Torpedo,-1,None,3
30,R503A.BIN,21,Black Pirates,1,50,0,Attack,0,Black Cannon,-1,None,0,4,Nothing,-1,None,0,Awaiting Orders,0
31,R503A.BIN,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
0,R506A.BIN,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
1,R506A.BIN,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
2,R506A.BIN,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
3,R506A.BIN,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
4,R506A.BIN,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
5,R506A.BIN,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
6,R506A.BIN,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
7,R506A.BIN,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
8,R506A.BIN,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
9,R506A.BIN,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
10,R506A.BIN,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
11,R506A.BIN,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
12,R506A.BIN,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
13,R506A.BIN,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
14,R506A.BIN,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
15,R506A.BIN,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
16,R506A.BIN,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
17,R506A.BIN,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
18,R506A.BIN,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
19,R506A.BIN,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
