Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[DE arm. #0 name pos.],[DE arm. #0 name size],DE arm. #0 name str.,[ES arm. #0 name pos.],[ES arm. #0 name size],ES arm. #0 name str.,[FR arm. #0 name pos.],[FR arm. #0 name size],FR arm. #0 name str.,[GB arm. #0 name pos.],[GB arm. #0 name size],GB arm. #0 name str.,Arm. #0 type ID,[Arm. #0 type name],Arm. #0 attack,Arm. #0 range,Arm. #0 hit%,Arm. #0 element ID,[Arm. #0 element name],[DE arm. #1 name pos.],[DE arm. #1 name size],DE arm. #1 name str.,[ES arm. #1 name pos.],[ES arm. #1 name size],ES arm. #1 name str.,[FR arm. #1 name pos.],[FR arm. #1 name size],FR arm. #1 name str.,[GB arm. #1 name pos.],[GB arm. #1 name size],GB arm. #1 name str.,Arm. #1 type ID,[Arm. #1 type name],Arm. #1 attack,Arm. #1 range,Arm. #1 hit%,Arm. #1 element ID,[Arm. #1 element name],[DE arm. #2 name pos.],[DE arm. #2 name size],DE arm. #2 name str.,[ES arm. #2 name pos.],[ES arm. #2 name size],ES arm. #2 name str.,[FR arm. #2 name pos.],[FR arm. #2 name size],FR arm. #2 name str.,[GB arm. #2 name pos.],[GB arm. #2 name size],GB arm. #2 name str.,Arm. #2 type ID,[Arm. #2 type name],Arm. #2 attack,Arm. #2 range,Arm. #2 hit%,Arm. #2 element ID,[Arm. #2 element name],[DE arm. #3 name pos.],[DE arm. #3 name size],DE arm. #3 name str.,[ES arm. #3 name pos.],[ES arm. #3 name size],ES arm. #3 name str.,[FR arm. #3 name pos.],[FR arm. #3 name size],FR arm. #3 name str.,[GB arm. #3 name pos.],[GB arm. #3 name size],GB arm. #3 name str.,Arm. #3 type ID,[Arm. #3 type name],Arm. #3 attack,Arm. #3 range,Arm. #3 hit%,Arm. #3 element ID,[Arm. #3 element name],Pad. #0,Pad. #1,Pad. #2,Pad. #3,Pad. #4,Pad. #5,EXP,Gold,Item drop #0 ID,[Item drop #0 name],Item #0 ID,[Item #0 name],Item drop #1 ID,[Item drop #1 name],Item #1 ID,[Item #1 name],Item drop #2 ID,[Item drop #2 name],Item #2 ID,[Item #2 name]
0,2352241488,111413,15,Valuan Warship,111230,15,Valuan Warship,112001,15,Valuan Warship,110016,15,Valuan Warship,12000,20,40,20,70,5,15,10,10,10,10,7,10,113420,14,Kleine Kanone,113369,14,Cañón Pequeño,114096,12,Petit Canon,112053,13,Small Cannon,0,Main cannon,120,0,85,6,Neutral,113434,16,Leichte Hilfsk.,113383,16,Subcañón Ligero,114108,15,Subcanon Léger,112066,16,Light Subcannon,1,Secondary cannon,95,1,80,6,Neutral,113450,2,-,113399,2,-,114123,2,-,112082,2,-,-1,None,-1,-1,-1,-1,None,113452,2,-,113401,2,-,114125,2,-,112084,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,401,Standard Cannon,-1,None,-1,None
1,2352241504,111428,17,Valuan Spellship,111245,17,Valuan Spellship,112016,17,Valuan Spellship,110031,17,Valuan Spellship,12000,70,40,45,70,7,10,10,9,10,10,8,10,113454,14,Kleine Kanone,113403,14,Cañón Pequeño,114127,12,Petit Canon,112086,13,Small Cannon,0,Main cannon,120,0,80,6,Neutral,113468,16,Leichte Hilfsk.,113417,16,Subcañón Ligero,114139,15,Subcanon Léger,112099,16,Light Subcannon,1,Secondary cannon,95,1,85,6,Neutral,113484,2,-,113433,2,-,114154,2,-,112115,2,-,-1,None,-1,-1,-1,-1,None,113486,2,-,113435,2,-,114156,2,-,112117,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,489,Wave Bomb,-1,None,-1,None
2,2352241524,111445,15,Valuan Cruiser,111262,15,Valuan Cruiser,112033,15,Valuan Cruiser,110048,15,Valuan Cruiser,10000,30,35,15,30,5,10,10,10,10,10,7,10,113488,15,Standardkanone,113437,15,Cañón Estándar,114158,15,Canon Standard,112119,16,Standard Cannon,0,Main cannon,110,0,80,6,Neutral,113503,12,Hilfskanone,113452,9,Subcañón,114173,9,Subcanon,112135,10,Subcannon,1,Secondary cannon,90,2,90,6,Neutral,113515,2,-,113461,2,-,114182,2,-,112145,2,-,-1,None,-1,-1,-1,-1,None,113517,2,-,113463,2,-,114184,2,-,112147,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,690,500,0,100%,490,Repair Kit,-1,None,-1,None,-1,None,-1,None
3,2352241540,111460,15,Valuan Phantom,111277,15,Valuan Phantom,112048,15,Valuan Phantom,110063,15,Valuan Phantom,10000,120,33,130,50,8,15,10,5,10,10,5,10,113519,15,Standardkanone,113465,15,Cañón Estándar,114186,15,Canon Standard,112149,16,Standard Cannon,0,Main cannon,110,0,80,6,Neutral,113534,12,Hilfskanone,113480,9,Subcañón,114201,9,Subcanon,112165,10,Subcannon,1,Secondary cannon,90,2,90,6,Neutral,113546,2,-,113489,2,-,114210,2,-,112175,2,-,-1,None,-1,-1,-1,-1,None,113548,2,-,113491,2,-,114212,2,-,112177,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,640,400,4,50%,481,Big Bomb,3,20%,485,Frost Bomb,-1,None,-1,None
4,2352241556,111475,15,Valuan Gunboat,111292,15,Valuan Gunboat,112063,15,Valuan Gunboat,110078,15,Valuan Gunboat,15000,100,100,170,70,14,10,10,5,9,10,5,10,113550,13,Große Kanone,113493,13,Cañón Grande,114214,12,Canon lourd,112179,13,Large Cannon,0,Main cannon,150,0,70,6,Neutral,113563,14,Schw. Hilfsk.,113506,16,Subcañón Pesado,114226,15,Subcanon Lourd,112192,16,Heavy Subcannon,1,Secondary cannon,120,2,85,6,Neutral,113577,8,Torpedo,113522,8,Torpedo,114241,9,Torpille,112208,8,Torpedo,2,Torpedo,180,2,40,6,Neutral,113585,2,-,113530,2,-,114250,2,-,112216,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1220,600,3,20%,483,Shredder Bomb,3,20%,491,Deluxe Kit,-1,None,-1,None
5,2352241572,111490,17,Valuan Mage Ship,111307,17,Valuan Mage Ship,112078,17,Valuan Mage Ship,110093,17,Valuan Mage Ship,15000,150,100,250,70,14,20,10,5,5,10,3,10,113587,13,Große Kanone,113532,13,Cañón Grande,114252,12,Canon lourd,112218,13,Large Cannon,0,Main cannon,140,0,70,6,Neutral,113600,14,Schw. Hilfsk.,113545,16,Subcañón Pesado,114264,15,Subcanon lourd,112231,16,Heavy Subcannon,1,Secondary cannon,120,2,85,6,Neutral,113614,8,Torpedo,113561,8,Torpedo,114279,9,Torpille,112247,8,Torpedo,2,Torpedo,160,2,40,6,Neutral,113622,2,-,113569,2,-,114288,2,-,112255,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1110,600,0,100%,485,Frost Bomb,0,100%,487,Thunder Bomb,-1,None,-1,None
6,2352241592,111507,17,Valuan Destroyer,111324,17,Valuan Destroyer,112095,17,Valuan Destroyer,110110,17,Valuan Destroyer,38000,120,200,250,115,30,10,8,8,8,8,4,10,113624,17,Kanonen-Prototyp,113571,16,Cañón Prototipo,114290,16,Canon Prototype,112257,17,Prototype Cannon,0,Main cannon,250,0,80,6,Neutral,113641,16,Gr. Hilfskanone,113587,14,Gran Subcañón,114306,15,Grand Subcanon,112274,17,Great Subcannon,1,Secondary cannon,300,3,90,6,Neutral,113657,15,Großes Torpedo,113601,13,Gran Torpedo,114321,16,Grande Torpille,112291,14,Great Torpedo,2,Torpedo,400,3,50,6,Neutral,113672,2,-,113614,2,-,114337,2,-,112305,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,0,100%,417,"12"" Blaster",6,Osman,470,Intercom,7,Kalifa,476,Expensive Wheel
7,2352241612,111524,15,Valuan Spectre,111341,15,Valuan Spectre,112112,15,Valuan Spectre,110127,15,Valuan Spectre,38000,200,150,370,115,30,15,6,5,4,6,3,10,113674,11,Neo-Kanone,113616,10,Cañón Neo,114339,10,Canon Neo,112307,11,Neo Cannon,0,Main cannon,250,0,80,6,Neutral,113685,16,Neo-Hilfskanone,113626,13,Subcañón Neo,114349,13,Subcanon Neo,112318,14,Neo Subcannon,1,Secondary cannon,150,3,90,6,Neutral,113701,17,Größeres Torpedo,113639,14,Torpedo Mayor,114362,16,Torpille lourde,112332,16,Greater Torpedo,2,Torpedo,350,3,50,6,Neutral,113718,2,-,113653,2,-,114378,2,-,112348,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,6,Osman,472,Floor Heater,0,100%,457,Triple Turbo,-1,None,-1,None
8,2352241628,111539,16,Galcian's Elite,111356,16,Galcian's Elite,112127,16,Galcian's Elite,110142,16,Galcian's Elite,50000,250,200,370,220,35,10,10,5,2,5,5,10,113720,16,Schlangenkanone,113655,16,Cañón Serpiente,114380,14,Canon Serpent,112350,15,Serpent Cannon,0,Main cannon,330,0,80,6,Neutral,113736,15,Schnellfeuerk.,113671,13,Cañón Rápido,114394,13,Canon Rapide,112365,13,Rapid Cannon,1,Secondary cannon,250,3,95,6,Neutral,113751,15,Schnelltorpedo,113684,14,Torpedo Veloz,114407,16,Torpille rapide,112378,14,Speed Torpedo,2,Torpedo,400,3,30,6,Neutral,113766,2,-,113698,2,-,114423,2,-,112392,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5780,2400,0,100%,493,Complete Kit,6,Osman,438,Crystil Cannon,0,100%,459,Double Shaft
9,2352241644,111555,17,Gregorio Cruiser,111372,17,Gregorio Cruiser,112143,17,Gregorio Cruiser,110158,17,Gregorio Cruiser,25000,100,250,270,65,5,5,10,9,9,10,8,10,113768,12,Hauptkanone,113700,17,Cañón Principal,114425,16,Canon Principal,112394,12,Main Cannon,0,Main cannon,250,0,90,6,Neutral,113780,15,Fragmentierung,113717,14,Fragmentación,114441,15,Fragmentation,112406,15,Fragmentation,1,Secondary cannon,200,2,80,6,Neutral,113795,2,-,113731,2,-,114456,2,-,112421,2,-,2,Torpedo,250,2,60,6,Neutral,113797,2,-,113733,2,-,114458,2,-,112423,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,499,Speed Wax,-1,None,-1,None,-1,None,-1,None
10,2352241664,111572,17,Gregorio Gunboat,111389,17,Gregorio Gunboat,112160,17,Gregorio Gunboat,110175,17,Gregorio Gunboat,30000,120,270,300,70,5,10,10,8,8,10,7,10,113799,12,Hauptkanone,113735,16,Cañón Principal,114460,16,Canon Principal,112425,12,Main Cannon,0,Main cannon,270,0,90,6,Neutral,113811,17,Splittergeschütz,113751,13,Fragmentador,114476,12,Fragmenteur,112437,15,Fragmenter Gun,1,Secondary cannon,220,3,85,6,Neutral,113828,17,Explosionsladung,113764,17,Ataque Explosivo,114488,17,Charge Explosive,112452,13,Blast Charge,2,Torpedo,250,3,70,6,Neutral,113845,2,-,113781,2,-,114505,2,-,112465,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,483,Shredder Bomb,7,Kalifa,508,Crystal Ball,-1,None,-1,None
11,2352241684,111589,5,Lynx,111406,5,Lynx,112177,5,Lynx,110192,5,Lynx,25000,130,40,150,65,30,10,10,5,5,9,3,10,113847,12,Lynx-Kanone,113783,11,Cañón Lynx,114507,11,Canon Lynx,112467,12,Lynx Cannon,0,Main cannon,130,0,90,6,Neutral,113859,17,Lynx-Hilfskanone,113794,14,Subcañón Lynx,114518,14,Subcanon Lynx,112479,15,Lynx Subcannon,1,Secondary cannon,110,2,88,6,Neutral,113876,13,Lynx-Torpedo,113808,13,Torpedo Lynx,114532,14,Torpille Lynx,112494,13,Lynx Torpedo,2,Torpedo,100,2,60,6,Neutral,113889,2,-,113821,2,-,114546,2,-,112507,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3520,2400,0,100%,496,Captain's Stripe,0,100%,509,Magic Cannon,0,100%,411,"3"" Blaster"
12,2352241692,111594,10,Chameleon,111411,10,Chameleon,112182,10,Chameleon,110197,10,Chameleon,30000,130,100,200,60,20,15,10,10,10,20,5,10,113891,11,Drehkanone,113823,15,Cañón Revólver,114548,15,Canon Révolver,112509,16,Revolver Cannon,0,Main cannon,155,0,90,6,Neutral,113902,18,Hilfskanone Typ D,113838,16,Subcañón Tipo D,114563,16,Subcanon Type D,112525,17,Type D Subcannon,1,Secondary cannon,120,1,70,6,Neutral,113920,14,Torpedo Typ D,113854,15,Torpedo Tipo D,114579,16,Torpille Type D,112542,15,Type D Torpedo,2,Torpedo,160,2,70,6,Neutral,113934,14,Flammenwerfer,113869,12,Lanzallamas,114595,14,Lance-flammes,112557,13,Flamethrower,3,Special,300,0,-1,6,Neutral,0,0,0,0,0,0,2900,1900,0,100%,496,Captain's Stripe,4,50%,404,B-Type Cannon,-1,None,-1,None
13,2352241692,111604,10,Chameleon,111421,10,Chameleon,112192,10,Chameleon,110207,10,Chameleon,30000,130,150,230,60,20,15,10,10,10,20,5,10,113948,15,Handfeuerwaffe,113881,9,Revólver,114609,9,Pistolet,112570,8,Handgun,0,Main cannon,170,0,100,6,Neutral,113963,18,Hilfskanone Typ D,113890,16,Subcañón Tipo D,114618,16,Subcanon Type D,112578,17,Type D Subcannon,1,Secondary cannon,180,1,70,6,Neutral,113981,14,Torpedo Typ D,113906,15,Torpedo Tipo D,114634,16,Torpille Type D,112595,15,Type D Torpedo,2,Torpedo,200,2,70,6,Neutral,113995,11,Testkanone,113921,12,Cañón Test,114650,11,Canon Test,112610,12,Test Cannon,3,Special,350,0,-1,6,Neutral,0,0,0,0,0,0,4170,2400,4,50%,423,Hunter Torpedo,-1,None,-1,None,-1,None,-1,None
14,2352241692,111614,10,Chameleon,111431,10,Chameleon,112202,10,Chameleon,110217,10,Chameleon,30000,200,150,380,120,20,30,3,3,3,3,0,3,114006,17,Chamäleon-Kanone,113933,16,Cañón Camaleón,114661,15,Canon Caméléon,112622,17,Chameleon Cannon,0,Main cannon,300,0,60,6,Neutral,114023,15,De Loco-Kanone,113949,14,Cañón De Loco,114676,14,Canon De Loco,112639,15,De Loco Cannon,1,Secondary cannon,250,2,70,6,Neutral,114038,16,De Loco-Torpedo,113963,16,Torpedo De Loco,114690,16,Torpille DeLoco,112654,16,De Loco Torpedo,2,Torpedo,550,3,70,6,Neutral,114054,16,De Loco-Harpune,113979,14,Arpón De Loco,114706,15,Harpon De Loco,112670,16,De Loco Harpoon,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,15950,7000,0,100%,496,Captain's Stripe,0,100%,455,Twin Turbo,0,100%,506,Magic Shell
15,2352241704,111624,6,CUT15,111441,6,CUT15,112212,6,CUT15,110227,6,CUT15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,114070,2,-,113993,2,-,114721,2,-,112686,2,-,-1,None,-1,-1,-1,-1,None,114072,2,-,113995,2,-,114723,2,-,112688,2,-,-1,None,-1,-1,-1,-1,None,114074,2,-,113997,2,-,114725,2,-,112690,2,-,-1,None,-1,-1,-1,-1,None,114076,2,-,113999,2,-,114727,2,-,112692,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,2352241716,111630,7,Auriga,111447,7,Auriga,112218,7,Auriga,110233,7,Auriga,50000,250,300,300,80,15,5,9,5,5,9,3,9,114078,10,AP-Kanone,114001,9,Cañón AP,114729,9,Canon AP,112694,10,AP Cannon,0,Main cannon,300,0,87,6,Neutral,114088,17,Fragmentgeschütz,114010,14,Fragmentadora,114738,12,Fragmenteur,112704,13,Fragment Gun,1,Secondary cannon,250,2,87,6,Neutral,114105,17,Explosionsladung,114024,17,Ataque Explosivo,114750,17,Charge Explosive,112717,13,Blast Charge,2,Torpedo,300,2,80,6,Neutral,114122,11,Rumpframme,114041,17,Espolón de Casco,114767,7,Eperon,112730,9,Hull Ram,3,Special,500,0,-1,6,Neutral,0,0,0,0,0,0,10290,5200,0,100%,496,Captain's Stripe,0,100%,464,Heavy Armor Deck,0,100%,414,"12"" Cannon"
17,2352241724,111637,6,Draco,111454,6,Draco,112225,6,Draco,110240,6,Draco,45000,240,125,300,100,15,10,10,10,8,11,11,10,114133,2,-,114058,2,-,114774,2,-,112739,2,-,-1,None,-1,-1,-1,-1,None,114135,13,Zusatzkanone,114060,17,Cañón Secundario,114776,13,Second Canon,112741,17,Secondary Cannon,1,Secondary cannon,300,0,80,6,Neutral,114148,12,Bohrtorpedo,114077,15,Torpedo Punzón,114789,14,Tête perceuse,112758,17,Piercing Torpedo,2,Torpedo,500,2,80,6,Neutral,114160,13,Draco-Kanone,114092,12,Cañón Draco,114803,12,Canon Draco,112775,13,Draco Cannon,3,Special,680,0,-1,6,Neutral,0,0,0,0,0,0,12980,6100,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
18,2352241732,111643,6,Hydra,111460,6,Hydra,112231,6,Hydra,110246,6,Hydra,200000,280,300,370,200,15,5,10,10,10,10,0,10,114173,13,Hydra-Kanone,114104,12,Cañón Hydra,114815,14,Lanceur Hydra,112788,15,Hydra Launcher,0,Main cannon,350,0,70,6,Neutral,114186,14,Hydra-Hilfsk.,114116,15,Subcañón Hydra,114829,15,Subcanon Hydra,112803,16,Hydra Subcannon,1,Secondary cannon,360,1,80,6,Neutral,114200,13,Hydra-Strahl,114131,11,Rayo Hydra,114844,12,Rayon Hydra,112819,10,Hydra Ray,1,Secondary cannon,370,2,80,6,Neutral,114213,13,Hydra-Werfer,114142,15,Lanzador Hydra,114856,12,Canon Hydra,112829,13,Hydra Cannon,3,Special,700,0,-1,6,Neutral,0,0,0,0,0,0,27770,11900,0,100%,496,Captain's Stripe,0,100%,432,Moon Cannon,6,Osman,434,Moon Torpedo
19,2352241740,111649,6,CUT19,111466,6,CUT19,112237,6,CUT19,110252,6,CUT19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,114226,7,Kanone,114157,6,Cañón,114868,6,Canon,112842,8,Cannon,-1,None,-1,-1,-1,-1,None,114233,11,Feuerpfeil,114163,16,Flecha de Fuego,114874,14,Flêche de Feu,112850,11,Fire Arrow,-1,None,-1,-1,-1,-1,None,114244,16,Houroku Torpedo,114179,16,Torpedo Houroku,114888,17,Torpille Houroku,112861,16,Houroku Torpedo,-1,None,-1,-1,-1,-1,None,114260,2,-,114195,2,-,114905,2,-,112877,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,2352241752,111655,6,CUT20,111472,6,CUT20,112243,6,CUT20,110258,6,CUT20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,114262,7,Kanone,114197,6,Cañón,114907,6,Canon,112879,8,Cannon,-1,None,-1,-1,-1,-1,None,114269,11,Feuerpfeil,114203,16,Flecha de Fuego,114913,14,Flêche de Feu,112887,11,Fire Arrow,-1,None,-1,-1,-1,-1,None,114280,16,Houroku Torpedo,114219,16,Torpedo Houroku,114927,17,Torpille Houroku,112898,16,Houroku Torpedo,-1,None,-1,-1,-1,-1,None,114296,2,-,114235,2,-,114944,2,-,112914,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,2352241764,111661,14,Black Pirates,111478,14,Black Pirates,112249,14,Black Pirates,110264,14,Black Pirates,9000,40,25,10,50,8,25,10,10,10,10,20,10,114298,16,Schwarze Kanone,114237,12,Cañón Negro,114946,11,Canon Noir,112916,13,Black Cannon,0,Main cannon,120,0,70,6,Neutral,114314,16,Schwarzes Torp.,114249,14,Torpedo Negro,114957,15,Torpille Noire,112929,14,Black Torpedo,2,Torpedo,120,1,60,6,Neutral,114330,2,-,114263,2,-,114972,2,-,112943,2,-,-1,None,-1,-1,-1,-1,None,114332,2,-,114265,2,-,114974,2,-,112945,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,450,300,3,20%,402,Heavy Cannon,3,20%,440,Rogue Figure,-1,None,-1,None
22,2352241780,111675,14,Spell Pirates,111492,14,Spell Pirates,112263,14,Spell Pirates,110278,14,Spell Pirates,12000,100,70,220,50,8,15,9,9,9,9,9,10,114334,16,Schwarze Kanone,114267,12,Cañón Negro,114976,11,Canon Noir,112947,13,Black Cannon,0,Main cannon,140,0,80,6,Neutral,114350,16,Schwarzes Torp.,114279,14,Torpedo Negro,114987,15,Torpille Noire,112960,14,Black Torpedo,2,Torpedo,200,1,40,6,Neutral,114366,2,-,114293,2,-,115002,2,-,112974,2,-,-1,None,-1,-1,-1,-1,None,114368,2,-,114295,2,-,115004,2,-,112976,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1030,600,0,100%,484,Pyro Bomb,-1,None,-1,None,-1,None,-1,None
