Entry ID,EU SOT Pos,[Entry GB Name],PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Pad 1,Attack,Hit%,Limit,SP,Trait ID,[Trait Name],Pad 2,Trait Value,Pad 3,Pad 4,Buy,Pad 5,Pad 6,Sell%,EU Order 1,EU Order 2,Pad 7,[GB Descr Str]
400,0x8c373ef8,Main Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,35,80,0,4,-1,None,0,0,0,0,450,0,0,50,0,26,0,"The Little Jack's main cannon. It's rather old,
but Drachma has kept it in great shape."
401,0x8c373f04,Standard Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,40,83,0,4,-1,None,0,0,0,0,1000,0,0,50,1,35,0,"The main cannon used on Valuan Warships,
sometimes available on the Black Market."
402,0x8c373f14,Heavy Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,45,85,0,5,-1,None,0,0,0,0,1900,0,0,50,2,21,0,"An upgraded version of the Standard Valuan
Cannon, used on light warships in Mid Ocean."
403,0x8c373f24,G-Type Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,50,85,0,5,-1,None,0,0,0,0,3000,0,0,70,3,18,0,"Cannons used on Armada ships, when they defeated
Ixa'taka. Slightly outdated, but powerful."
404,0x8c373f34,B-Type Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,75,90,0,6,-1,None,0,0,0,0,4000,0,0,50,4,13,0,"An upgraded version of the G-Type Cannon, with
the same basic design, but greater firepower."
405,0x8c373f44,Prototype Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,100,85,0,6,-1,None,0,0,0,0,5000,0,0,50,5,31,0,"A rotating cannon that can track enemy targets,
but doesn't do much damage."
406,0x8c373f58,Advanced Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,150,90,0,7,-1,None,0,0,0,0,5500,0,0,50,6,10,0,"A new rotating main cannon developed for Valuan
Destroyers. Available on the Black Market."
407,0x8c373f68,Yamato Spirit,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,250,90,0,8,-1,None,0,0,0,0,6700,0,0,70,7,39,0,"A large and powerful cannon based on traditional
Yafutoman craftsmanship."
408,0x8c373f78,Ancient Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,300,95,0,9,-1,None,0,0,0,0,8500,0,0,50,8,11,0,"A durable cannon made from ancient metals from
the Old World."
409,0x8c373f88,X Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,400,97,0,10,-1,None,0,0,0,0,11000,0,0,0,9,38,0,"A very large cannon that enables large ships to 
blast small ships out of the sky."
410,0x8c373f94,"3\""Cannon",0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,0,70,80,1,2,-1,None,0,0,0,0,700,0,0,50,10,6,0,"A small caliber secondary cannon for smaller 
ships."
411,0x8c373fa0,"3\""Cannon",0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,0,80,83,1,2,-1,None,0,0,0,0,1015,0,0,50,11,5,0,"A secondary cannon for the Little Jack. An
upgraded version of the 3 Inch Cannon."
412,0x8c373fac,"5\""Cannon",0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,0,90,80,1,3,-1,None,0,0,0,0,1330,0,0,50,12,8,0,"A secondary cannon for the Little Jack. More
powerful than the 3 Inch Cannon."
413,0x8c373fb8,"8\""Cannon",0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,0,100,82,2,3,-1,None,0,0,0,0,2100,0,0,50,13,9,0,"A secondary cannon for the Little Jack.
A modified version of the Main Cannon."
414,0x8c373fc4,"12\""Cannon",0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,170,77,2,4,-1,None,0,0,0,0,3500,0,0,50,14,3,0,"A high-caliber secondary cannon developed for
warships."
415,0x8c373fd0,"10\""Cannon",0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,200,82,3,4,-1,None,0,0,0,0,3640,0,0,50,15,0,0,"The first 10 Inch secondary cannon, developed
by the Nasrean Navy."
416,0x8c373fdc,"10\""Cannon",0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,220,89,3,4,-1,None,0,0,0,0,3710,0,0,50,16,1,0,"A 10 inch secondary cannon with a reinforced
barrel that helps to absorb shock."
417,0x8c373fec,"12\""Cannon",0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,250,85,2,5,-1,None,0,0,0,0,3850,0,0,50,17,2,0,"A high-caliber secondary cannon, only used
on larger ships."
418,0x8c373ff8,3'Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,280,87,3,6,-1,None,0,0,0,0,4690,0,0,50,18,4,0,"A secondary cannon developed in Yafutoma,
inspired by cylindrical plants."
419,0x8c374004,5'Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,330,90,2,6,-1,None,0,0,0,0,5110,0,0,50,19,7,0,"A secondary cannon used by the Yafutoman Navy.
It is a short-range, high-powered cannon."
420,0x8c374010,Light Torpedo,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,0,120,60,2,3,-1,None,0,0,0,0,1520,0,0,50,20,25,0,"A light torpedo, well-suited for smaller ships.
After launch, it attacks its target from above."
421,0x8c374020,Guided Torpedo,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,0,120,70,2,2,-1,None,0,0,0,0,1760,0,0,50,21,19,0,"A torpedo equippable by the Little Jack. Has the
highest chance to hit out of all the torpedos."
422,0x8c374030,Shock Torpedo,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,0,160,55,2,3,-1,None,0,0,0,0,2000,0,0,50,22,34,0,"A torpedo equippable by the Little Jack.
After launch, it charges its target from above."
423,0x8c374040,Hunter Torpedo,0b00110000,X,X,"","","",2,Torpedo,0,Green,0,160,60,3,3,-1,None,0,0,0,0,2240,0,0,50,23,23,0,"A torpedo equippable by the Little Jack. Has
greater range than standard torpedos."
424,0x8c374050,Valuan Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,220,60,2,3,-1,None,0,0,0,0,2400,0,0,50,24,36,0,"A torpedo used by Valua against the Nasrean Navy
during the Valua-Nasr War."
425,0x8c374060,Heavy Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,250,50,3,4,-1,None,0,0,0,0,4400,0,0,50,25,22,0,"A large torpedo with the same firepower as a
main cannon, but has lower accuracy."
