Entry ID,EU SOT Pos,[Entry GB Name],Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Buy,Pad 1,Pad 2,Sell%,EU Order 1,EU Order 2,Pad 3,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[GB Descr Str]
480,0x8c3743a8,Bomb,0b0001,"","",X,107,Damage,-1,100,100,0,0,50,0,3,0,80,6,Neutral,0,0,0,"A common bomb, designed to damage the enemy."
481,0x8c3743b0,Big Bomb,0b0001,"","",X,107,Damage,-1,100,150,0,0,50,1,2,0,120,6,Neutral,0,0,0,"A larger bomb, packed with more gunpowder for a
bigger blast. Damages the enemy."
482,0x8c3743bc,Concussion Bomb,0b0001,"","",X,107,Damage,-1,100,200,0,0,50,2,6,0,150,6,Neutral,0,0,0,"A bomb that packs double the firepower of a
standard bomb. Damages the enemy."
483,0x8c3743cc,Shredder Bomb,0b0001,"","",X,107,Damage,-1,100,480,0,0,50,3,24,0,250,6,Neutral,0,0,0,"A bomb designed for pure explosive power and
size. Does massive damage to the enemy."
484,0x8c3743dc,Pyro Bomb,0b0001,"","",X,107,Damage,-1,100,450,0,0,50,4,21,0,240,1,Red,1,0,0,"A special bomb with Red Moon Dust mixed
into the gunpowder. Has an extremely hot blast."
485,0x8c3743e8,Frost Bomb,0b0001,"","",X,107,Damage,-1,100,600,0,0,50,5,10,0,240,2,Purple,1,0,0,"A special bomb with Purple Moon Dust mixed
into the gunpowder. Has an extremely cold blast."
486,0x8c3743f4,Silencer Bomb,0b0001,"","",X,116,Silence by 100%,-1,100,600,0,0,50,6,25,0,0,0,Green,0,165,80,"A special bomb with Purple Moon Dust mixed
into the gunpowder. Has a Sylenis-like effect."
487,0x8c374404,Thunder Bomb,0b0001,"","",X,107,Damage,-1,100,450,0,0,50,7,28,0,240,4,Yellow,1,0,0,"A special bomb with Yellow Moon Dust mixed
into the gunpowder. Has an Electri-like effect."
488,0x8c374414,Electro Bomb,0b0001,"","",X,106,Weak by 100%,-1,100,600,0,0,50,8,9,0,0,0,Green,0,1,80,"A special bomb with Yellow Moon Dust mixed
into the gunpowder. Has a Driln-like effect."
489,0x8c374424,Wave Bomb,0b0001,"","",X,107,Damage,-1,100,600,0,0,50,9,29,0,240,3,Blue,1,0,0,"A special bomb with Blue Moonstone dust mixed
into the gunpowder. Has a Wevli-like effect."
490,0x8c374430,Repair Kit,0b0101,X,"",X,100,Recover HP,-1,100,30,0,0,50,10,22,0,400,0,Green,0,0,0,"Repair materials for minor damage to the ship.
Restores 4,000 HP."
491,0x8c37443c,Deluxe Kit,0b0101,X,"",X,100,Recover HP,-1,100,75,0,0,50,11,8,0,800,0,Green,0,0,0,"Repair materials for moderate damage to the
ship. Restores 8,000 HP."
492,0x8c374448,Magic Kit,0b0101,X,"",X,100,Recover HP,-1,100,0,0,0,50,12,19,0,0,0,Green,0,0,0,"Repair materials mixed with Green Moon Dust
for greater restorative power. Restores all HP."
493,0x8c374454,Complete Kit,0b0101,X,"",X,101,Recover HP by 100%,-1,100,300,0,0,50,13,5,0,0,0,Green,0,0,0,"High-quality repair materials using pure
Moon Stones. Restores all HP."
494,0x8c374464,Gear Grease,0b0001,"","",X,102,Recover SP,-1,100,500,0,0,50,14,11,0,10,0,Green,0,0,0,"Reduces friction in the gears, improving power
transfer. Restores Spirit."
495,0x8c374470,Thermal Grease,0b0001,"","",X,103,Recover SP by 100%,-1,100,1000,0,0,50,15,27,0,0,0,Green,0,0,0,"Prevents heat-related breakdowns at high speeds.
Restores Spirit completely."
496,0x8c374480,Captain's Stripe,0b0100,X,"","",115,Grow All Attr,-1,100,0,0,0,50,16,4,0,0,0,Green,0,0,0,"A mark earned by shooting down an enemy. Using
it will increase ship parameters and endurance."
497,0x8c374494,Apa Wax,0b0001,"","",X,105,Incr Attack + Defense,2,100,100,0,0,50,17,0,0,0,0,Green,0,0,0,"Applying this wax to the ship and cannons
improves Attack and Defense Power for 2 turns."
498,0x8c37449c,Apo Wax,0b0001,"","",X,105,Incr Attack + Defense,4,100,1000,0,0,50,18,1,0,0,0,Green,0,0,0,"Applying this wax to the ship and cannons
improves Attack and Defense Power for 4 turns."
499,0x8c3744a4,Speed Wax,0b0001,"","",X,104,Incr Quick,1,100,150,0,0,50,19,26,0,0,0,Green,0,0,0,"Applying this wax to the engine improves engine
output for 1 turn."
