Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Pad. 1,Effect Value 1,Effect Value 2,Element ID,[Element Name],Type ID,[Type Name],Unk. 1,Unk. 2,State ID,[State Name],State Miss%,Pad. 2,Pad. 3
0,0x8c385ab8,0x1384,15,Volcanic Blast,0x1387,17,Ráfaga Volcánica,0x138a,13,Volcan Blast,0x1384,15,Volcanic Blast,0,S-Move,0,Damage,2,All PCs,0,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
1,0x8c385ac8,0x1393,13,Cinder Storm,0x1398,17,Ráfaga de ceniza,0x1397,16,Orage de Cendre,0x1393,13,Cinder Storm,0,S-Move,8,"Damage, Stone",1,Single PC,0,16,5,1,Red,0,Physical,16,17,2,Stone,50,0,0
2,0x8c385ad8,0x13a0,14,Feather Slash,0x13a9,14,Feather Slash,0x13a7,17,Plume Tranchante,0x13a0,14,Feather Slash,0,S-Move,0,Damage,102,PC Ray S5,0,16,30,0,Green,0,Physical,0,0,0,Poison,0,0,0
3,0x8c385ae8,0x13ae,9,KETSUBAN,0x13b7,9,KETSUBAN,0x13b8,9,KETSUBAN,0x13ae,9,KETSUBAN,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
4,0x8c385af0,0x13b7,6,Laser,0x13c0,6,Láser,0x13c1,6,Laser,0x13b7,6,Laser,0,S-Move,0,Damage,1,Single PC,0,16,20,5,Silver,0,Physical,0,0,0,Poison,0,0,0
5,0x8c385af8,0x13bd,16,Thunder of Fury,0x13c6,16,Thunder of Fury,0x13c7,15,Tonnerre Furie,0x13bd,16,Thunder of Fury,0,S-Move,0,Damage,101,PC Ray S3,0,16,30,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
6,0x8c385ae8,0x13cd,9,KETSUBAN,0x13d6,9,KETSUBAN,0x13d6,9,KETSUBAN,0x13cd,9,KETSUBAN,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,0x8c385b08,0x13d6,16,Circle of Panic,0x13df,17,Círculo de Miedo,0x13df,15,Cercle de Peur,0x13d6,16,Circle of Panic,0,S-Move,11,Confusion,1,Single PC,0,0,0,0,Green,0,Physical,16,17,4,Confusion,0,0,0
8,0x8c385b18,0x13e6,14,Ring of Sleep,0x13f0,17,Anillo del Sueño,0x13ee,17,Bague de Sommeil,0x13e6,14,Ring of Sleep,0,S-Move,9,Sleep,1,Single PC,0,0,0,0,Green,0,Physical,16,17,3,Sleep,0,0,0
9,0x8c385b28,0x13f4,14,Target Search,0x1401,16,Buscar Objetivo,0x13ff,16,Recherche Cible,0x13f4,14,Target Search,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,0x8c385ae8,0x1402,9,KETSUBAN,0x1411,9,KETSUBAN,0x140f,9,KETSUBAN,0x1402,9,KETSUBAN,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
11,0x8c385b38,0x140b,7,Tackle,0x141a,7,Ataque,0x1418,14,Ruée Mortelle,0x140b,7,Tackle,0,S-Move,0,Damage,102,PC Ray S5,0,16,40,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
12,0x8c385b40,0x1412,13,Death Strike,0x1421,13,Golpe Mortal,0x1426,12,Coup Mortel,0x1412,13,Death Strike,0,S-Move,68,"Damage, Unconscious 2",1,Single PC,0,16,5,5,Silver,0,Physical,16,17,1,Unconscious,70,0,0
13,0x8c385b50,0x141f,7,Charge,0x142e,7,Ataque,0x1432,7,Charge,0x141f,7,Charge,0,S-Move,-1,None,5,Self,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,0x8c385b58,0x1426,11,Poison Gas,0x1435,13,Gas Venenoso,0x1439,15,Gaz Empoisonné,0x1426,11,Poison Gas,0,S-Move,4,"Damage, Poison",96,PC Square S3,0,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
15,0x8c385b64,0x1431,13,Stone Breath,0x1442,16,Brisa de Piedra,0x1448,15,Souffle Pierre,0x1431,13,Stone Breath,0,S-Move,8,"Damage, Stone",1,Single PC,0,16,15,0,Green,0,Physical,16,17,2,Stone,60,0,0
16,0x8c385ae8,0x143e,9,KETSUBAN,0x1452,9,KETSUBAN,0x1457,9,KETSUBAN,0x143e,9,KETSUBAN,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,0x8c385b74,0x1447,12,Random Fire,0x145b,14,Fuego al Azar,0x1460,14,Tir aléatoire,0x1447,12,Random Fire,0,S-Move,0,Damage,98,PC Square S7,0,16,25,1,Red,0,Physical,0,0,0,Poison,0,0,0
