Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Pad. 1,Attack,Hit%,Limit,SP,Feat. ID,[Feat. Name],Pad. 2,Feat. Value,Pad. 3,Pad. 4,Purchase Price,Pad. 5,Pad. 6,Retail Price in %,Order by Prio.,EU Order by ABC,Pad. 7,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
400,0x8c373ef8,0x1b03f,12,Main Cannon,0x1b548,16,Cañón Principal,0x1b9c2,16,Canon Principal,0x1b03f,12,Main Cannon,0x30,X,X,"","","",0,Main Cannon,6,Neutral,0,35,80,0,4,-1,None,0,0,0,0,450,0,0,50,0,26,0,0x15c2b,89,"The Little Jack's main cannon. It's rather old,\\nbut Drachma has kept it in great shape.",0x15e5e,93,"Canon Principal del Little Jack. Es bastante\\nviejo, pero Drachma lo ha conservado muy bien.",0x1619f,84,Le canon principal du Petit Jack est plutôt\\nvieux mais Drachma l'a bien entretenu.,0x15c2b,89,"The Little Jack's main cannon. It's rather old,\\nbut Drachma has kept it in great shape."
401,0x8c373f04,0x1b04b,16,Standard Cannon,0x1b558,15,Cañón Estándar,0x1b9d2,16,Canon Classique,0x1b04b,16,Standard Cannon,0x30,X,X,"","","",0,Main Cannon,6,Neutral,0,40,83,0,4,-1,None,0,0,0,0,1000,0,0,50,1,35,0,0x15c84,83,"The main cannon used on Valuan Warships,\\nsometimes available on the Black Market.",0x15ebb,84,Se usa normalmente en los Acorazados Valuan\\ny puede comprarse en el mercado negro.,0x161f3,94,"Le canon principal utilisé sur les Vaisseaux de\\nGuerre Valuan, parfois vendu au Marché Noir.",0x15c84,83,"The main cannon used on Valuan Warships,\\nsometimes available on the Black Market."
402,0x8c373f14,0x1b05b,13,Heavy Cannon,0x1b567,13,Cañón Pesado,0x1b9e2,12,Canon Lourd,0x1b05b,13,Heavy Cannon,0x30,X,X,"","","",0,Main Cannon,6,Neutral,0,45,85,0,5,-1,None,0,0,0,0,1900,0,0,50,2,21,0,0x15cd7,89,"An upgraded version of the Standard Valuan\\nCannon, used on light warships in Mid Ocean.",0x15f0f,87,Version avanzada del Canon Estandar.\\nSe usa en los buques de guerra del Oceano Medio.,0x16251,92,"Un canon Valuan Classique amélioré, utilisé\\nsur les vaisseaux légers dans l'Océan Central.",0x15cd7,89,"An upgraded version of the Standard Valuan\\nCannon, used on light warships in Mid Ocean."
403,0x8c373f24,0x1b068,14,G-Type Cannon,0x1b574,13,Cañón Tipo-G,0x1b9ee,13,Canon Type-G,0x1b068,14,G-Type Cannon,0x30,X,X,"","","",0,Main Cannon,6,Neutral,0,50,85,0,5,-1,None,0,0,0,0,3000,0,0,70,3,18,0,0x15d30,93,"Cannons used on Armada ships, when they defeated\\nIxa'taka. Slightly outdated, but powerful.",0x15f66,94,"Canones con los que los navios de la Armada\\nvencieron a Ixa'taka. Anticuados, pero potentes.",0x162ad,85,Ont été utilisés par l'Armada pour\\nvaincre Ixa'taka. Un peu désuets mais puissants.,0x15d30,93,"Cannons used on Armada ships, when they defeated\\nIxa'taka. Slightly outdated, but powerful."
404,0x8c373f34,0x1b076,14,B-Type Cannon,0x1b581,13,Cañón Tipo-B,0x1b9fb,13,Canon Type-B,0x1b076,14,B-Type Cannon,0x30,X,X,"","","",0,Main Cannon,6,Neutral,0,75,90,0,6,-1,None,0,0,0,0,4000,0,0,50,4,13,0,0x15d8d,94,"An upgraded version of the G-Type Cannon, with\\nthe same basic design, but greater firepower.",0x15fc4,96,"Version avanzada del Canon Tipo-G. Sus disenos\\nson iguales, pero con mayor potencia de fogueo.",0x16302,94,"Version améliorée du Canon Type-G, de style\\nidentique avec une plus grande puissance de feu.",0x15d8d,94,"An upgraded version of the G-Type Cannon, with\\nthe same basic design, but greater firepower."
405,0x8c373f44,0x1b084,17,Prototype Cannon,0x1b58e,16,Cañón Prototipo,0x1ba08,16,Canon Prototype,0x1b084,17,Prototype Cannon,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,0,100,85,0,6,-1,None,0,0,0,0,5000,0,0,50,5,31,0,0x15deb,77,"A rotating cannon that can track enemy targets,\\nbut doesn't do much damage.",0x16024,88,Canon rotante que localiza y sigue la pista de\\nlos enemigos. No causa mucho deterioro.,0x16360,78,"Un canon rotatif qui peut traquer les cibles\\nennemies, mais peu destructeur.",0x15deb,77,"A rotating cannon that can track enemy targets,\\nbut doesn't do much damage."
406,0x8c373f58,0x1b095,16,Advanced Cannon,0x1b59e,15,Cañón Avanzado,0x1ba18,16,Canon Supérieur,0x1b095,16,Advanced Cannon,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,0,150,90,0,7,-1,None,0,0,0,0,5500,0,0,50,6,10,0,0x15e38,92,A new rotating main cannon developed for Valuan\\nDestroyers. Available on the Black Market.,0x1607c,94,"Canon principal rotante, se usa en destructores\\nValuan. Esta disponible en el mercado negro.",0x163ae,93,Nouveau canon rotatif principal développé pour\\nles destroyers Valuan. Vendu au Marché Noir.,0x15e38,92,A new rotating main cannon developed for Valuan\\nDestroyers. Available on the Black Market.
407,0x8c373f68,0x1b0a5,14,Yamato Spirit,0x1b5ad,16,Espíritu Yamato,0x1ba28,14,Esprit Yamato,0x1b0a5,14,Yamato Spirit,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,0,250,90,0,8,-1,None,0,0,0,0,6700,0,0,70,7,39,0,0x15e94,75,A large and powerful cannon based on traditional\\nYafutoman craftsmanship.,0x160da,85,Canon grande y potente. Esta fabricado\\n siguiendo la tradicion artesanal Yafutoman.,0x1640b,74,Un grand canon puissant réalisé selon la\\ntradition artisanale Yafutoman.,0x15e94,75,A large and powerful cannon based on traditional\\nYafutoman craftsmanship.
408,0x8c373f78,0x1b0b3,15,Ancient Cannon,0x1b5bd,16,Cañón Ancestral,0x1ba36,13,Canon Ancien,0x1b0b3,15,Ancient Cannon,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,0,300,95,0,9,-1,None,0,0,0,0,8500,0,0,50,8,11,0,0x15edf,63,A durable cannon made from ancient metals from\\nthe Old World.,0x1612f,81,Resistente canon construido con metales\\nantiguos procedentes del Mundo Antiguo.,0x16455,61,Un canon solide fabriqué avec des métaux\\nde l'Ancien Monde.,0x15edf,63,A durable cannon made from ancient metals from\\nthe Old World.
409,0x8c373f88,0x1b0c2,9,X Cannon,0x1b5cd,8,Cañón X,0x1ba43,8,Canon X,0x1b0c2,9,X Cannon,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,0,400,97,0,10,-1,None,0,0,0,0,11000,0,0,0,9,38,0,0x15f1e,84,A very large cannon that enables large ships to \\nblast small ships out of the sky.,0x16180,96,Enorme canon que permite a los navios grandes\\ndestruir las naves pequenas que surcan el cielo.,0x16492,90,Un gros canon qui permet aux vaisseaux lourds\\nde tirer meilleur parti de leur puissance.,0x15f1e,84,A very large cannon that enables large ships to \\nblast small ships out of the sky.
