Entry ID,JP entry name,Padding #1,Padding #2,Padding #3,Padding #4,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Effect amount #1 ,Effect amount #2 ,Element ID,[Element name],Type ID,[Type name],Unknown #1,Unknown #2,Unknown #3,Hit%,Padding #5,Padding #6
0,アパ,0,0,0,0,1,Magic,21,Add Strengthen,3,One enemy,0,0,0,Green,0,Physical,0,0,0,0,0,0
1,アポス,0,0,0,0,1,Magic,21,Add Strengthen,4,All enemies,0,0,0,Green,0,Physical,0,0,0,0,0,0
2,サイレシャ,0,0,0,0,1,Magic,12,Add Silence,1,One ally,0,0,0,Green,0,Physical,1,1,5,40,0,0
3,パニカ,0,0,0,0,1,Magic,11,Add Confusion,1,One ally,0,0,0,Green,0,Physical,1,1,4,40,0,0
4,ダウナ,0,0,0,0,1,Magic,26,Add Weak,1,One ally,0,0,0,Green,0,Physical,1,1,8,40,0,0
5,ダウノス,0,0,0,0,1,Magic,26,Add Weak,2,All allies,0,0,0,Green,0,Physical,1,1,8,60,0,0
6,サプラ,0,0,0,0,1,Magic,31,Recover HP,3,One enemy,500,17408,0,Green,0,Physical,0,0,0,0,0,0
7,サプリィ,0,0,0,0,1,Magic,31,Recover HP,3,One enemy,1000,17408,0,Green,0,Physical,0,0,0,0,0,0
8,サプレス,0,0,0,0,1,Magic,31,Recover HP,4,All enemies,1000,17408,0,Green,0,Physical,0,0,0,0,0,0
9,サプローネ,0,0,0,0,1,Magic,32,Recover HP to 100%,3,One enemy,10000,17408,0,Green,0,Physical,0,0,0,0,0,0
10,プワザ,0,0,0,0,1,Magic,4,Add Poison + Damage,1,One ally,1,60,0,Green,1,Magical,1,1,0,40,0,0
11,プワゾーク,0,0,0,0,1,Magic,4,Add Poison + Damage,2,All allies,1,100,0,Green,1,Magical,1,1,0,60,0,0
12,スリーパ,0,0,0,0,1,Magic,9,Add Sleep,2,All allies,0,0,0,Green,0,Physical,1,1,3,60,0,0
13,クイッカ,0,0,0,0,1,Magic,20,Add Quickened,4,All enemies,0,0,0,Green,0,Physical,0,0,0,0,0,0
14,キュア,0,0,0,0,1,Magic,30,Remove negative states,3,One enemy,0,0,0,Green,0,Physical,0,0,0,0,0,0
15,ライザ,0,0,0,0,1,Magic,27,Revive with 50% of HP,3,One enemy,0,0,0,Green,0,Physical,55,55,7,50,0,0
16,ライゾン,0,0,0,0,1,Magic,28,Revive with 100% of HP,3,One enemy,0,0,0,Green,0,Physical,0,0,0,0,0,0
17,ジェダ,0,0,0,0,1,Magic,5,Add Unconscious,1,One ally,0,0,0,Green,0,Physical,1,1,1,60,0,0
18,ジェデス,0,0,0,0,1,Magic,5,Add Unconscious,2,All allies,0,0,0,Green,0,Physical,1,1,1,80,0,0
19,ジェドーサ,0,0,0,0,1,Magic,6,Add Unconscious + Damage #1,1,One ally,1,250,5,Silver,1,Magical,1,1,1,0,0,0
20,ウェイバ,0,0,0,0,1,Magic,0,Damage,96,Ally area #1,1,60,3,Blue,1,Magical,0,0,0,0,0,0
21,ウェイビィ,0,0,0,0,1,Magic,0,Damage,97,Ally area #2,1,105,3,Blue,1,Magical,0,0,0,0,0,0
22,ウェボーン,0,0,0,0,1,Magic,0,Damage,98,Ally area #3,1,195,3,Blue,1,Magical,0,0,0,0,0,0
23,バーナ,0,0,0,0,1,Magic,0,Damage,2,All allies,1,50,1,Red,1,Magical,0,0,0,0,0,0
24,バーニィ,0,0,0,0,1,Magic,0,Damage,2,All allies,1,85,1,Red,1,Magical,0,0,0,0,0,0
25,バーネス,0,0,0,0,1,Magic,0,Damage,2,All allies,1,120,1,Red,1,Magical,0,0,0,0,0,0
26,グラシャ,0,0,0,0,1,Magic,0,Damage,1,One ally,1,70,2,Purple,1,Magical,0,0,0,0,0,0
27,グラシィ,0,0,0,0,1,Magic,0,Damage,1,One ally,1,120,2,Purple,1,Magical,0,0,0,0,0,0
28,グラシェス,0,0,0,0,1,Magic,0,Damage,1,One ally,1,170,2,Purple,1,Magical,0,0,0,0,0,0
29,グラゾーバ,0,0,0,0,1,Magic,0,Damage,1,One ally,1,220,2,Purple,1,Magical,0,0,0,0,0,0
30,バーノーン,0,0,0,0,1,Magic,0,Damage,2,All allies,1,155,1,Red,1,Magical,0,0,0,0,0,0
31,ウェイベス,0,0,0,0,1,Magic,0,Damage,97,Ally area #2,1,150,3,Blue,1,Magical,0,0,0,0,0,0
32,ボルタ,0,0,0,0,1,Magic,0,Damage,100,Ally line #1,1,60,4,Yellow,1,Magical,0,0,0,0,0,0
33,ボルティ,0,0,0,0,1,Magic,0,Damage,101,Ally line #2,1,105,4,Yellow,1,Magical,0,0,0,0,0,0
34,ボルテス,0,0,0,0,1,Magic,0,Damage,101,Ally line #2,1,150,4,Yellow,1,Magical,0,0,0,0,0,0
35,ボルドーラ,0,0,0,0,1,Magic,0,Damage,102,Ally line #3,1,195,4,Yellow,1,Magical,0,0,0,0,0,0
36,火山弾乱舞,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,1,Red,0,Physical,0,0,0,0,0,0
37,石化灰噴霧,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,5,1,Red,0,Physical,16,17,2,50,0,0
38,フェザーティアー,0,0,0,0,0,Super Move,0,Damage,102,Ally line #3,16,30,0,Green,0,Physical,0,0,0,0,0,0
39,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
40,レーザー,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,20,5,Silver,0,Physical,0,0,0,0,0,0
41,怒雷,0,0,0,0,0,Super Move,0,Damage,101,Ally line #2,16,30,4,Yellow,0,Physical,0,0,0,0,0,0
42,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
43,パニカリング,0,0,0,0,0,Super Move,11,Add Confusion,1,One ally,0,0,0,Green,0,Physical,16,17,4,0,0,0
44,スリーパリング,0,0,0,0,0,Super Move,9,Add Sleep,1,One ally,0,0,0,Green,0,Physical,16,17,3,0,0,0
45,ターゲットサーチ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
46,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
47,キャノンボール,0,0,0,0,0,Super Move,0,Damage,102,Ally line #3,16,40,4,Yellow,0,Physical,0,0,0,0,0,0
48,チェックメイト,0,0,0,0,0,Super Move,68,Add Unconscious + Damage #2,1,One ally,16,5,5,Silver,0,Physical,16,17,1,70,0,0
49,チャージ,0,0,0,0,0,Super Move,-1,None,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
50,毒ガス爆弾,0,0,0,0,0,Super Move,4,Add Poison + Damage,96,Ally area #1,16,20,0,Green,0,Physical,16,17,0,50,0,0
51,石化ブレス,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,15,0,Green,0,Physical,16,17,2,60,0,0
52,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
53,乱射キャノン,0,0,0,0,0,Super Move,0,Damage,98,Ally area #3,16,25,1,Red,0,Physical,0,0,0,0,0,0
54,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
55,反撃の構え,0,0,0,0,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
56,ためる,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
57,イアイチュン,0,0,0,0,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
58,発破,0,0,0,0,0,Super Move,0,Damage,97,Ally area #2,16,40,1,Red,0,Physical,0,0,0,0,0,0
59,テルミナール,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,55,4,Yellow,0,Physical,0,0,0,0,0,0
60,デヴォルヴェール,0,0,0,0,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
61,毒ゲロ,0,0,0,0,0,Super Move,4,Add Poison + Damage,2,All allies,16,20,0,Green,0,Physical,16,17,0,50,0,0
62,花葬の舞,0,0,0,0,0,Super Move,0,Damage,201,Allies nearby #2,16,20,3,Blue,0,Physical,0,0,0,0,0,0
63,大艦巨砲キャノン,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,50,1,Red,0,Physical,0,0,0,0,0,0
64,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,27,0,0,Green,0,Physical,0,0,0,0,0,0
65,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,31,0,0,Green,0,Physical,0,0,0,0,0,0
66,スプレーキャノン,0,0,0,0,0,Super Move,0,Damage,97,Ally area #2,16,35,4,Yellow,0,Physical,0,0,0,0,0,0
67,ソリッドレーザー,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,5,6,Neutral,0,Physical,16,17,2,20,0,0
68,トゥームレーザー,0,0,0,0,0,Super Move,68,Add Unconscious + Damage #2,1,One ally,16,5,5,Silver,0,Physical,16,17,1,60,0,0
69,デスレーザー,0,0,0,0,0,Super Move,68,Add Unconscious + Damage #2,1,One ally,16,5,5,Silver,0,Physical,16,17,1,60,0,0
70,様子を見る,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
71,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
72,ナンジャー,0,0,0,0,0,Super Move,67,Invulnerable,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
73,ガッツ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
74,永久凍結,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,12,2,Purple,0,Physical,0,0,0,0,0,0
75,落雷,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
76,疲労かぶり,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One ally,16,15,0,Green,0,Physical,16,17,6,20,0,0
77,おやすみなさい,0,0,0,0,0,Super Move,63,Add Regenerate + Add Sleep,5,User,400,-256,0,Green,0,Physical,0,0,0,0,0,0
78,アバランチャー,0,0,0,0,0,Super Move,0,Damage,102,Ally line #3,16,35,2,Purple,0,Physical,0,0,0,0,0,0
