Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,PCID,[PCName],Retail Price in %,Order by Prio.,EU Order by ABC,Effect ID,[Effect Name],Pad. 1,Purchase Price,Attack,Hit%,Feat.ID,[Feat.Name],Pad. 2,Feat.Value,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
0,0x8034fb88,0x1ce93,8,Machete,0x1cb04,6,Sable,0x1cd83,6,Sabre,0x1c555,8,Cutlass,0,Vyse,50,0,21,-1,None,0,70,20,90,-1,None,0,0,0x126e4,93,Vyse erhielt diese Machete von seinem Vater\\nDyne. Sie hat eine kurze Klinge und ist leicht.,0x12410,85,"Vyse recibió estos sables como regalo de su\\npadre, Dyne. La hoja es corta y ligera.",0x1244e,95,"Vyse a reçu ces épées en cadeau de son père,\\nDyne. Elles sont légères avec des lames courtes.",0x12056,94,"Vyse received these swords as a gift from his\\nfather, Dyne. It is light, with a short blade."
1,0x802c6558,0x1ce9b,15,Piratenmachete,0x1cb0a,17,Sable del Pirata,0x1cd89,16,Sabre de Pirate,0x1c55d,15,Pirate Cutlass,0,Vyse,50,1,48,-1,None,0,220,33,90,-1,None,0,0,0x12741,91,Bevorzugtes Schwert der Luftpiraten im Mid\\nOcean. Es ist leicht und einfach zu handhaben.,0x12465,88,El sable preferido por los piratas aéreos del\\nOcéano Medio. Ligero y fácil de manejar.,0x124ad,79,Épée préférée des Pirates de\\nl'Océan Central. Légère et très facile à manier.,0x120b4,97,The favorite sword among Air Pirates in the Mid\\nOcean area. It is light and very easy to wield.
2,0x802c6568,0x1ceaa,15,Himmelsmachete,0x1cb1b,14,Sable Celeste,0x1cd99,11,Sabre Ciel,0x1c56c,12,Sky Cutlass,0,Vyse,50,2,54,-1,None,0,450,45,90,-1,None,0,0,0x1279c,96,"Machete, die von Pirates und Fischern benutzt\\nwird. Sie eignet sich perfekt zum Fischesäubern.",0x124bd,87,Tanto piratas como pescadores usan este sable.\\nLa hoja es ideal para limpiar pescado.,0x124fc,95,Sabre utilisé par les Pirates et les pêcheurs.\\nSa lame est parfaite pour nettoyer le poisson.,0x12115,87,A cutlass used by Pirates and fishermen alike.\\nIts edge is perfect for cleaning fish.
3,0x802c6574,0x1ceb9,16,Admiralsmachete,0x1cb29,16,Sable Almirante,0x1cda4,15,Sabre d'Amiral,0x1c578,16,Admiral Cutlass,0,Vyse,50,9,0,-1,None,0,4970,128,90,-1,None,0,0,0x127fc,99,"Altes Schwert, das einmal einem valuanischen Ad-\\nmiral gehörte, der in Esperanza stationiert war.",0x12514,87,Un viejo sable que antaño perteneció a un\\nalmirante de Valua que estuvo en Esperanza.,0x1255b,90,Vieille épée qui appartenait jadis à un Amiral\\nValuan lorsqu'il était posté à Esperanza.,0x1216c,89,An old sword that once belonged to a Valuan\\nAdmiral when he was stationed in Esparanza.
4,0x802c6584,0x1cec9,13,Mörderklinge,0x1cb39,15,Espada Asesina,0x1cdb3,16,Épée d'Assassin,0x1c588,15,Assassin Blade,0,Vyse,50,3,2,0,Poison 10%,0,830,58,90,-1,None,0,0,0x1285f,81,"In aller Welt beliebte Mordwaffe, durch deren\\nSchnitt das Opfer vergiftet wird.",0x1256b,90,"Favorita de los asesinos de todo el mundo,\\nsobre todo porque envenena todo lo que corta.",0x125b5,81,"Épée préférée des assassins du monde entier,\\npour son pouvoir d'empoisonnement.",0x121c5,95,"A favorite among assassins of the world, mainly\\nbecause it has a chance to poison its target."
5,0x802c6594,0x1ced6,14,Donnermachete,0x1cb48,17,Sable del Trueno,0x1cdc3,15,Sabre Tonnerre,0x1c597,16,Thunder Cutlass,0,Vyse,50,13,64,-1,None,0,8610,160,90,36,Yellow,0,-2,0x128b0,84,"Alte Machete aus gehärteter Yeligar-Haut.\\nMan sagt, sie könne Blitze zerschneiden.",0x125c5,83,Un sable antiguo hecho con la curtida piel de\\nYeligar. Dicen que corta los rayos.,0x12606,93,Un sabre ancien fabriqué en peau durcie de\\nYeligar. On raconte qu'il peut fendre un éclair.,0x12224,94,An ancient cutlass made from Yeligar's hardened\\nskin. Some say it can cut through lightning.
6,0x802c65a4,0x1cee4,14,Eisenschneide,0x1cb59,12,Cortafierro,0x1cdd2,15,Coupeur de Fer,0x1c5a7,12,Iron-cutter,0,Vyse,50,7,40,-1,None,0,3870,112,90,-1,None,0,0,0x12904,94,Alte Klinge aus der Zeit vor der Alten Welt.\\nAngeblich zum Schneiden von Eisenerz verwendet.,0x12618,85,Una espada anterior al Mundo Antiguo\\nque antaño se utilizaba para cortar el hierro.,0x12663,97,"Ancienne épée datant d'avant l'Ancien Monde, on\\ndit qu'elle servait à couper le minerai de fer.",0x12282,95,"An ancient blade of pre-Old World times, it is\\nsaid that this blade was used to cut iron ore."
7,0x802c65b0,0x1cef2,13,Nasr-Machete,0x1cb65,11,Sable Nasr,0x1cde1,14,Sabre de Nasr,0x1c5b3,13,Nasr Cutlass,0,Vyse,50,4,46,-1,None,0,1340,70,90,-1,None,0,0,0x12962,90,"Machete, die von Karawanenhändlern benutzt\\nwird, die Klinge besteht aus gehauenem Stein.",0x1266d,84,Los mercaderes del desierto lo usan para\\ndefenderse. La hoja es de piedra tallada.,0x126c4,93,Un sabre utilisé par les marchands du désert\\npour se défendre; lame taillée dans la pierre.,0x122e1,95,"A cutlass used by desert-faring merchants for\\nself-defense, its blade is finely worked stone."
8,0x802c65c0,0x1ceff,15,Daccatsschwert,0x1cb70,17,Espada de Daccat,0x1cdef,15,Épée de Daccat,0x1c5c0,16,Sword of Daccat,0,Vyse,50,8,62,1,Sleep 50%,0,4690,120,90,-1,None,0,0,0x129bc,73,Das Schwert des großen Luftpiraten Daccat.\\nEs kann Feinde einschläfern.,0x126c1,87,La espada del gran pirata aéreo Daccat sirve\\npara adormecer al enemigo completamente.,0x12721,68,L'épée du grand Pirate Daccat a le\\npouvoir d'endormir les ennemis.,0x12340,86,"The sword of the great Air Pirate Daccat, it has\\nthe power to lull enemies to sleep."
9,0x802c65d0,0x1cf0e,11,Jagdmesser,0x1cb81,16,Espada Cazadora,0x1cdfe,15,Lame de Chasse,0x1c5d0,15,Hunter's Sword,0,Vyse,50,5,35,-1,None,0,2280,87,90,-1,None,0,0,0x12a05,95,"Ein Jagdmesser, das an die Hauer eines wilden\\nTieres erinnert, bei Ixa'taka-Kriegern beliebt.",0x12718,93,Un arma de caza que imita la dentadura de un\\nanimal. Preferida por los guerreros Ixa'takan.,0x12765,87,Lame de chasse conçue comme un croc d'animal.\\nÉpée préférée des guerriers Ixa'takans.,0x12396,92,A hunting blade fashioned to resemble a beast's\\nfang. A favorite among Ixa'takan warriors.
