Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Element ID,[Element Name],Pad. 1,Order by Prio.,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Prio.,Effect SP,Pad. 2,Pad. 3,Effect Value,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad. 4,Pad. 5,Pad. 6,Ship Occ. ID,[Ship Occ. Name],Pad. 7,Ship Effect ID,[Ship Effect Name],Ship Effect SP,Ship Effect Turns,Ship Effect Amount,Unk.,Pad. 8,Pad. 9,Pad. 10,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
36,0x802c63ec,0x1cd48,14,Schwertwirbel,0x1c99b,14,Ira del Sable,0x1cc0b,15,Furie du Sabre,0x1c402,13,Cutlass Fury,6,Neutral,0,200,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x11d53,93,Vyse lässt seine Wut an einem Feind aus und\\nfügt ihm großen Schaden zu.                SP 7,0x11a56,92,"Vyse desata su ira sobre un solo enemigo,\\nproduciendo grandes daños.                  7 PE",0x11a9a,93,"Vyse déchaîne sa furie sur un seul ennemi,\\ncausant d'importants dégâts.                ES 7",0x116a9,92,"Vyse unleashes his fury on a single enemy,\\ncausing major damage.                      SP 7"
37,0x802c63fc,0x1cd56,15,Schwerterregen,0x1c9a9,17,Lluvia de Sables,0x1cc1a,14,Pluie d'Épées,0x1c40f,15,Rain of Swords,6,Neutral,0,202,0x2,"",X,"",0,Damage,4,All ECs,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x11db0,95,Vyse schädigt alle Feinde auf dem Bildschirm\\nmit mächtigen Blitzschlägen.               SP 14,0x11ab2,96,Vyse convoca el poder del rayo para que caiga\\nsobre todos los enemigos en pantalla.      14 PE,0x11af7,99,Vyse invoque le pouvoir des éclairs et une pluie\\nd'épées sur tous les ennemis à l'écran.    ES 14,0x11705,99,Vyse summons the power of lightning to rain down\\nupon all the enemies on the screen.        SP 14
38,0x802c640c,0x1cd65,12,Piratenzorn,0x1c9ba,17,Furia del Pirata,0x1cc28,14,Colère Pirate,0x1c41e,15,Pirates' Wrath,6,Neutral,0,204,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x11e0f,95,Vyse lässt einen Feind den verheerenden Zorn\\nder Luftpiraten spüren.                    SP 21,0x11b12,96,Vyse desencadena la ira de los Piratas Aéreos\\nsobre un enemigo y produce un daño enorme. 21 PE,0x11b5a,98,Vyse déchaîne la colère des Pirates sur un seul\\nennemi pour causer d'importants dégâts.    ES 21,0x11768,97,Vyse unleashes the wrath of the Air Pirates on\\na single enemy for devastating damage.     SP 21
39,0x802c641c,0x1cd71,15,Omega-Psyclone,0x1c9cb,13,Ciclón Omega,0x1cc36,15,Psyclone Oméga,0x1c42d,15,Omega Psyclone,1,Red,0,214,0x2,"",X,"",0,Damage,4,All ECs,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x11e6e,95,Aika zerstört alle Feinde auf dem Bildschirm\\nmit der Macht des Red Moon.                SP 12,0x11b72,96,Aika convoca los poderes de la Luna Roja para\\ndestruir a todos los enemigos en pantalla. 12 PE,0x11bbc,98,Aika invoque les pouvoirs de la Lune Rouge pour\\ndétruire tous les ennemis à l'écran.       ES 12,0x117c9,93,Aika summons the powers of the Red Moon to\\ndestroy all of the enemies on screen.      SP 12
40,0x802c642c,0x1cd80,11,Alphasturm,0x1c9d8,14,Tormenta Alfa,0x1cc45,12,Orage Alpha,0x1c43c,12,Alpha Storm,1,Red,0,210,0x2,"",X,"",0,Damage,39,EC Ray S3,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x11ecd,96,"Aika entfacht mit ihrem Bumerang einen Feuer-\\nwirbel, schädigt alle Feinde auf einer Linie.SP4",0x11bd2,93,Aika hace girar su bumerán y un huracán de\\nllamas hiere a todos los enemigos en línea. 4 PE,0x11c1e,99,"Aika lance son boomerang, invoquant un vortex de\\nflammes sur tous les ennemis alignés.       ES 4",0x11826,97,"Aika spins her boomerang, summoning a vortex of\\nflames to strike all enemies in a line.    SP 4"
41,0x802c6438,0x1cd8b,13,Lambda Burst,0x1c9e6,17,Explosión Lambda,0x1cc51,17,Explosion Lambda,0x1c448,13,Lambda Burst,1,Red,0,212,0x2,"",X,"",0,Damage,4,All ECs,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x11f2d,94,"Aika lässt den Boden unter sich explodieren,\\nschädigt alle Feinde auf dem Bildschirm.   SP 8",0x11c2f,99,Aika explosiona la tierra que le rodea y produce\\ndaño a todos los enemigos en pantalla.      8 PE,0x11c81,91,"Aika fait exploser le sol autour d'elle,\\nblessant tous les ennemis à l'écran.        ES 8",0x11887,91,"Aika causes the very ground around her to\\nexplode, damaging all enemies on screen.   SP 8"
42,0x802c6448,0x1cd98,12,Lunar Glyph,0x1c9f7,12,Glifo Lunar,0x1cc62,15,Glyphe Lunaire,0x1c455,12,Lunar Glyph,5,Silver,0,221,0x2,"",X,"",8,"Damage, Stone",3,Single EC,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x11f8b,96,"Fina nutzt die Macht des Silver Moon, um einen\\nFeind zu schädigen und evtl.zu versteinern.SP 3",0x11c92,97,"Con el poder de la Luna de Plata, Fina produce\\ndaño y quizá petrifica a un único enemigo.  3 PE",0x11cdc,97,"Fina utilise le pouvoir de la Lune Argent pour\\nblesser, voire même pétrifier un ennemi.    ES 3",0x118e2,96,Fina uses the power of the Silver Moon to damage\\nand possibly Stone a single enemy.       SP 3
43,0x802c6454,0x1cda4,10,Mondwinde,0x1ca03,16,Ráfagas Lunares,0x1cc71,15,Vents Lunaires,0x1c461,12,Lunar Winds,5,Silver,0,223,0x2,"",X,"",17,"Damage, Rem. Pos. States",4,All ECs,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x11feb,95,"Cupil entfacht einen Sturm, der allen Feinden\\nschadet und alle positiven Effekte aufhebt.SP 6",0x11cf3,98,Cupil desata una tormenta que hiere y anula los\\nefectos beneficiosos de todos los enemigos. 6 PE,0x11d3d,99,Cupil invoque un orage pour ôter tous les effets\\nbénéfiques aux ennemis et les blesser.      ES 6,0x11942,96,Cupil summons a storm to damage and remove any\\nbeneficial effects from all enemies.       SP 6
44,0x8034fb80,0x1cdae,8,Attacke,0x1ca13,7,Ataque,0x1cc80,14,Ruée Mortelle,0x1c46d,7,Tackle,6,Neutral,0,230,0x2,"",X,"",0,Damage,3,Single EC,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x1204a,100,Drachma konzentriert all seine Energie auf seinen\\nseinen Metallarm und greift einen Feind an.SP 10,0x11d55,98,Drachma concentra todas sus fuerzas en su brazo\\nmetálico y carga contra un enemigo.        10 PE,0x11da0,95,Drachma concentre toute son énergie dans son\\nbras métallique et se rue sur un ennemi.   ES 10,0x119a2,98,Drachma concentrates all of his energy into his\\nmetal arm and charges one enemy.           SP 10
45,0x802c6460,0x1cdb6,15,Schicksalshand,0x1ca1a,17,Mano del Destino,0x1cc8e,15,Main du Destin,0x1c474,13,Hand of Fate,6,Neutral,0,232,0x2,"",X,"",6,"Damage, Unconscious 1",3,Single EC,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x120ae,97,"Drachma versetzt einem Feind einen furchtbaren\\nHieb mit seinem Metallarm, meistens tödlich.SP25",0x11db7,97,Drachma carga contra un enemigo con su potente\\nbrazo y mata al instante a la mayoria.     25 PE,0x11dff,99,"Drachma écrase un ennemi avec son bras puissant,\\ncausant la plupart du temps sa mort.       ES 25",0x11a04,97,"Drachma crushes one enemy with his mighty arm,\\ncausing instant death to most.             SP 25"
