Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,Sell%,Ord by 123,EU Ord by ABC,Pad 1,Buy,Pad 2,Pad 3,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
320,0x8c347784,0x1aea0,14,Green Crystal,0x1ac18,14,Cristal Verde,0x1afa5,13,Cristal Vert,0x1a752,14,Green Crystal,0,7,12,0,0,0,0,0x153d2,84,"Altertümliches Juwel, das die Kraft des Lebens\\nenthält. Kann Green Gigas aufrufen.",0x14ffa,93,Gema ancestral que contiene el poder de la vida.\\nTiene el poder de convocar al Gigas Verde.,0x151ca,90,Pierre ancienne qui détient le pouvoir de la\\nvie. A le pouvoir d'invoquer le Gigas Vert.,0x14d83,93,An ancient gem that contains the power of life.\\nIt has the power to summon the Green Gigas.
321,0x8c347794,0x1aeae,12,Red Crystal,0x1ac26,13,Cristal Rojo,0x1afb2,14,Cristal Rouge,0x1a760,12,Red Crystal,0,6,24,0,0,0,0,0x15426,82,"Altertümliches Juwel, das die Kraft des Feuers\\nenthält. Kann Red Gigas aufrufen.",0x15057,91,Gema ancestral que contiene el poder del fuego.\\nTiene el poder de convocar al Gigas Rojo.,0x15224,93,Pierre ancienne qui détient le pouvoir du feu.\\nElle a le pouvoir d'invoquer le Gigas Rouge.,0x14de0,91,An ancient gem that contains the power of fire.\\nIt has the power to summon the Red Gigas.
322,0x8c3477a0,0x1aeba,15,Purple Crystal,0x1ac33,16,Cristal Púrpura,0x1afc0,14,Cristal Mauve,0x1a76c,15,Purple Crystal,0,9,21,0,0,0,0,0x15478,84,"Altertümliches Juwel, das die Kraft des Eises\\nenthält. Kann Purple Gigas aufrufen.",0x150b2,94,Gema ancestral que contiene el poder del hielo.\\nTiene el poder de convocar al Gigas Purpura.,0x15281,90,Pierre ancienne qui détient le pouvoir de glace.\\nA le pouvoir d'invoquer le Gigas Mauve.,0x14e3b,93,An ancient gem that contains the power of ice.\\nIt has the power to summon the Purple Gigas.
323,0x8c3477b0,0x1aec9,13,Blue Crystal,0x1ac43,13,Cristal Azul,0x1afce,13,Cristal Bleu,0x1a77b,13,Blue Crystal,0,8,0,0,0,0,0,0x154cc,83,Altertümliches Juwel mit der Kraft von Wind und\\nWasser. Kann Blue Gigas aufrufen.,0x15110,90,Gema ancestral que contiene el poder del viento\\ny el agua. Puede convocar al Gigas Azul.,0x152db,90,Pierre ancienne au pouvoir de vent et d'eau.\\nElle a le pouvoir d'invoquer le Gigas Bleu.,0x14e98,93,An ancient gem with the power of wind and water.\\nIt has the power to summon the Blue Gigas.
324,0x8c3477c0,0x1aed6,15,Yellow Crystal,0x1ac50,17,Cristal Amarillo,0x1afdb,14,Cristal Jaune,0x1a788,15,Yellow Crystal,0,10,33,0,0,0,0,0x1551f,77,Altertümliches Juwel mit der Kraft des Blitzes.\\nKann Yellow Gigas aufrufen.,0x1516a,94,Gema ancestral que contiene el poder del rayo.\\nTiene el poder de convocar al Gigas Amarillo.,0x15335,92,Pierre ancienne qui a le pouvoir de l'éclair.\\nElle a le pouvoir d'invoquer le Gigas Jaune.,0x14ef5,90,An ancient gem with the power of lightning.\\nIt has the power to summon the Yellow Gigas.
325,0x8c3477d0,0x1aee5,10,GINGESSHO,0x1ac61,10,GINGESSHO,0x1afe9,10,GINGESSHO,0x1a797,10,GINGESSHO,0,38,-1,0,0,0,0,0x1556c,8,CUT.\\n ,0x151c8,8,CUT.\\n ,0x15391,8,CUT.\\n ,0x14f4f,13,CUT.\\n------
326,0x8c3477d8,0x1aeef,17,Green Moon Stone,0x1ac6b,13,Piedra Verde,0x1aff3,13,Pierre Verte,0x1a7a1,17,Green Moon Stone,0,0,13,0,0,0,0,0x15574,78,Ein Mondstein vom Green Moon. Er kann Waffen\\ndie Kräfte der Natur verleihen.,0x151d0,92,Piedra Lunar procedente de la Luna Verde.\\nOtorga a las armas los poderes de la naturaleza.,0x15399,95,Une Pierre de Lune de la Lune Verte. Elle peut\\ninsuffler les pouvoirs de la nature aux armes.,0x14f5c,84,A Moon Stone from the Green Moon. It can infuse\\nweapons with the powers of nature.
327,0x8c3477ec,0x1af00,15,Red Moon Stone,0x1ac78,12,Piedra Roja,0x1b000,13,Pierre Rouge,0x1a7b2,15,Red Moon Stone,0,1,25,0,0,0,0,0x155c2,76,Ein Mondstein vom Red Moon. Er kann Waffen\\ndie Kraft des Feuers verleihen.,0x1522c,84,Piedra Lunar procedente de la Luna Roja.\\nOtorga a las armas los poderes del fuego.,0x153f8,89,Une Pierre de Lune de la Lune Rouge. Elle peut\\ninsuffler les pouvoirs du feu aux armes.,0x14fb0,80,A Moon Stone from the Red Moon. It can infuse\\nweapons with the powers of fire.
328,0x8c3477fc,0x1af0f,17,Purple MoonStone,0x1ac84,15,Piedra Púrpura,0x1b00d,13,Pierre Mauve,0x1a7c1,17,Purple MoonStone,0,2,22,0,0,0,0,0x1560e,78,Ein Mondstein vom Purple Moon. Er kann Waffen\\ndie Kraft des Eises verleihen.,0x15280,87,Piedra Lunar procedente de la Luna Púrpura.\\nOtorga a las armas los poderes del hielo.,0x15451,94,Une Pierre de Lune de la Lune Mauve. Elle peut\\ninsuffler les pouvoirs de la glace aux armes.,0x15000,82,A Moon Stone from the Purple Moon. It can infuse\\nweapons with the powers of ice.
329,0x8c347810,0x1af20,16,Blue Moon Stone,0x1ac93,12,Piedra Azul,0x1b01a,13,Pierre Bleue,0x1a7d2,16,Blue Moon Stone,0,3,1,0,0,0,0,0x1565c,87,Ein Mondstein vom Blue Moon. Er kann Waffen die\\nKräfte von Wind und Wasser verleihen.,0x152d7,96,Piedra Lunar procedente de la Luna Azul. Otorga\\na las armas los poderes del viento y del agua.,0x154af,91,Une Pierre de Lune de la Lune Bleue. Peut donner\\nles pouvoirs de vent et d'eau aux armes.,0x15052,91,A Moon Stone from the Blue Moon. It can infuse\\nweapons with the powers of wind and water.
330,0x8c347820,0x1af30,17,Yellow MoonStone,0x1ac9f,16,Piedra Amarilla,0x1b027,13,Pierre Jaune,0x1a7e2,17,Yellow MoonStone,0,4,34,0,0,0,0,0x156b3,80,Ein Mondstein vom Yellow Moon. Er kann Waffen\\ndie Kraft des Blitzes verleihen.,0x15337,84,Piedra Lunar procedente de la Luna Amarilla.\\nOtorga a las armas el poder del rayo.,0x1550a,89,Une Pierre de Lune de la Lune Jaune. Peut\\ninsuffler les pouvoirs de l'éclair aux armes.,0x150ad,88,A Moon Stone from the Yellow Moon. It can infuse\\nweapons with the powers of lightning.
331,0x8c347834,0x1af41,17,Silver MoonStone,0x1acaf,16,Piedra de Plata,0x1b034,16,Pierre d'Argent,0x1a7f3,17,Silver MoonStone,0,5,27,0,0,0,0,0x15703,87,Ein Mondstein vom Silver Moon. Er kann Waffen\\ndie Kräfte von Leben und Tod verleihen.,0x1538b,87,Piedra Lunar de la Luna de Plata. Otorga a las\\narmas el poder de la vida y la muerte.,0x15563,93,Une Pierre de Lune de la Lune Argent. Peut\\ndonner les pouvoirs de vie et de mort aux armes.,0x15105,93,A Moon Stone from the Silver Moon. It can infuse\\nweapons with the powers of life and death.
332,0x8c347848,0x1af52,17,Unterwasseranzug,0x1acbf,15,Traje Acuático,0x1b044,11,Scaphandre,0x1a804,16,Underwater Suit,0,26,28,0,0,0,0,0x1575a,93,Durch einen Blue Moon Stone kann der Träger\\ndieses wasserdichten Anzugs unter Wasser atmen.,0x153e2,88,"Este traje acuático, usando una Piedra Azul,\\npermite al usuario respirar bajo el agua.",0x155c0,98,Cette combinaison imperméable permet de respirer\\nsous l'eau à l'aide d'une Pierre de Lune Bleue.,0x15162,89,"Using a Blue Moon Stone, this water-proof suit\\nallows the wearer to breathe underwater."
333,0x8c347858,0x1af63,13,Flaschenpost,0x1acce,8,Mensaje,0x1b04f,12,Message SOS,0x1a814,17,Note in a Bottle,0,12,19,0,0,0,0,0x157b7,95,"Eine Flaschenpost mit der Nachricht: “Quetya…\\nbitte sende Krieger, um uns kämpfen zu helfen.”",0x1543a,88,Mensaje en una botella que dice: “Quetya…\\nEnvía guerreros para ayudarnos en la lucha.”,0x15622,85,Un mot trouvé dans une bouteille disant “Quetya…\\nEnvoyez des guerriers en renfort.”,0x151bb,86,"A note found in a bottle that says, “Quetya…\\nPlease send warriors to help us fight.”"
334,0x8c34786c,0x1af70,17,Kanonenschlüssel,0x1acd6,16,Llave del Cañón,0x1b05b,16,Clé Pièce Canon,0x1a825,16,Cannon Room Key,0,24,3,0,0,0,0,0x15816,96,Ein großer Stahlschlüssel zum Kanonenraum der\\nGroßen Festung. Er hat einen Drachen eingeprägt.,0x15492,93,Llave de acero para abrir la Sala de Cañones\\nde la Gran Fortaleza. Lleva un dragón grabado.,0x15677,99,Grande clé en acier ouvrant la Pièce du Canon de\\nla Grande Forteresse. Porte l'estampe du dragon.,0x15211,92,"A large, steel key to the Cannon Room of the\\nGrand Fortress. It is embossed with a dragon."
