Entry ID,EU SOT Pos,[Entry GB Name],Element ID,[Element Name],Pad 1,Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 2,Pad 3,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 4,Pad 5,Pad 6,Ship Occ ID,[Ship Occ Name],Pad 7,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 8,Pad 9,Pad 10,[GB Descr Str]
36,0x8c34667c,Cutlass Fury,6,Neutral,0,200,0b0010,"",X,"",0,Damage,3,Single EC,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Vyse unleashes his fury on a single enemy,
causing major damage.                      SP 7"
37,0x8c34668c,Rain of Swords,6,Neutral,0,202,0b0010,"",X,"",0,Damage,4,All ECs,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Vyse summons the power of lightning to rain down
upon all the enemies on the screen.        SP 14"
38,0x8c34669c,Pirates' Wrath,6,Neutral,0,204,0b0010,"",X,"",0,Damage,3,Single EC,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Vyse unleashes the wrath of the Air Pirates on
a single enemy for devastating damage.     SP 21"
39,0x8c3466ac,Omega Psyclone,1,Red,0,214,0b0010,"",X,"",0,Damage,4,All ECs,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Aika summons the powers of the Red Moon to
destroy all of the enemies on screen.      SP 12"
40,0x8c3466bc,Alpha Storm,1,Red,0,210,0b0010,"",X,"",0,Damage,39,EC Ray S3,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Aika spins her boomerang, summoning a vortex of
flames to strike all enemies in a line.    SP 4"
41,0x8c3466c8,Lambda Burst,1,Red,0,212,0b0010,"",X,"",0,Damage,4,All ECs,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Aika causes the very ground around her to
explode, damaging all enemies on screen.   SP 8"
42,0x8c3466d8,Lunar Glyph,5,Silver,0,221,0b0010,"",X,"",8,Stone + Damage,3,Single EC,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Fina uses the power of the Silver Moon to damage
and possibly Stone a single enemy.       SP 3"
43,0x8c3466e4,Lunar Winds,5,Silver,0,223,0b0010,"",X,"",17,Rem Pos States + Damage,4,All ECs,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Cupil summons a storm to damage and remove any
beneficial effects from all enemies.       SP 6"
44,0x8c3466f0,Tackle,6,Neutral,0,230,0b0010,"",X,"",0,Damage,3,Single EC,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Drachma concentrates all of his energy into his
metal arm and charges one enemy.           SP 10"
45,0x8c3466f8,Hand of Fate,6,Neutral,0,232,0b0010,"",X,"",6,Unconscious + Damage A,3,Single EC,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Drachma crushes one enemy with his mighty arm,
causing instant death to most.             SP 25"
