Entry ID,EU Message ID,[DE Entry Name Pos],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos],[GB Entry Name Size],GB Entry Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[DE Arm 1 Name Pos],[DE Arm 1 Name Size],DE Arm 1 Name Str,[ES Arm 1 Name Pos],[ES Arm 1 Name Size],ES Arm 1 Name Str,[FR Arm 1 Name Pos],[FR Arm 1 Name Size],FR Arm 1 Name Str,[GB Arm 1 Name Pos],[GB Arm 1 Name Size],GB Arm 1 Name Str,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],[DE Arm 2 Name Pos],[DE Arm 2 Name Size],DE Arm 2 Name Str,[ES Arm 2 Name Pos],[ES Arm 2 Name Size],ES Arm 2 Name Str,[FR Arm 2 Name Pos],[FR Arm 2 Name Size],FR Arm 2 Name Str,[GB Arm 2 Name Pos],[GB Arm 2 Name Size],GB Arm 2 Name Str,Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],[DE Arm 3 Name Pos],[DE Arm 3 Name Size],DE Arm 3 Name Str,[ES Arm 3 Name Pos],[ES Arm 3 Name Size],ES Arm 3 Name Str,[FR Arm 3 Name Pos],[FR Arm 3 Name Size],FR Arm 3 Name Str,[GB Arm 3 Name Pos],[GB Arm 3 Name Size],GB Arm 3 Name Str,Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],[DE Arm 4 Name Pos],[DE Arm 4 Name Size],DE Arm 4 Name Str,[ES Arm 4 Name Pos],[ES Arm 4 Name Size],ES Arm 4 Name Str,[FR Arm 4 Name Pos],[FR Arm 4 Name Size],FR Arm 4 Name Str,[GB Arm 4 Name Pos],[GB Arm 4 Name Size],GB Arm 4 Name Str,Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
0,0x8c347bbc,0x1b54a,15,Valuan Warship,0x1b2b4,15,Valuan Warship,0x1b612,15,Valuan Warship,0x1adcf,15,Valuan Warship,12000,20,40,20,70,5,15,10,10,10,10,7,10,0x1bd1a,14,Kleine Kanone,0x1bb0f,14,Cañón Pequeño,0x1be43,12,Petit Canon,0x1b5bd,13,Small Cannon,0,Main Cannon,120,0,85,6,Neutral,0x1bd28,16,Leichte Hilfsk.,0x1bb1d,16,Subcañón Ligero,0x1be4f,15,Subcanon Léger,0x1b5ca,16,Light Subcannon,1,Sec Cannon,95,1,80,6,Neutral,0x1bd38,2,-,0x1bb2d,2,-,0x1be5e,2,-,0x1b5da,2,-,-1,None,-1,-1,-1,-1,None,0x1bd3a,2,-,0x1bb2f,2,-,0x1be60,2,-,0x1b5dc,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,401,Standard Cannon,-1,None,-1,None
1,0x8c347bcc,0x1b559,17,Valuan Spellship,0x1b2c3,17,Valuan Spellship,0x1b621,17,Valuan Spellship,0x1adde,17,Valuan Spellship,12000,70,40,45,70,7,10,10,9,10,10,8,10,0x1bd3c,14,Kleine Kanone,0x1bb31,14,Cañón Pequeño,0x1be62,12,Petit Canon,0x1b5de,13,Small Cannon,0,Main Cannon,120,0,80,6,Neutral,0x1bd4a,16,Leichte Hilfsk.,0x1bb3f,16,Subcañón Ligero,0x1be6e,15,Subcanon Léger,0x1b5eb,16,Light Subcannon,1,Sec Cannon,95,1,85,6,Neutral,0x1bd5a,2,-,0x1bb4f,2,-,0x1be7d,2,-,0x1b5fb,2,-,-1,None,-1,-1,-1,-1,None,0x1bd5c,2,-,0x1bb51,2,-,0x1be7f,2,-,0x1b5fd,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,489,Wave Bomb,-1,None,-1,None
2,0x8c347be0,0x1b56a,15,Valuan Cruiser,0x1b2d4,15,Valuan Cruiser,0x1b632,15,Valuan Cruiser,0x1adef,15,Valuan Cruiser,10000,30,35,15,30,5,10,10,10,10,10,7,10,0x1bd5e,15,Standardkanone,0x1bb53,15,Cañón Estándar,0x1be81,15,Canon Standard,0x1b5ff,16,Standard Cannon,0,Main Cannon,110,0,80,6,Neutral,0x1bd6d,12,Hilfskanone,0x1bb62,9,Subcañón,0x1be90,9,Subcanon,0x1b60f,10,Subcannon,1,Sec Cannon,90,2,90,6,Neutral,0x1bd79,2,-,0x1bb6b,2,-,0x1be99,2,-,0x1b619,2,-,-1,None,-1,-1,-1,-1,None,0x1bd7b,2,-,0x1bb6d,2,-,0x1be9b,2,-,0x1b61b,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,690,500,0,100%,490,Repair Kit,-1,None,-1,None,-1,None,-1,None
3,0x8c347bf0,0x1b579,15,Valuan Phantom,0x1b2e3,15,Valuan Phantom,0x1b641,15,Valuan Phantom,0x1adfe,15,Valuan Phantom,10000,120,33,130,50,8,15,10,5,10,10,5,10,0x1bd7d,15,Standardkanone,0x1bb6f,15,Cañón Estándar,0x1be9d,15,Canon Standard,0x1b61d,16,Standard Cannon,0,Main Cannon,110,0,80,6,Neutral,0x1bd8c,12,Hilfskanone,0x1bb7e,9,Subcañón,0x1beac,9,Subcanon,0x1b62d,10,Subcannon,1,Sec Cannon,90,2,90,6,Neutral,0x1bd98,2,-,0x1bb87,2,-,0x1beb5,2,-,0x1b637,2,-,-1,None,-1,-1,-1,-1,None,0x1bd9a,2,-,0x1bb89,2,-,0x1beb7,2,-,0x1b639,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,640,400,4,50%,481,Big Bomb,3,20%,485,Frost Bomb,-1,None,-1,None
4,0x8c347c00,0x1b588,15,Valuan Gunboat,0x1b2f2,15,Valuan Gunboat,0x1b650,15,Valuan Gunboat,0x1ae0d,15,Valuan Gunboat,15000,100,100,170,70,14,10,10,5,9,10,5,10,0x1bd9c,13,Große Kanone,0x1bb8b,13,Cañón Grande,0x1beb9,12,Canon lourd,0x1b63b,13,Large Cannon,0,Main Cannon,150,0,70,6,Neutral,0x1bda9,14,Schw. Hilfsk.,0x1bb98,16,Subcañón Pesado,0x1bec5,15,Subcanon Lourd,0x1b648,16,Heavy Subcannon,1,Sec Cannon,120,2,85,6,Neutral,0x1bdb7,8,Torpedo,0x1bba8,8,Torpedo,0x1bed4,9,Torpille,0x1b658,8,Torpedo,2,Torpedo,180,2,40,6,Neutral,0x1bdbf,2,-,0x1bbb0,2,-,0x1bedd,2,-,0x1b660,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1220,600,3,20%,483,Shredder Bomb,3,20%,491,Deluxe Kit,-1,None,-1,None
5,0x8c347c10,0x1b597,17,Valuan Mage Ship,0x1b301,17,Valuan Mage Ship,0x1b65f,17,Valuan Mage Ship,0x1ae1c,17,Valuan Mage Ship,15000,150,100,250,70,14,20,10,5,5,10,3,10,0x1bdc1,13,Große Kanone,0x1bbb2,13,Cañón Grande,0x1bedf,12,Canon lourd,0x1b662,13,Large Cannon,0,Main Cannon,140,0,70,6,Neutral,0x1bdce,14,Schw. Hilfsk.,0x1bbbf,16,Subcañón Pesado,0x1beeb,15,Subcanon lourd,0x1b66f,16,Heavy Subcannon,1,Sec Cannon,120,2,85,6,Neutral,0x1bddc,8,Torpedo,0x1bbcf,8,Torpedo,0x1befa,9,Torpille,0x1b67f,8,Torpedo,2,Torpedo,160,2,40,6,Neutral,0x1bde4,2,-,0x1bbd7,2,-,0x1bf03,2,-,0x1b687,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1110,600,0,100%,485,Frost Bomb,0,100%,487,Thunder Bomb,-1,None,-1,None
6,0x8c347c24,0x1b5a8,17,Valuan Destroyer,0x1b312,17,Valuan Destroyer,0x1b670,17,Valuan Destroyer,0x1ae2d,17,Valuan Destroyer,38000,120,200,250,115,30,10,8,8,8,8,4,10,0x1bde6,17,Kanonen-Prototyp,0x1bbd9,16,Cañón Prototipo,0x1bf05,16,Canon Prototype,0x1b689,17,Prototype Cannon,0,Main Cannon,250,0,80,6,Neutral,0x1bdf7,16,Gr. Hilfskanone,0x1bbe9,14,Gran Subcañón,0x1bf15,15,Grand Subcanon,0x1b69a,17,Great Subcannon ,1,Sec Cannon,300,3,90,6,Neutral,0x1be07,15,Großes Torpedo,0x1bbf7,13,Gran Torpedo,0x1bf24,16,Grande Torpille,0x1b6ab,14,Great Torpedo,2,Torpedo,400,3,50,6,Neutral,0x1be16,2,-,0x1bc04,2,-,0x1bf34,2,-,0x1b6b9,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,0,100%,417,"12"" Cannon",6,Kalifa,470,Intercom,7,Osman,476,Expensive Wheel
7,0x8c347c38,0x1b5b9,15,Valuan Spectre,0x1b323,15,Valuan Spectre,0x1b681,15,Valuan Spectre,0x1ae3e,15,Valuan Spectre,38000,200,150,370,115,30,15,6,5,4,6,3,10,0x1be18,11,Neo-Kanone,0x1bc06,10,Cañón Neo,0x1bf36,10,Canon Neo,0x1b6bb,11,Neo Cannon,0,Main Cannon,250,0,80,6,Neutral,0x1be23,16,Neo-Hilfskanone,0x1bc10,13,Subcañón Neo,0x1bf40,13,Subcanon Neo,0x1b6c6,14,Neo Subcannon,1,Sec Cannon,150,3,90,6,Neutral,0x1be33,17,Größeres Torpedo,0x1bc1d,14,Torpedo Mayor,0x1bf4d,16,Torpille lourde,0x1b6d4,16,Greater Torpedo,2,Torpedo,350,3,50,6,Neutral,0x1be44,2,-,0x1bc2b,2,-,0x1bf5d,2,-,0x1b6e4,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,6,Kalifa,472,Floor Heater,0,100%,457,Triple Turbo,-1,None,-1,None
8,0x8c347c48,0x1b5c8,16,Galcian's Elite,0x1b332,16,Galcian's Elite,0x1b690,16,Galcian's Elite,0x1ae4d,16,Galcian's Elite,50000,250,200,370,220,35,10,10,5,2,5,5,10,0x1be46,16,Schlangenkanone,0x1bc2d,16,Cañón Serpiente,0x1bf5f,14,Canon Serpent,0x1b6e6,15,Serpent Cannon,0,Main Cannon,330,0,80,6,Neutral,0x1be56,15,Schnellfeuerk.,0x1bc3d,13,Cañón Rápido,0x1bf6d,13,Canon Rapide,0x1b6f5,13,Rapid Cannon,1,Sec Cannon,250,3,95,6,Neutral,0x1be65,15,Schnelltorpedo,0x1bc4a,14,Torpedo Veloz,0x1bf7a,16,Torpille rapide,0x1b702,14,Speed Torpedo,2,Torpedo,400,3,30,6,Neutral,0x1be74,2,-,0x1bc58,2,-,0x1bf8a,2,-,0x1b710,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5780,2400,0,100%,493,Complete Kit,6,Kalifa,438,Crystil Cannon,0,100%,459,Double Shaft
9,0x8c347c58,0x1b5d8,17,Gregorio Cruiser,0x1b342,17,Gregorio Cruiser,0x1b6a0,17,Gregorio Cruiser,0x1ae5d,17,Gregorio Cruiser,25000,100,250,270,65,5,5,10,9,9,10,8,10,0x1be76,12,Hauptkanone,0x1bc5a,17,Cañón Principal ,0x1bf8c,16,Canon Principal,0x1b712,12,Main Cannon,0,Main Cannon,250,0,90,6,Neutral,0x1be82,15,Fragmentierung,0x1bc6b,14,Fragmentación,0x1bf9c,15,Fragmentation ,0x1b71e,15,Fragmentation ,1,Sec Cannon,200,2,80,6,Neutral,0x1be91,2,-,0x1bc79,2,-,0x1bfab,2,-,0x1b72d,2,-,2,Torpedo,250,2,60,6,Neutral,0x1be93,2,-,0x1bc7b,2,-,0x1bfad,2,-,0x1b72f,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,499,Speed Wax,-1,None,-1,None,-1,None,-1,None
10,0x8c347c6c,0x1b5e9,17,Gregorio Gunboat,0x1b353,17,Gregorio Gunboat,0x1b6b1,17,Gregorio Gunboat,0x1ae6e,17,Gregorio Gunboat,30000,120,270,300,70,5,10,10,8,8,10,7,10,0x1be95,12,Hauptkanone,0x1bc7d,16,Cañón Principal,0x1bfaf,16,Canon Principal,0x1b731,12,Main Cannon,0,Main Cannon,270,0,90,6,Neutral,0x1bea1,17,Splittergeschütz,0x1bc8d,13,Fragmentador,0x1bfbf,12,Fragmenteur,0x1b73d,15,Fragmenter Gun,1,Sec Cannon,220,3,85,6,Neutral,0x1beb2,17,Explosionsladung,0x1bc9a,17,Ataque Explosivo,0x1bfcb,17,Charge Explosive,0x1b74c,13,Blast Charge,2,Torpedo,250,3,70,6,Neutral,0x1bec3,2,-,0x1bcab,2,-,0x1bfdc,2,-,0x1b759,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,483,Shredder Bomb,7,Osman,508,Crystal Ball,-1,None,-1,None
