Entry ID,[Filter],[EC ID],[EC JP Name],[EC EU Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Blend Time,Play Rate
0,MB000.STD,0,軍艦兵,Ferratus,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB000.STD,0,軍艦兵,Ferratus,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB000.STD,0,軍艦兵,Ferratus,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB000.STD,0,軍艦兵,Ferratus,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB000.STD,0,軍艦兵,Ferratus,8,Critical Attack,1,8,4,Critical Attack,0b10001000001000000000000000000000,-1,None,0,5.00,1.00
5,MB000.STD,0,軍艦兵,Ferratus,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB000.STD,0,軍艦兵,Ferratus,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,0.80
7,MB000.STD,0,軍艦兵,Ferratus,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB000.STD,0,軍艦兵,Ferratus,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB000.STD,0,軍艦兵,Ferratus,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB000.STD,0,軍艦兵,Ferratus,13,Dodge,1,8,10,Dodge,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
11,MB000.STD,0,軍艦兵,Ferratus,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB000.STD,0,軍艦兵,Ferratus,32,Knockdown,1,10,12,Revive,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
13,MB000.STD,0,軍艦兵,Ferratus,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,70,Grenade,0,5.00,1.00
14,MB000.STD,0,軍艦兵,Ferratus,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,71,Poison Gas,0,5.00,1.00
15,MB000.STD,0,軍艦兵,Ferratus,29,Exec S-Move,1,8,15,Run,0b10001000000000000000000000000000,72,Sacrum Crystal,0,5.00,1.00
0,MB001.STD,1,航行士,Praeses,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB001.STD,1,航行士,Praeses,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB001.STD,1,航行士,Praeses,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.80
3,MB001.STD,1,航行士,Praeses,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB001.STD,1,航行士,Praeses,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB001.STD,1,航行士,Praeses,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB001.STD,1,航行士,Praeses,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
