Entry ID,JP Entry Name,Pos. ID,[Pos. Name],Feat. ID,[Feat. Name],Pad. 1,Feat. Value,Ship Effect ID,[Ship Effect Name],Ship Effect Spirit,Ship Effect Turns,Pad. 2,Pad. 3,Pad. 4,Ship Effect Amount,Unk.,Pad. 5,Pad. 6,Pad. 7,Pad. 8,[JP Descr. Pos.],[JP Descr. Size],JP Descr. Str.
0,ロレンス,0,Helmsman,4,Quick,0,30,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x341fe8,88,船乗り稼業をビジネスと割りきる航海士。\n手なれた操艦で、砲撃戦時のスピードを上昇させる。
1,ドン,0,Helmsman,6,Dodge%,0,15,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x342040,100,元はバルアの貴族とのウワサもある酔いどれ航海士。\nそのフラフラした操艦は、船の回避率を上昇させる。
2,ブラバム,1,Engineer,2,Defense,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x3420a4,96,老いてますます機械への情熱を燃やす熟練の機関士。\n装甲をメンテしてくれ、船の防御力が上昇する。
3,ハンス,1,Engineer,3,MagDef,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x342104,96,サンチーム譲りの技術をもつ、まじめな少年機関士。\n装甲に独自の工夫をこらし、Ж防力を上昇させる。
4,ベル,2,Gunner,64,Secondary cannon attack,0,50,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x342164,96,砲術を学びにきた、クローネ一家の砲手の女の子。\nまだ大きな砲は撃てないが、副砲の威力は上昇する。
5,カシム,2,Gunner,48,Main cannon attack,0,35,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x3421c4,96,ナスル１の腕を自認する、血気盛んな荒くれ砲手。\n巨砲を扱うのが得意なので、主砲の威力が上昇する。
6,ティカティカ,3,Lookout,81,Torpedo hit%,0,80,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x342224,92,推定７．０の視力を誇る、モンテスマの狩人。\nその千里眼を発揮して、魚雷命中率を上昇させる。
7,ドミンゴ,3,Lookout,-1,None,0,0,112,Improve Critical% (Ship),6,0,0,0,0,0,0,0,0,0,0,0x342280,96,世界をまたにかける、軽めのトレジャーハンター。\n彼の鋭いヤマカンは、クリティカル率を上昇させる。
8,オスマン,4,Merchant,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x3422e0,92,とにかくお金が大好きな、ナスルの交易商人。\n船に乗せることで、金目のアイテムの入手率上昇。
9,カリファ,4,Merchant,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x34233c,92,月Ж石を使って未来を読む、年齢不詳の占い師。\n船に乗せることで、特殊アイテムの入手率上昇。
10,イズレール,5,Builder,96,Special attack,0,100,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x342398,92,小さい体からは想像もつかぬ怪力をもつ大工。\nその技術力を活かし、月Ж砲の威力を上昇させる。
11,キララ,5,Builder,-1,None,0,0,101,Recover HP to 100% (Ship),7,0,0,0,0,0,1,0,0,0,0,0x3423f4,92,ちょっと勝ち気な、ヤフトマーの大工の女の子。\nクルーコマンドで、船のＨＰを全回復してくれる。
12,ポリー,6,Cook,-1,None,0,0,117,Recover MP (Ship),6,-1,0,0,0,10,130,0,0,0,0,0x342450,96,オーシャンでは有名な、船乗り島の酒場の女主人。\nクルーコマンドで、誰かのＫＰを回復してくれる。
13,ウララ,6,Cook,-1,None,0,0,103,Recover Spirit to 100% (Ship),15,-1,0,0,0,0,9,0,0,0,0,0x3424b0,92,ちょっと内気な、ヤフトマーの料理の上手な女の子。\nクルーコマンドで、ガッツを回復してくれる。
14,リュウカン,7,Artisan,-1,None,0,0,105,Add Strengthen (Ship),15,4,0,0,0,0,0,0,0,0,0,0x34250c,92,ガンコ一徹、究極の剣を作らんとする鍛冶屋。\nクルーコマンドで、攻撃力・防御力が一定時間上昇。
15,アルキュミス,7,Artisan,-1,None,0,0,108,Improve parameters (Ship),8,8,0,0,0,50,0,0,0,0,0,0x342568,88,独自の研究でさまざまな薬を調合する薬剤師。\nクルーコマンドで、全能力値が一定時間上昇。
16,マルコ,8,Sailor,-1,None,0,0,114,Increase Spirit restoration to 200% (Ship),8,-1,0,0,0,0,0,0,0,0,0,0x3425c0,96,船乗りにあこがれ密航してきた、元気な熱血少年。\nクルーコマンドで、１ターンだけガッツ回復量２倍。
17,ロビンソン,8,Sailor,-1,None,0,0,113,Decrease Spirit consumption to 50% (Ship),8,0,0,0,0,0,0,0,0,0,0,0x342620,96,漂流生活をしていたが、航海歴は長いベテラン水夫。\nクルーコマンドで、１ターンだけ消費ガッツ軽減。
18,パウ,9,Jester,-1,None,0,0,111,Improve First strike% (Ship),4,0,0,0,0,0,0,0,0,0,0,0x342680,96,すばしっこく船内を駆けまわる、一家のマスコット。\nクルーコマンドで、１ターンだけ先制攻撃率上昇。
19,メリダ,9,Jester,7,Value,0,10000,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x3426e0,92,父を殺したバルアへの復讐を誓う、若き踊り子。\n華麗で躍動感あふれる踊りで、船の豪華さが上昇。
20,モエギ,10,Delegate,-1,None,0,0,110,Block magic (Ship),10,0,0,0,0,0,0,0,0,0,0,0x34273c,92,争いのない平和な世界を願う、ヤフトマーの皇女。\nクルーコマンドで、１ターンだけЖ術を無効化。
21,ピンタ,10,Delegate,-1,None,0,0,109,Block artillery (Ship),10,0,0,0,0,0,0,0,0,0,0,0x342798,96,世界中のアイテムを集めることを夢見る冒険少年。\nクルーコマンドで、１ターンだけ敵の砲撃を無効化。
