Entry ID,[Filter],[EC ID],[JP EC Name],Type ID,[Type Name],Instr. ID,[Instr. Name],Param. ID,[Param. Name]
1,*,0,軍艦兵,0,Branch,21,???,3,Go to 3
2,*,0,軍艦兵,1,Action,550,Attack,2,Random PC
3,*,0,軍艦兵,1,Action,551,Guard,-1,None
1,*,1,航行士,0,Branch,42,???,3,Go to 3
2,*,1,航行士,0,Branch,39,???,5,Go to 5
3,*,1,航行士,0,Branch,29,???,6,Go to 6
4,*,1,航行士,0,Branch,30,???,8,Go to 8
5,*,1,航行士,0,Branch,25,???,7,Go to 7
6,*,1,航行士,1,Action,550,Attack,2,Random PC
7,*,1,航行士,1,Action,79,サプの葉,7,Injured EC
8,*,1,航行士,1,Action,551,Guard,-1,None
1,*,2,ミクラステル,0,Branch,45,???,3,Go to 3
2,*,2,ミクラステル,0,Branch,30,???,4,Go to 4
3,*,2,ミクラステル,0,Branch,28,???,11,Go to 11
4,*,2,ミクラステル,0,Branch,44,???,6,Go to 6
5,*,2,ミクラステル,0,Branch,30,???,7,Go to 7
6,*,2,ミクラステル,0,Branch,24,???,11,Go to 11
7,*,2,ミクラステル,0,Branch,50,???,9,Go to 9
8,*,2,ミクラステル,0,Branch,24,???,10,Go to 10
9,*,2,ミクラステル,1,Action,550,Attack,2,Random PC
10,*,2,ミクラステル,1,Action,4,レーザー,2,Random PC
11,*,2,ミクラステル,1,Action,552,Run,-1,None
1,*,3,マロッカ,0,Branch,44,???,3,Go to 3
2,*,3,マロッカ,0,Branch,30,???,4,Go to 4
3,*,3,マロッカ,0,Branch,26,???,8,Go to 8
4,*,3,マロッカ,0,Branch,1,???,7,Go to 7
5,*,3,マロッカ,0,Branch,28,???,7,Go to 7
6,*,3,マロッカ,1,Action,551,Guard,-1,None
7,*,3,マロッカ,1,Action,550,Attack,1,Same PC
8,*,3,マロッカ,1,Action,552,Run,-1,None
1,*,4,アーアペプ,0,Branch,33,???,3,Go to 3
2,*,4,アーアペプ,0,Branch,22,???,10,Go to 10
3,*,4,アーアペプ,0,Branch,36,???,5,Go to 5
4,*,4,アーアペプ,0,Branch,22,???,9,Go to 9
5,*,4,アーアペプ,0,Branch,23,???,11,Go to 11
6,*,4,アーアペプ,0,Branch,22,???,8,Go to 8
7,*,4,アーアペプ,1,Action,550,Attack,2,Random PC
8,*,4,アーアペプ,1,Action,551,Guard,-1,None
9,*,4,アーアペプ,1,Action,503,パニカ,14,PC w/o Confusion
10,*,4,アーアペプ,1,Action,520,ウェイバ,2,Random PC
11,*,4,アーアペプ,1,Action,57,あやしい音波,2,Random PC
1,*,7,煌術処刑士,0,Branch,17,???,23,Go to 23
2,*,7,煌術処刑士,0,Branch,35,???,8,Go to 8
3,*,7,煌術処刑士,0,Branch,24,???,18,Go to 18
4,*,7,煌術処刑士,0,Branch,32,???,8,Go to 8
5,*,7,煌術処刑士,0,Branch,39,???,19,Go to 19
6,*,7,煌術処刑士,0,Branch,11,???,8,Go to 8
7,*,7,煌術処刑士,0,Branch,22,???,20,Go to 20
8,*,7,煌術処刑士,0,Branch,37,???,12,Go to 12
