Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Pad. #0,Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State miss%,Pad. #1,Pad. #2
3,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
20,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
0,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
6,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
26,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
27,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
13,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
12,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
4,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
11,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
32,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
1,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
23,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
24,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
5,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
21,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
8,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
25,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
2,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
18,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
29,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
35,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
9,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
34,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
19,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
28,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
31,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
33,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
22,0x0,0x0,0,"",0x0,0,"",0x0,0,"",0x0,0,"",0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
