Entry ID,[Filter],[Enemy ship ID],[Enemy ship name],Unk.,Task rating,Task A type ID,[Task A type name],Task A arm. ID,[Task A arm. name],Task A param. ID,[Task A param. name],Task A arm. range,Task B type ID,[Task B type name],Task B arm. ID,[Task B arm. name],Task B param. ID,[Task B param. name],Task B arm. range
0,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
1,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
2,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
3,R500A.BIN,23,"",0,0,0,Attack,0,"",0,None,0,0,Attack,0,"",0,None,0
4,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
5,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
6,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
7,R500A.BIN,23,"",0,0,0,Attack,0,"",0,None,0,0,Attack,0,"",0,None,0
8,R500A.BIN,23,"",-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,"",-1,None,0
9,R500A.BIN,23,"",-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,"",-1,None,0
10,R500A.BIN,23,"",-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,"",-1,None,0
11,R500A.BIN,23,"",0,0,0,Attack,0,"",0,None,0,0,Attack,0,"",0,None,0
12,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
13,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
14,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
15,R500A.BIN,23,"",0,0,0,Attack,0,"",0,None,0,0,Attack,0,"",0,None,0
16,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
17,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
18,R500A.BIN,23,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
19,R500A.BIN,23,"",0,0,0,Attack,0,"",0,None,0,0,Attack,0,"",0,None,0
0,R501A.BIN,2,"",3,50,0,Attack,0,"",-1,None,0,0,Attack,1,"",-1,None,0
1,R501A.BIN,2,"",-1,0,0,Attack,1,"",-1,None,0,0,Attack,1,"",-1,None,0
2,R501A.BIN,2,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
3,R501A.BIN,2,"",0,0,0,Attack,0,"",0,None,0,0,Attack,0,"",0,None,0
4,R501A.BIN,2,"",3,50,0,Attack,0,"",-1,None,0,0,Attack,1,"",-1,None,0
5,R501A.BIN,2,"",-1,0,0,Attack,1,"",-1,None,0,0,Attack,1,"",-1,None,0
6,R501A.BIN,2,"",-1,0,0,Attack,0,"",-1,None,0,0,Attack,0,"",-1,None,0
