Entry ID,EU Message ID,[ DE Entry Name Pos.],[ DE Entry Name Size],DE Entry Name,[ ES Entry Name Pos.],[ ES Entry Name Size],ES Entry Name,[ FR Entry Name Pos.],[ FR Entry Name Size],FR Entry Name,[ GB Entry Name Pos.],[ GB Entry Name Size],GB Entry Name,PC ID,[PC Name],Retail Price in %,Order by Prio.,EU Order by ABC,Effect ID,[Effect Name],Pad. 1,Purchase Price,Attack,Hit%,Feat. ID,[Feat. Name],Pad. 2,Feat. Value,[ DE Descr. Pos.],[ DE Descr. Size],DE Descr. Str.,[ ES Descr. Pos.],[ ES Descr. Size],ES Descr. Str.,[ FR Descr. Pos.],[ FR Descr. Size],FR Descr. Str.,[ GB Descr. Pos.],[ GB Descr. Size],GB Descr. Str.
0,0x8c372908,0x197d9,8,Cutlass,0x19b9d,6,Sable,0x1a026,6,Sabre,0x197a9,8,Cutlass,0,Vyse,50,0,21,-1,None,0,70,20,90,-1,None,0,0,0xf4b3,94,"Vyse received these swords as a gift from his\\nfather, Dyne. It is light, with a short blade.",0xf4e4,85,"Vyse recibió estos sables como regalo de su\\npadre, Dyne. La hoja es corta y ligera.",0xf6fd,95,"Vyse a reçu ces épées en cadeau de son père,\\nDyne. Elles sont légères avec des lames courtes.",0xf483,94,"Vyse received these swords as a gift from his\\nfather, Dyne. It is light, with a short blade."
1,0x8c372910,0x197e1,15,Pirate Cutlass,0x19ba3,17,Sable del Pirata,0x1a02c,16,Sabre de Pirate,0x197b1,15,Pirate Cutlass,0,Vyse,50,1,48,-1,None,0,220,33,90,-1,None,0,0,0xf511,97,The favorite sword among Air Pirates in the Mid\\nOcean area. It is light and very easy to wield.,0xf539,88,El sable preferido por los piratas aéreos del\\nOcéano Medio. Ligero y fácil de manejar.,0xf75c,79,Épée préférée des Pirates de\\nl'Océan Central. Légère et très facile à manier.,0xf4e1,97,The favorite sword among Air Pirates in the Mid\\nOcean area. It is light and very easy to wield.
2,0x8c372920,0x197f0,12,Sky Cutlass,0x19bb4,14,Sable Celeste,0x1a03c,11,Sabre Ciel,0x197c0,12,Sky Cutlass,0,Vyse,50,2,54,-1,None,0,450,45,90,-1,None,0,0,0xf572,87,A cutlass used by Pirates and fishermen alike.\\nIts edge is perfect for cleaning fish.,0xf591,87,Tanto piratas como pescadores usan este sable.\\nLa hoja es ideal para limpiar pescado.,0xf7ab,95,Sabre utilisé par les Pirates et les pêcheurs.\\nSa lame est parfaite pour nettoyer le poisson.,0xf542,87,A cutlass used by Pirates and fishermen alike.\\nIts edge is perfect for cleaning fish.
3,0x8c37292c,0x197fc,16,Admiral Cutlass,0x19bc2,16,Sable Almirante,0x1a047,15,Sabre d'Amiral,0x197cc,16,Admiral Cutlass,0,Vyse,50,9,0,-1,None,0,4970,128,90,-1,None,0,0,0xf5c9,89,An old sword that once belonged to a Valuan\\nAdmiral when he was stationed in Esparanza.,0xf5e8,87,Un viejo sable que antaño perteneció a un\\nalmirante de Valua que estuvo en Esperanza.,0xf80a,90,Vieille épée qui appartenait jadis à un Amiral\\nValuan lorsqu'il était posté à Esparanza.,0xf599,89,An old sword that once belonged to a Valuan\\nAdmiral when he was stationed in Esparanza.
4,0x8c37293c,0x1980c,15,Assassin Blade,0x19bd2,15,Espada Asesina,0x1a056,16,Épée d'Assassin,0x197dc,15,Assassin Blade,0,Vyse,50,3,2,0,Poison,0,830,58,90,-1,None,0,0,0xf622,95,"A favorite among assassins of the world, mainly\\nbecause it has a chance to poison its target.",0xf63f,90,"Favorita de los asesinos de todo el mundo,\\nsobre todo porque envenena todo lo que corta.",0xf864,81,"Épée préférée des assassins du monde entier,\\npour son pouvoir d'empoisonnement.",0xf5f2,95,"A favorite among assassins of the world, mainly\\nbecause it has a chance to poison its target."
5,0x8c37294c,0x1981b,16,Thunder Cutlass,0x19be1,17,Sable del Trueno,0x1a066,15,Sabre Tonnerre,0x197eb,16,Thunder Cutlass,0,Vyse,50,13,64,-1,None,0,8610,160,90,36,Yellow,0,-2,0xf681,94,An ancient cutlass made from Yeligar's hardened\\nskin. Some say it can cut through lightning.,0xf699,83,Un sable antiguo hecho con la curtida piel de\\nYeligar. Dicen que corta los rayos.,0xf8b5,93,Un sabre ancien fabriqué en peau durcie de\\nYeligar. On raconte qu'il peut fendre un éclair.,0xf651,94,An ancient cutlass made from Yeligar's hardened\\nskin. Some say it can cut through lightning.
6,0x8c37295c,0x1982b,12,Iron-cutter,0x19bf2,12,Cortafierro,0x1a075,15,Coupeur de Fer,0x197fb,12,Iron-cutter,0,Vyse,50,7,40,-1,None,0,3870,112,90,-1,None,0,0,0xf6df,95,"An ancient blade of pre-Old World times, it is\\nsaid that this blade was used to cut iron ore.",0xf6ec,85,Una espada anterior al Mundo Antiguo\\nque antano se utilizaba para cortar el hierro.,0xf912,97,"Ancienne épée datant d'avant l'Ancien Monde, on\\ndit qu'elle servait à couper le minerai de fer.",0xf6af,95,"An ancient blade of pre-Old World times, it is\\nsaid that this blade was used to cut iron ore."
7,0x8c372968,0x19837,13,Nasr Cutlass,0x19bfe,11,Sable Nasr,0x1a084,14,Sabre de Nasr,0x19807,13,Nasr Cutlass,0,Vyse,50,4,46,-1,None,0,1340,70,90,-1,None,0,0,0xf73e,95,"A cutlass used by desert-faring merchants for\\nself-defense, its blade is finely worked stone.",0xf741,84,Los mercaderes del desierto lo usan para\\ndefenderse. La hoja es de piedra tallada.,0xf973,93,Un sabre utilisé par les marchands du désert\\npour se défendre; lame taillée dans la pierre.,0xf70e,95,"A cutlass used by desert-faring merchants for\\nself-defense, its blade is finely worked stone."
8,0x8c372978,0x19844,16,Sword of Daccat,0x19c09,17,Espada de Daccat,0x1a092,15,Épée de Daccat,0x19814,16,Sword of Daccat,0,Vyse,50,8,62,1,Sleep 1,0,4690,120,90,-1,None,0,0,0xf79d,86,"The sword of the great Air Pirate Daccat, it has\\nthe power to lull enemies to sleep.",0xf795,87,La espada del gran pirata aéreo Daccat sirve para\\nadormecer al enemigo completamente.,0xf9d0,68,L'épée du grand Pirate Daccat a le\\npouvoir d'endormir les ennemis.,0xf76d,86,"The sword of the great Air Pirate Daccat, it has\\nthe power to lull enemies to sleep."
9,0x8c372988,0x19854,15,Hunter's Sword,0x19c1a,16,Espada Cazadora,0x1a0a1,15,Lame de Chasse,0x19824,15,Hunter's Sword,0,Vyse,50,5,35,-1,None,0,2280,87,90,-1,None,0,0,0xf7f3,92,A hunting blade fashioned to resemble a beast's\\nfang. A favorite among Ixa'takan warriors.,0xf7ec,93,Un arma de caza que imita la dentadura de un\\nanimal. Preferida por los guerreros Ixa'takan.,0xfa14,86,Lame de chasse conçue comme un croc d'animal.\\nÉpée préférée des guerriers Ixa'takan.,0xf7c3,92,A hunting blade fashioned to resemble a beast's\\nfang. A favorite among Ixa'takan warriors.
10,0x8c372998,0x19863,12,Stonecutter,0x19c2a,12,Cortapiedra,0x1a0b0,13,Coupe Pierre,0x19833,12,Stonecutter,0,Vyse,50,6,58,-1,None,0,3120,99,90,-1,None,0,0,0xf84f,91,"A blade originally used in masonry work, it has\\nsince been modified to be used in combat.",0xf849,93,"Una espada que se utilizaba en albañilería,\\npero se ha transformado para su uso en combate.",0xfa6a,95,"Une lame utilisée à l'origine en maçonnerie, qui\\na été modifiée pour servir dans les combats.",0xf81f,91,"A blade originally used in masonry work, it has\\nsince been modified to be used in combat."
11,0x8c3729a4,0x1986f,14,Dream Cutlass,0x19c36,16,Sable de Sueños,0x1a0bd,11,Sabre Rêve,0x1983f,14,Dream Cutlass,0,Vyse,50,10,26,-1,None,0,6690,137,90,35,Blue,0,-2,0xf8aa,92,A legendary sword that can supposedly rip the\\nfabric of reality and make dreams come true.,0xf8a6,88,Mitica espada que deshace la materia de lo real\\npara que los suenos se hagan realidad.,0xfac9,96,Une épée légendaire qui peut soi-disant déchirer\\nle tissu de la réalité et réaliser les rêves.,0xf87a,92,A legendary sword that can supposedly rip the\\nfabric of reality and make dreams come true.
12,0x8c3729b4,0x1987d,11,Windslicer,0x19c46,13,Corta-viento,0x1a0c8,16,Coupeur de Vent,0x1984d,11,Windslicer,0,Vyse,50,12,70,-1,None,0,8760,153,90,-1,None,0,0,0xf906,78,A blade so slender that it is fabled to be able\\nto cut the very air in half.,0xf8fe,86,"Espada de hoja tan fina que, según la leyenda,\\ncorta el mismisimo aire por la mitad.",0xfb29,64,Une épée si fine qu'elle peut couper l'air\\nd'après la légende.,0xf8d6,78,A blade so slender that it is fabled to be able\\nto cut the very air in half.
13,0x8c3729c0,0x19888,13,Vorlik Blade,0x19c53,14,Espada Vorlik,0x1a0d8,12,Épée Vorlik,0x19858,13,Vorlik Blade,0,Vyse,50,15,68,-1,None,0,16500,200,200,-1,None,0,0,0xf954,75,"A masterpiece of the legendary swordsmith,\\nRyu-kan, forged from Velorium.",0xf954,79,"Una obra maestra del mítico creador de espadas\\nRyu-kan, forjada con Velorium.",0xfb69,79,"Un chef d'oeuvre du légendaire façonneur d'épée,\\nRyu-kan, forgée en Velorium.",0xf924,75,"A masterpiece of the legendary swordsmith,\\nRyu-kan, forged from Velorium."
14,0x8c3729d0,0x19895,13,Suiran Blade,0x19c61,14,Espada Suiran,0x1a0e4,12,Épée Suiran,0x19865,13,Suiran Blade,0,Vyse,50,11,60,-1,None,0,7500,141,90,-1,None,0,0,0xf99f,91,"A short sword used by Yafutoman soldiers, its\\nthick, heavy blade is still easy to handle.",0xf9a3,97,"Espada corta usada por los soldados Yafutoman.\\nAunque sea gruesa y pesada, es fácil de manejar.",0xfbb8,96,"Une courte épée dont se servaient les soldats\\nYafutoman, à lame large et lourde mais maniable.",0xf96f,91,"A short sword used by Yafutoman soldiers, its\\nthick, heavy blade is still easy to handle."
15,0x8c3729e0,0x198a2,11,Soul Sword,0x19c6f,16,Espada del Alma,0x1a0f0,9,Épée Âme,0x19872,11,Soul Sword,0,Vyse,50,14,56,16,Unconscious 3,0,12340,174,90,-1,None,0,0,0xf9fa,95,"The ultimate sword, the best work of the master\\nswordsmith, Ryu-kan. Can cause instant death.",0xfa04,95,"La espada por antonomasia, obra maestra del\\nmaestro Ryu-kan, que causa la muerte instantánea.",0xfc18,92,"L'ultime épée, le meilleur travail du façonneur\\nd'épée, Ryu-kan. Peut tuer d'un seul coup.",0xf9ca,95,"The ultimate sword, the best work of the master\\nswordsmith, Ryu-kan. Can cause instant death."
16,0x8c3729ec,0x198ad,10,Boomerang,0x19c7f,10,Boomerang,0x1a0f9,10,Boomerang,0x1987d,10,Boomerang,1,Aika,50,17,5,-1,None,0,70,19,110,-1,None,0,0,0xfa59,78,"Aika's favorite boomerang. It's large but light,\\nand relatively easy to aim.",0xfa63,73,"El boomerang preferido de Aika. Grande pero\\nligero, y fácil de dirigir.",0xfc74,71,Boomerang préféré d'Aika. Il est grand mais\\nléger et facile à lancer.,0xfa29,78,"Aika's favorite boomerang. It's large but light,\\nand relatively easy to aim."
17,0x8c3729f8,0x198b7,8,Skywing,0x19c89,12,Ala Celeste,0x1a103,13,Aile du ciel,0x19887,8,Skywing,1,Aika,50,26,55,-1,None,0,3670,107,110,-1,None,0,0,0xfaa7,91,"A boomerang shaped like a flying bird. It\\nalways returns, no matter how far it is thrown.",0xfaac,93,"Boomerang con forma de pájaro volador. Siempre\\nregresa, da igual lo lejos que sea lanzado. ",0xfcbb,83,"Un boomerang en forme d'oiseau. Il revient\\ntoujours, quelle que soit la distance.",0xfa77,91,"A boomerang shaped like a flying bird. It\\nalways returns, no matter how far it is thrown."
18,0x8c372a00,0x198bf,11,Scout Wing,0x19c95,16,Ala Exploradora,0x1a110,14,Aile du scout,0x1988f,11,Scout Wing,1,Aika,50,21,51,-1,None,0,680,53,110,-1,None,0,0,0xfb02,83,"A weapon carried by crews of scouting parties,\\nit is meant to be fast and deadly.",0xfb09,93,El arma que usan las tripulaciones de partidas de\\nreconocimiento. Debe ser rápida y mortal.,0xfd0e,94,"Arme transportée par les équipes d'éclaireurs,\\nelle est conçue pour être rapide et mortelle.",0xfad2,83,"A weapon carried by crews of scouting parties,\\nit is meant to be fast and deadly."
19,0x8c372a0c,0x198ca,13,Ice Splitter,0x19ca5,11,Cortahielo,0x1a11e,17,Fendeur de Glace,0x1989a,13,Ice Splitter,1,Aika,50,29,38,-1,None,0,7390,142,110,34,Purple,0,-2,0xfb55,93,"A boomerang with an icy clear, sharp blade that\\nseemingly freezes the air it flies through.",0xfb66,96,"Un boomerang de hoja afilada y transparente como\\nel hielo, que congela el aire que atraviesa. ",0xfd6c,78,Un boomerang à la lame glacée et aiguisée qui\\nsemble gèler l'air qu'il fend.,0xfb25,93,"A boomerang with an icy clear, sharp blade that\\nseemingly freezes the air it flies through."
20,0x8c372a1c,0x198d7,17,Leather Crescent,0x19cb0,18,Boomerang de piel,0x1a12f,13,Aile de Cuir,0x198a7,17,Leather Crescent,1,Aika,50,18,41,-1,None,0,180,30,110,-1,None,0,0,0xfbb2,88,"A leather-reinforced boomerang that is very\\nsturdy in build, and packs an extra punch.",0xfbc6,74,Un boomerang reforzado con cuero de hechura recia\\ny con un gran impacto.,0xfdba,81,Un boomerang en cuir renforcé qui est très\\nsolide et particulièrement puissant.,0xfb82,88,"A leather-reinforced boomerang that is very\\nsturdy in build, and packs an extra punch."
21,0x8c372a30,0x198e8,15,Throwing Blade,0x19cc2,17,Espada de lanzar,0x1a13c,15,Lame de Lancer,0x198b8,15,Throwing Blade,1,Aika,50,19,63,-1,None,0,310,38,110,-1,None,0,0,0xfc0a,96,An ancient weapon found near Sailors' Island.\\nThought to have been used for wood & stone work.,0xfc10,84,Arma antigua de la Isla del Pirata. Se usaba para\\ntrabajar la madera y la piedra. ,0xfe0b,98,Ancienne arme trouvée près de l'île aux Marins.\\nAurait servie au travail du bois & de la pierre.,0xfbda,96,An ancient weapon found near Sailors' Island.\\nThought to have been used for wood & stone work.
22,0x8c372a40,0x198f7,12,Hunting Arc,0x19cd3,13,Arco de caza,0x1a14b,14,Arc de Chasse,0x198c7,12,Hunting Arc,1,Aika,50,24,36,-1,None,0,1820,80,110,-1,None,0,0,0xfc6a,96,"A traditional Ixa'takan hunting weapon, children\\nare taught to use them from a very young age.",0xfc64,96,"Un arma de caza tradicional de los Ixa'takan, que\\nlos niños aprenden a manejar desde pequeños.",0xfe6d,88,"Arme traditionnelle de chasse Ixa'takan, on\\napprend très tôt aux enfants à s'en sevir.",0xfc3a,96,"A traditional Ixa'takan hunting weapon, children\\nare taught to use them from a very young age."
23,0x8c372a4c,0x19903,10,Valuarang,0x19ce0,10,Valuarang,0x1a159,10,Valuarang,0x198d3,10,Valuarang,1,Aika,50,20,67,-1,None,0,480,46,110,-1,None,0,0,0xfcca,93,A light boomerang used to practice for the\\nannual boomerang contest in the Valuan Coliseum.,0xfcc4,84,Boomerang ligero con el que practicar para el\\nconcurso anual del Coliseo de Valua.,0xfec5,91,Un boomerang léger qui sert pour l'entraînement\\nau championnat annuel du Coliseum Valuan.,0xfc9a,93,A light boomerang used to practice for the\\nannual boomerang contest in the Valuan Coliseum.
24,0x8c372a58,0x1990d,9,Yin Wing,0x19cea,9,Yin Wing,0x1a163,9,Aile Yin,0x198dd,9,Yin Wing,1,Aika,50,28,72,17,Sleep 4,0,5930,130,110,-1,None,0,0,0xfd27,88,A tear-shaped blade crafted by a master\\nweaponsmith from a single piece of Moon Stone.,0xfd18,94,Una espada en forma de lágrima creada por un\\nmaestro artesano con una pieza de Piedra Lunar.,0xff20,93,Épée en forme de larme réalisée par un grand\\nmaître avec un seul morceau de Pierre de Lune.,0xfcf7,88,A tear-shaped blade crafted by a master\\nweaponsmith from a single piece of Moon Stone.
25,0x8c372a64,0x19916,12,Dancing Arc,0x19cf3,14,Arco Danzarín,0x1a16c,12,Arc Dansant,0x198e6,12,Dancing Arc,1,Aika,50,22,23,-1,None,0,1100,65,110,-1,None,0,0,0xfd7f,94,A decorative throwing blade used by Nasrean\\ndancers. It is used as a hunting weapon as well.,0xfd76,84,Las bailarinas de Nasr usan este cuchillo\\nornamental que sirve también para cazar.,0xff7d,95,Une épée de lancer décorative utilisée par les\\ndanceurs Nasrean. Sert aussi d'arme de chasse.,0xfd4f,94,A decorative throwing blade used by Nasrean\\ndancers. It is used as a hunting weapon as well.
