Entry ID,EU Message ID,[DE Entry Name Pos],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos],[GB Entry Name Size],GB Entry Name,PC ID,[PC Name],Sell%,Ord by 123,EU Ord by ABC,Effect ID,[Effect Name],Pad 1,Buy,Attack,Hit%,Trait ID,[Trait Name],Pad 2,Trait Value,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
0,0x8c3467f0,0x19e83,8,Machete,0x19ac8,6,Sable,0x19e68,6,Sabre,0x19753,8,Cutlass,0,Vyse,50,0,21,255,Poison 100%,0,70,20,90,-1,None,0,0,0xf842,93,Vyse erhielt diese Machete von seinem Vater\\nDyne. Sie hat eine kurze Klinge und ist leicht.,0xf63e,85,"Vyse recibió estos sables como regalo de su\\npadre, Dyne. La hoja es corta y ligera.",0xf726,95,"Vyse a reçu ces épées en cadeau de son père,\\nDyne. Elles sont légères avec des lames courtes.",0xf45e,94,"Vyse received these swords as a gift from his\\nfather, Dyne. It is light, with a short blade."
1,0x8c3467f8,0x19e8b,15,Piratenmachete,0x19ace,17,Sable del Pirata,0x19e6e,16,Sabre de Pirate,0x1975b,15,Pirate Cutlass,0,Vyse,50,1,48,255,Poison 100%,0,220,33,90,-1,None,0,0,0xf89f,91,Bevorzugtes Schwert der Luftpiraten im Mid\\nOcean. Es ist leicht und einfach zu handhaben.,0xf693,88,El sable preferido por los piratas aéreos del\\nOcéano Medio. Ligero y fácil de manejar.,0xf785,79,Épée préférée des Pirates de\\nl'Océan Central. Légère et très facile à manier.,0xf4bc,97,The favorite sword among Air Pirates in the Mid\\nOcean area. It is light and very easy to wield.
2,0x8c346808,0x19e9a,15,Himmelsmachete,0x19adf,14,Sable Celeste,0x19e7e,11,Sabre Ciel,0x1976a,12,Sky Cutlass,0,Vyse,50,2,54,255,Poison 100%,0,450,45,90,-1,None,0,0,0xf8fa,96,"Machete, die von Pirates und Fischern benutzt\\nwird. Sie eignet sich perfekt zum Fischesäubern.",0xf6eb,87,Tanto piratas como pescadores usan este sable.\\nLa hoja es ideal para limpiar pescado.,0xf7d4,95,Sabre utilisé par les Pirates et les pêcheurs.\\nSa lame est parfaite pour nettoyer le poisson.,0xf51d,87,A cutlass used by Pirates and fishermen alike.\\nIts edge is perfect for cleaning fish.
3,0x8c346814,0x19ea9,16,Admiralsmachete,0x19aed,16,Sable Almirante,0x19e89,15,Sabre d'Amiral,0x19776,16,Admiral Cutlass,0,Vyse,50,9,0,255,Poison 100%,0,4970,128,90,-1,None,0,0,0xf95a,99,"Altes Schwert, das einmal einem valuanischen Ad-\\nmiral gehörte, der in Esparanza stationiert war.",0xf742,87,Un viejo sable que antaño perteneció a un\\nalmirante de Valua que estuvo en Esperanza.,0xf833,90,Vieille épée qui appartenait jadis à un Amiral\\nValuan lorsqu'il était posté à Esparanza.,0xf574,89,An old sword that once belonged to a Valuan\\nAdmiral when he was stationed in Esparanza.
4,0x8c346824,0x19eb9,13,Mörderklinge,0x19afd,15,Espada Asesina,0x19e98,16,Épée d'Assassin,0x19786,15,Assassin Blade,0,Vyse,50,3,2,0,Poison 10%,0,830,58,90,-1,None,0,0,0xf9bd,81,"In aller Welt beliebte Mordwaffe, durch deren\\nSchnitt das Opfer vergiftet wird.",0xf799,90,"Favorita de los asesinos de todo el mundo,\\nsobre todo porque envenena todo lo que corta.",0xf88d,81,"Épée préférée des assassins du monde entier,\\npour son pouvoir d'empoisonnement.",0xf5cd,95,"A favorite among assassins of the world, mainly\\nbecause it has a chance to poison its target."
5,0x8c346834,0x19ec6,14,Donnermachete,0x19b0c,17,Sable del Trueno,0x19ea8,15,Sabre Tonnerre,0x19795,16,Thunder Cutlass,0,Vyse,50,13,64,255,Poison 100%,0,8610,160,90,36,Yellow,0,-2,0xfa0e,84,"Alte Machete aus gehärteter Yeligar-Haut.\\nMan sagt, sie könne Blitze zerschneiden.",0xf7f3,83,Un sable antiguo hecho con la curtida piel de\\nYeligar. Dicen que corta los rayos.,0xf8de,93,Un sabre ancien fabriqué en peau durcie de\\nYeligar. On raconte qu'il peut fendre un éclair.,0xf62c,94,An ancient cutlass made from Yeligar's hardened\\nskin. Some say it can cut through lightning.
6,0x8c346844,0x19ed4,14,Eisenschneide,0x19b1d,12,Cortafierro,0x19eb7,15,Coupeur de Fer,0x197a5,12,Iron-cutter,0,Vyse,50,7,40,255,Poison 100%,0,3870,112,90,-1,None,0,0,0xfa62,94,Alte Klinge aus der Zeit vor der Alten Welt.\\nAngeblich zum Schneiden von Eisenerz verwendet.,0xf846,85,Una espada anterior al Mundo Antiguo\\nque antaño se utilizaba para cortar el hierro.,0xf93b,97,"Ancienne épée datant d'avant l'Ancien Monde, on\\ndit qu'elle servait à couper le minerai de fer.",0xf68a,95,"An ancient blade of pre-Old World times, it is\\nsaid that this blade was used to cut iron ore."
7,0x8c346850,0x19ee2,13,Nasr-Machete,0x19b29,11,Sable Nasr,0x19ec6,14,Sabre de Nasr,0x197b1,13,Nasr Cutlass,0,Vyse,50,4,46,255,Poison 100%,0,1340,70,90,-1,None,0,0,0xfac0,90,"Machete, die von Karawanenhändlern benutzt\\nwird, die Klinge besteht aus gehauenem Stein.",0xf89b,84,Los mercaderes del desierto lo usan para\\ndefenderse. La hoja es de piedra tallada.,0xf99c,93,Un sabre utilisé par les marchands du désert\\npour se défendre; lame taillée dans la pierre.,0xf6e9,95,"A cutlass used by desert-faring merchants for\\nself-defense, its blade is finely worked stone."
8,0x8c346860,0x19eef,15,Daccatsschwert,0x19b34,17,Espada de Daccat,0x19ed4,15,Épée de Daccat,0x197be,16,Sword of Daccat,0,Vyse,50,8,62,1,Sleep 50%,0,4690,120,90,-1,None,0,0,0xfb1a,73,Das Schwert des großen Luftpiraten Daccat.\\nEs kann Feinde einschläfern.,0xf8ef,87,La espada del gran pirata aéreo Daccat sirve\\npara adormecer al enemigo completamente.,0xf9f9,68,L'épée du grand Pirate Daccat a le\\npouvoir d'endormir les ennemis.,0xf748,86,"The sword of the great Air Pirate Daccat, it has\\nthe power to lull enemies to sleep."
9,0x8c346870,0x19efe,11,Jagdmesser,0x19b45,16,Espada Cazadora,0x19ee3,15,Lame de Chasse,0x197ce,15,Hunter's Sword,0,Vyse,50,5,35,255,Poison 100%,0,2280,87,90,-1,None,0,0,0xfb63,95,"Ein Jagdmesser, das an die Hauer eines wilden\\nTieres erinnert, bei Ixa'taka-Kriegern beliebt.",0xf946,93,Un arma de caza que imita la dentadura de un\\nanimal. Preferida por los guerreros Ixa'takan.,0xfa3d,86,Lame de chasse conçue comme un croc d'animal.\\nÉpée préférée des guerriers Ixa'takan.,0xf79e,92,A hunting blade fashioned to resemble a beast's\\nfang. A favorite among Ixa'takan warriors.
